Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
nyan1308	NA	verbal	constituency	FreeOccurrence	length	MorsynMinimality	Minimal		8	15	FreeOccurrence-Minimal-AFF/IMP_2sg		
nyan1308	NA	verbal	constituency	FreeOccurrence	length	MorsynMinimality	Maximal		7	15	FreeOccurrence-Maximal-AFF/IMP_2sg		
nyan1308	NA	verbal	constituency	FreeOccurrence	length	MorsynMinimality	Minimal		8	16	FreeOccurrence-Minimal-AFF/IMP_2pl		
nyan1308	NA	verbal	constituency	FreeOccurrence	length	MorsynMinimality	Maximal		7	16	FreeOccurrence-Maximal-AFF/IMP_2pl		
nyan1308	NA	verbal	constituency	FreeOccurrence	length	MorsynMinimality	Maximal		5	16	FreeOccurrence-Maximal-AFF/2pOBJ		
nyan1308	NA	verbal	constituency	FreeOccurrence	length	MorsynMinimality	Maximal		5	15	FreeOccurrence-Maximal-AFF/elsewhere		
nyan1308	NA	verbal	constituency	Permutability	morphosyntactic	Permutability	NA		3	18	NonPermutability-Scopal-noOM		
nyan1308	NA	verbal	constituency	Permutability	morphosyntactic	Permutability	NA		3	12	NonPermutability-Strict-noOM		
nyan1308	NA	verbal	constituency	Permutability	morphosyntactic	Permutability	NA		4	17	NonPermutability-Scopal-OM		
nyan1308	NA	verbal	constituency	Interruptability	morphosyntactic	Interruptability	NA		3	12	NonPermutability-Strict-OM		
nyan1308	NA	verbal	constituency	Interruptability	morphosyntactic	Interruptability	NA		4	18	NonInterruptibility-noOM		
nyan1308	NA	verbal	constituency	Interruptability	morphosyntactic	Interruptability	NA		4	17	NonInterruptibility-OM		
nyan1308	NA	verbal	constituency	Selection	morphosyntactic	Ciscategorial	Maximal		4	17	Ciscategorial-Maximal		
nyan1308	NA	verbal	constituency	Selection	morphosyntactic	Ciscategorial	Minimal		8	17	Cicategorial-Minimal		
nyan1308	NA	verbal	constituency	Repetition	morphosyntactic	Repetition	Maximal		1	19	SubspanRepetition-Coordination-Maximal		
nyan1308	NA	verbal	constituency	Repetition	morphosyntactic	Repetition	Minimal		8	15	SubspanRepetition-Coordination-Minimal		
nyan1308	NA	verbal	constituency	Repetition	length	Repetition	NA		8	15	SubspanRepetition-Reduplication		
nyan1308	NA	verbal	constituency	Segmental	phonological	Segmental	NA		8	12	Segmental-VowelHarmony		
nyan1308	NA	verbal	constituency	Segmental	phonological	Segmental	Maximal		4	15	Segmental-muContraction-Maximal		
nyan1308	NA	verbal	constituency	Segmental	phonological	Segmental	Minimal		7	15	Segmental-muContraction-Minimal		
nyan1308	NA	verbal	constituency	Segmental	phonological	Segmental	NA		5	6	Segmental-HiatusResolution-Glide		
nyan1308	NA	verbal	constituency	Segmental	phonological	Segmental	NA		5	6	Segmental-HiatusResolution-Deletion		
nyan1308	NA	verbal	constituency	Segmental	phonological	Segmental	NA		5	8	Segmental-GlideInsertation		
nyan1308	NA	verbal	constituency	Segmental	phonological	Segmental	NA		5	8	Segmental-Assimilation		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Prosodic	NA		8	17	Prosodic-PenultimateLengthening-OM		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Prosodic	NA		8	18	Prosodic-PenultimateLengthening-noOM		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Prosodic	NA		3	15	Prosodic-DisyllabicMinimality		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Tonological	NA		8	15	Tonal-RootExtensionHighTone-IMP		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Tonological	NA		4	15	Tonal-ToneDoubling		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Tonological	NA		4	17	Tonal-EncliticToneShift		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Tonological	NA		7	15	Tonal-MeeussensRule		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Tonological	NA		4	17	Tonal-Plateauing		
nyan1308	NA	verbal	constituency	Prosodic	phonological	Tonological	NA		4	17	Tonal-FinalRetraction		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		7	15	TonePattern2-OM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		8	15	TonePattern2-noOM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		6	15	TonePattern3		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		6	15	TonePattern4-OM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		6	15	TonePattern4-noOM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		6	15	TonePattern5		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		5	15	TonePattern6		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		5	15	TonePattern7-OM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		5	15	TonerPattern7-noM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		5	15	TonePattern8-OM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		5	15	TonePattern8-noOM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		6	15	TonePatternNeg2		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		4	15	TonePatternNeg3-PAST		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		4	15	TonePatternNeg3-PERM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		4	15	TonePatternNeg-OM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		4	15	TonePatternNeg-noOM		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		5	15	TonePatternRel2		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		4	15	TonePatternRel3		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		10	15	TonePatternHighToneExtension		
nyan1308	NA	verbal	constituency	Biuniquness	morphosyntactic	Biuniquness	NA		4	15	BiuniquenessDeviation-TAMP		
nyan1308	NA	verbal	constituency	Biuniquness	morphosyntactic	Biuniquness	NA		10	14	BiuniquenessDeviation-Valency		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		2	19	Intonation-DeclarativeContentQuestion		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		2	19	Intonation-YesNoQuestion-Minimal		
nyan1308	NA	verbal	constituency	Prosodic	tonosegmental	Tonotactic	NA		1	19	Intonation-YesNoQuestion-Maximal		
