Language_ID	Planar_Type	Position	Position_Type	Elements	Class_Size	Notes
teot1238	verbal	1	slot	subordinators	?	NA
teot1238	verbal	2	slot	np (a/s, o), adv	Open	NA
teot1238	verbal	3	slot	focus marker (=ēn)	1	NA
teot1238	verbal	4	slot	adv á= ‘already’	1	NA
teot1238	verbal	5	slot	clausal negator: kēd=	1	NA
teot1238	verbal	6	slot	adverbial enclitics of frequency and manner: =pkā, =kā, =zī	3	NA
teot1238	verbal	7	slot	adverbial enclitic of equality: =zá	1	NA
teot1238	verbal	8	slot	adverbial enclitic of comparison: =rú	1	NA
teot1238	verbal	9	slot	indefinite, interrogative pronouns tū=, xī=, kalī=; plural imperative gūl=	4	NA
teot1238	verbal	10	slot	tense/aspect/mood	?	NA
teot1238	verbal	11	slot	motion: andative e-, venitive ēd-	2	NA
teot1238	verbal	12	slot	verb base	Open	NA
teot1238	verbal	13	slot	second element in a compound: nominal, adjectival root	?	NA
teot1238	verbal	14	slot	comitative -næ:	1	NA
teot1238	verbal	15	slot	diminutive: -æˀny/-iˀny	2	NA
teot1238	verbal	16	slot	manner adverbs: ʒlyāˀ ‘in vain’, ʤí: ‘quietly’	2	NA
teot1238	verbal	17	slot	intensifiers tæ̰:, da̰:n	2	NA
teot1238	verbal	18	slot	negation: =di	1	NA
teot1238	verbal	19	slot	adverbial enclitics of frequency and manner: =pkā, =kā, =zī	3	NA
teot1238	verbal	20	slot	adverbial enclitic of equality: =zá	1	NA
teot1238	verbal	21	slot	adverbial enclitic of comparison: =rú	1	NA
teot1238	verbal	22	slot	reciprocal saˀ	1	NA
teot1238	verbal	23	slot	pronominal enclitic; NP (a/s)	?	NA
teot1238	verbal	24	slot	pronominal enclitic; NP (p)	?	NA
teot1238	verbal	25	slot	pronominal enclitic; NP (r)	?	NA
teot1238	verbal	26	slot	adverb (lexical)	Open?	NA
teot1238	verbal	27	slot	subordinate clause	Open	NA
teot1238	verbal	28	slot	discursive enclitics	?	NA
teot1238	nominal	1	slot	prepositions: ʃtḛ̂:n ‘of’; næ:z ‘by’	2	NA
teot1238	nominal	2	zone	quantifiers (qr): zyē:n ‘various’, tubruˀ ‘some’, indef te= etc; relational nouns: lo:w ‘face of’, kwæˀ ‘side of’ etc.	?	NA
teot1238	nominal	3	slot	adverbial enclitics of frequency and manner: =pkā, =kā, =zī	3	NA
teot1238	nominal	4	slot	adverbial enclitic of equality: =zá	1	NA
teot1238	nominal	5	slot	adverbial enclitics of frequency and manner: =pkā, =kā, =zī	3	NA
teot1238	nominal	6	slot	plural d´=; 1pl dū=; dā= ‘Mr.’; tyú= ‘uncle’	4	NA
teot1238	nominal	7	slot	possessive: ʃ-	5	NA
teot1238	nominal	8	slot	noun base	Open	NA
teot1238	nominal	9	slot	second element of a compound	?	NA
teot1238	nominal	10	slot	adjective(s) (up to three)	?	NA
teot1238	nominal	11	slot	diminutive: -æˀny/-iˀny	1	NA
teot1238	nominal	12	slot	intensifiers: da̰:n; tæ̰:	2	NA
teot1238	nominal	13	slot	adverbial enclitics of frequency and manner: =pkā, =kā, =zī	3	NA
teot1238	nominal	14	slot	adverbial enclitic of equality: =zá	1	NA
teot1238	nominal	15	slot	adverbial enclitic of comparison: =rú	1	NA
teot1238	nominal	16	slot	demonstratives: =kī dem.temp; =kán dem.med; =rǽˀ dem.prox; =rǣ dem.dist	4	NA
teot1238	nominal	17	slot	Prepositional phrase, pronominal enclitic, NP Possessor	Open	NA
teot1238	nominal	18	slot	relative clause	Open	NA
teot1238	nominal	19	slot	demonstratives: =kī dem.temp; =kán dem.med; =rǽˀ dem.prox; =rǣ dem.dist	4	NA
teot1238	nominal	20	slot	focus marker =ēn	1	NA
hupd1244	verbal	1	zone	NP{A,S,O,Oblique}	NA	NA
hupd1244	verbal	2	slot	Subject Proclitic {S, A} (marginal)	NA	NA
hupd1244	verbal	3	zone	Valence: (causative root), Interactional ʔũh-, Reflexive/passive hup-, O (simplex)	NA	NA
hupd1244	verbal	4	slot	Causative root	NA	NA
hupd1244	verbal	5	slot	Factitive hi-	NA	NA
hupd1244	verbal	6	zone	Verb base (one or more compounded roots)	NA	NA
hupd1244	verbal	7	slot	Telic -yɨʔ	NA	NA
hupd1244	verbal	8	slot	Venitive -ʔay	NA	NA
hupd1244	verbal	9	slot	Applicative -ʔũh	NA	NA
hupd1244	verbal	10	slot	Completive -cɨ̃p / -cɨ̃w	NA	NA
hupd1244	verbal	11	slot	Emphasis -pog	NA	NA
hupd1244	verbal	12	slot	Counterfactual -tæ̃ʔ	NA	NA
hupd1244	verbal	13	slot	Perfective -ʔeʔ	NA	NA
hupd1244	verbal	14	slot	Clausal negative -nɨ́h	NA	NA
hupd1244	verbal	15	slot	Habitual -bɨg , Distributive -pɨd, Future -teg	NA	NA
hupd1244	verbal	16	slot	Evidentials -hɔ̃, -cud, -mah, frustrative -yæ̃h, repetitive -b’ay	NA	NA
hupd1244	verbal	17	slot	Inchoative -ay	NA	NA
hupd1244	verbal	18	slot	Inferred -ni	NA	NA
hupd1244	verbal	19	slot	Filler -Vw	NA	NA
hupd1244	verbal	20	slot	Boundary	NA	NA
hupd1244	verbal	21	slot	Counterfactual =tih	NA	NA
hupd1244	verbal	22	slot	Emphatic Coordinator =nih	NA	NA
hupd1244	verbal	23	zone	Evidentials =cud,  =hɔ̃	NA	NA
hupd1244	verbal	24	slot	Repetitive =b’ay	NA	NA
hupd1244	verbal	25	slot	Emphasis =pog	NA	NA
hupd1244	verbal	26	slot	Reportative =mah	NA	NA
hupd1244	verbal	27	slot	Habitual bɨ́g, Distributive pɨ́d	NA	NA
hupd1244	verbal	28	slot	Frustrative yæ̃́h	NA	NA
hupd1244	verbal	29	slot	Contrast j’ám / j’ã́h, páh, tán	NA	NA
hupd1244	verbal	30	zone	intensifier mún, adversative conjunction kǎh, persistive tæ, epistemic modality ʔũh, etc.	NA	NA
hupd1244	verbal	31	zone	NP{A,S,O,Oblique}	NA	NA
hupd1244	verbal	32	slot	Declarative -Vh	NA	NA
hupd1244	nominal	1	slot	Demonstrative	NA	NA
hupd1244	nominal	2	zone	NP{Poss}-nƗh	NA	NA
hupd1244	nominal	3	slot	Quantifier, Numeral	NA	NA
hupd1244	nominal	4	slot	Relative clause	NA	NA
hupd1244	nominal	5	zone	root (or compounded roots)	NA	NA
hupd1244	nominal	6	zone	Classifier	NA	NA
hupd1244	nominal	7	zone	Adjective	NA	NA
hupd1244	nominal	8	slot	‘Respect’ markers =wǝd (m), =wa (f)	NA	NA
hupd1244	nominal	9	slot	Deceased marker =cud	NA	NA
hupd1244	nominal	10	slot	Augmentative =pog, diminutive =mæh	NA	NA
hupd1244	nominal	11	slot	Plural =d’ǝh	NA	NA
hupd1244	nominal	12	zone	Case -ǎn, -an, -V́́t	NA	NA
hupd1244	nominal	13	slot	Intensifier =hup	NA	NA
hupd1244	nominal	14	slot	Parallel marker =hin	NA	NA
hupd1244	nominal	15	zone	Topic/Focus/Contrast/Evidentiality	NA	NA
iyoj1235	verbal	1	zone	Conjunction or conjunctive locution; interrogative ma?	NA	NA
