Serial_Order	Analysis_Type	Language	ShortName	Glottocode	Planar_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Overlap_Verbal	Overlap_Verbal_Extended	Overlap_Nominal	Size	Relative_Size	Largest	Position_Total	PW_Pattern	Notes	Tests_Total	LexPhon_Name	Spanish_Name	Structure_Preserving	POS_Subcategorization	Obligatoriness	Exceptional	Categorical
78	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_harmony_consonant.assimilation_alveolarization	phonological	harmony	consonant.assimilation	NA	alveolarization	3	4	6	0.23	8	NA	4	2	0.17	12	12	assimilation	NA	26	Alveolarization	Alveolarización	y	n	y	n	y
85	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_segmental_deletion_apocope	phonological	segmental	deletion	NA	apocope	4	12	2	0.08	8	NA	4	9	0.75	12	12	deletion	NA	26	Apocope	Apócope	y	y	n	y	y
86	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_segmental_insertion_glottal.stop.insertion	phonological	segmental	insertion	NA	glottal.stop.insertion	3	4	6	0.23	8	NA	4	2	0.17	12	12	insertion	NA	26	Glottal stop insertion	Inserción glotal	y	n	y	y	y?
93	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	maximal	intensity	3	12	3	0.12	8	NA	4	10	0.83	12	12	stress	NA	26	Intensity	Intensidad	n	n	n	n	n
94	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	minimal	intensity	3	4	6	0.23	8	NA	4	2	0.17	12	12	stress	NA	26	Intensity	Intensidad	n	n	n	n	n
95	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_suprasegmental_maximal_h.tone.insertion	phonological	suprasegmental	NA	maximal	h.tone.insertion	3	6	3	0.12	8	NA	4	4	0.33	12	12	NA	NA	26	H tone insertion	Inserción tono alto	n	n	y	n	n?
96	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_suprasegmental_minimal_h.deletion	phonological	suprasegmental	NA	minimal	h.deletion	3	12	3	0.12	8	NA	4	10	0.83	12	12	NA	NA	26	H.tone.deletion	Supresión tono alto	n	n	y	y	n
97	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_suprasegmental_minimal_h.tone.insertion	phonological	suprasegmental	NA	minimal	h.tone.insertion	3	4	6	0.23	8	NA	4	2	0.17	12	12	NA	NA	26	H tone insertion	Inserción tono alto	n	n	y	n	n?
98	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	NA	long.distance.tone.reduction.h...h>l...h	4	10	1	0.04	8	NA	4	7	0.58	12	12	tone	NA	26	long.distance.tone.reduction	Reducción tono distancia	n	y	y	y	n
99	constituency	Chácobo	Chacobo	chac1251	chac1251_nominal	chac1251_n_suprasegmental_tone.deletion_maximal_h.deletion	phonological	suprasegmental	tone.deletion	maximal	h.deletion	1	12	2	0.08	8	NA	4	12	1	12	12	tone	NA	26	H.tone.deletion	Supresión tono alto	n	n	n	y	n
106	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_harmony_consonant.assimilation_alveolarization	phonological	harmony	consonant.assimilation	NA	alveolarization	7	8	3	0.08	8	NA	4	2	0.07	28	28	assimilation	NA	38	Alveolarization	Alveolarización	y	n	y	n	y
124	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_segmental_deletion_latent.stop.deletion	phonological	segmental	deletion	NA	latent.stop.deletion	8	24	3	0.08	8	NA	4	17	0.61	28	28	deletion	NA	38	Latent.stop.deletion	Supresión oclusiva latente	y	y	y	y	y
