Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
20	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	morphosyntactic	ciscategorial selection maximal	Ciscat. Sel. Max.
21	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	morphosyntactic	ciscategorial selection minimal	Ciscat. Sel. Min.
22	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_maximal	indeterminate	deviations	allomorphy	maximal	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	indeterminate	deviations allomorphy maximal	Dev. Biunique. Max.
23	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_minimal	indeterminate	deviations	allomorphy	minimal	NA	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	indeterminate	deviations allomorphy minimal	Dev. Biunique. Min.
24	Ayautla Mazatec	ayau1235	ayau1235_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	indeterminate	free occurrence maximal	Min Free Form Max.
25	Ayautla Mazatec	ayau1235	ayau1235_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	19	19	3	0.1	1	0.03	30	31	30	ayau1235_verbal	indeterminate	free occurrence minimal	Min Free Form Min.
26	Ayautla Mazatec	ayau1235	ayau1235_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	6	28	2	0.07	23	0.77	30	31	30	ayau1235_verbal	morphosyntactic	noninterruption complex	No-interrupt. Compl.
27	Ayautla Mazatec	ayau1235	ayau1235_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	morphosyntactic	noninterruption simplex	No-interrupt. Simpl.
28	Ayautla Mazatec	ayau1235	ayau1235_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	15	20	2	0.07	6	0.2	30	31	30	ayau1235_verbal	morphosyntactic	nonpermutability rigid	Non-permut. Min.
29	Ayautla Mazatec	ayau1235	ayau1235_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	13	21	1	0.03	9	0.3	30	31	30	ayau1235_verbal	morphosyntactic	nonpermutability scopal	Non-permut. Max.
30	Ayautla Mazatec	ayau1235	ayau1235_v_pausing_pause	phonological	pausing	NA	NA	pause	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	pause	pausing pause	Pause
31	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_asyndetic_verbal.parallelism	indeterminate	recursion.based	asyndetic	NA	verbal.parallelism	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	morphosyntactic	recursion based asyndetic verbal parallelism	Verbal Parallel.
32	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_maximal_coordination	morphosyntactic	recursion.based	NA	maximal	coordination	2	29	1	0.03	28	0.93	30	31	30	ayau1235_verbal	morphosyntactic	recursion based maximal coordination	Coordination Max.
33	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_minimal_coordination	indeterminate	recursion.based	NA	minimal	coordination	6	28	2	0.07	23	0.77	30	31	30	ayau1235_verbal	morphosyntactic	recursion based minimal coordination	Coordination Min.
34	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_nominalization_maximal	morphosyntactic	recursion.based	nominalization	maximal	NA	3	29	1	0.03	27	0.9	30	31	30	ayau1235_verbal	morphosyntactic	recursion based nominalization maximal	Nominaliz. Max.
35	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_nominalization_minimal	indeterminate	recursion.based	nominalization	minimal	NA	3	20	1	0.03	18	0.6	30	31	30	ayau1235_verbal	morphosyntactic	recursion based nominalization minimal	Nominaliz. Min.
36	Ayautla Mazatec	ayau1235	ayau1235_v_recursion.based_reduplication_total.reduplication	indeterminate	recursion.based	reduplication	NA	total.reduplication	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	morphosyntactic	recursion based reduplication total reduplication	Total Redupl.
37	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_syllabification_negative.evidence	phonological	segmental	syllabification	NA	negative.evidence	16	28	1	0.03	13	0.43	30	31	30	ayau1235_verbal	syllable	segmental syllabification negative evidence	Segm. Syllab. Negative
38	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_syllabification_positive.evidence	phonological	segmental	syllabification	NA	positive.evidence	16	19	1	0.03	4	0.13	30	31	30	ayau1235_verbal	syllable	segmental syllabification positive evidence	Segm. Syllab. Positive
39	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_vowel-consonant.dissimilation_maximal_*ɛ.j.constraint.negative.evidence	phonological	segmental	vowel-consonant.dissimilation	maximal	*ɛ.j.constraint.negative.evidence	13	25	1	0.03	13	0.43	30	31	30	ayau1235_verbal	dissimilation	segmental vowel-consonant dissimilation maximal *ɛ j constraint negative evidence	*ɛ.j Constraint Max.
40	Ayautla Mazatec	ayau1235	ayau1235_v_segmental_vowel-consonant.dissimilation_minimal_*ɛ.j.constraint.positive.evidence	phonological	segmental	vowel-consonant.dissimilation	minimal	*ɛ.j.constraint.positive.evidence	19	19	3	0.1	1	0.03	30	31	30	ayau1235_verbal	dissimilation	segmental vowel-consonant dissimilation minimal *ɛ j constraint positive evidence	*ɛ.j Constraint Min.
41	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	15	20	2	0.07	6	0.2	30	31	30	ayau1235_verbal	stress	suprasegmental accent maximal	Stress Max.
42	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_accent_minimal_positive.evidence	phonological	suprasegmental	accent	minimal	positive.evidence	19	20	1	0.03	2	0.07	30	31	30	ayau1235_verbal	stress	suprasegmental accent minimal positive evidence	Stress Min.
43	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_neutralization_maximal_obligatory.tone.neutralization	phonological	suprasegmental	neutralization	maximal	obligatory.tone.neutralization	15	21	2	0.07	7	0.23	30	31	30	ayau1235_verbal	tone	suprasegmental neutralization maximal obligatory tone neutralization	*3.24 Neutral. Max.
44	Ayautla Mazatec	ayau1235	ayau1235_v_suprasegmental_neutralization_minimal_obligatory.tone.neutralization	phonological	suprasegmental	neutralization	minimal	obligatory.tone.neutralization	19	19	3	0.1	1	0.03	30	31	30	ayau1235_verbal	tone	suprasegmental neutralization minimal obligatory tone neutralization	*3.24 Neutral. Min.
