Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
50	Central Alaskan Yupik	cent2127	cent2127_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	4	16	1	0.05	13	0.68	19	21	19	cent2127_verbal	morphosyntactic	ciscategorial selection maximal	Ciscat. Sel. Max.
51	Central Alaskan Yupik	cent2127	cent2127_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	ciscategorial selection minimal	Ciscat. Sel. Min.
52	Central Alaskan Yupik	cent2127	cent2127_v_deviations_cumulative.exponence_cumulative.exponence.and.suppletion.involving.negation	indeterminate	deviations	cumulative.exponence	NA	cumulative.exponence.and.suppletion.involving.negation	4	12	1	0.05	9	0.47	19	21	19	cent2127_verbal	indeterminate	deviations cumulative exponence cumulative exponence and suppletion involving negation	Cumul. Exp.
53	Central Alaskan Yupik	cent2127	cent2127_v_deviations_extended.exponence_nonbiunique.marking.of.mood.and.person/number.of.s/a/o	indeterminate	deviations	extended.exponence	NA	nonbiunique.marking.of.mood.and.person/number.of.s/a/o	11	16	1	0.05	6	0.32	19	21	19	cent2127_verbal	indeterminate	deviations extended exponence nonbiunique marking of mood and person/number of s/a/o	Extend. Exp.
54	Central Alaskan Yupik	cent2127	cent2127_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	indeterminate	free occurrence maximal	Free Ocurr. Max.
55	Central Alaskan Yupik	cent2127	cent2127_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	indeterminate	free occurrence minimal	Free Ocurr. Min.
56	Central Alaskan Yupik	cent2127	cent2127_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	noninterruption	Non-interrupt.
57	Central Alaskan Yupik	cent2127	cent2127_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	nonpermutability rigid	Non-permut. Rigid
58	Central Alaskan Yupik	cent2127	cent2127_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	morphosyntactic	nonpermutability scopal	Non-permut. Scope
59	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement.say	morphosyntactic	recursion.based	complementation	NA	complement.say	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	morphosyntactic	recursion based complementation complement say	Rec. Compl. Say
60	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement1	morphosyntactic	recursion.based	complementation	NA	complement1	2	3	1	0.05	2	0.11	19	21	19	cent2127_verbal	morphosyntactic	recursion based complementation complement1	Rec. Compl. 1
61	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement2	morphosyntactic	recursion.based	complementation	NA	complement2	2	4	1	0.05	3	0.16	19	21	19	cent2127_verbal	morphosyntactic	recursion based complementation complement2	Rec. Compl. 2
62	Central Alaskan Yupik	cent2127	cent2127_v_recursion.based_complementation_complement3	morphosyntactic	recursion.based	complementation	NA	complement3	2	7	1	0.05	6	0.32	19	21	19	cent2127_verbal	morphosyntactic	recursion based complementation complement3	Rec. Compl. 3
63	Central Alaskan Yupik	cent2127	cent2127_v_repair_maximal	indeterminate	repair	NA	maximal	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	indeterminate	repair maximal	Repair Max.
64	Central Alaskan Yupik	cent2127	cent2127_v_repair_minimal	indeterminate	repair	NA	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	indeterminate	repair minimal	Repair Min.
65	Central Alaskan Yupik	cent2127	cent2127_v_segmental_consonant.coalescence_uvular-velar.consonant.coalescence	phonological	segmental	consonant.coalescence	NA	uvular-velar.consonant.coalescence	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	assimilation	segmental consonant coalescence uvular-velar consonant coalescence	Cons. Coal.
66	Central Alaskan Yupik	cent2127	cent2127_v_segmental_consonant.deletion_vvv.clusteravoidance	phonological	segmental	consonant.deletion	NA	vvv.clusteravoidance	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	assimilation	segmental consonant deletion vvv clusteravoidance	V-Clust. Avoid.
67	Central Alaskan Yupik	cent2127	cent2127_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	2	20	4	0.21	19	1	19	21	19	cent2127_verbal	stress	suprasegmental accent maximal	Stress Max.
68	Central Alaskan Yupik	cent2127	cent2127_v_suprasegmental_accent_minimal	phonological	suprasegmental	accent	minimal	NA	2	16	9	0.47	15	0.79	19	21	19	cent2127_verbal	stress	suprasegmental accent minimal	Stress Min.
