Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
69	Chácobo	chac1251	chac1251_n_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	4	12	2	0.08	9	0.75	12	12	26	chac1251_nominal	morphosyntactic	ciscategorial selection maximal	NA
70	Chácobo	chac1251	chac1251_n_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	4	4	3	0.12	1	0.08	12	12	26	chac1251_nominal	morphosyntactic	ciscategorial selection minimal	NA
71	Chácobo	chac1251	chac1251_n_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	3	12	3	0.12	10	0.83	12	12	26	chac1251_nominal	indeterminate	free occurrence maximal	NA
72	Chácobo	chac1251	chac1251_n_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	4	4	3	0.12	1	0.08	12	12	26	chac1251_nominal	indeterminate	free occurrence minimal	NA
73	Chácobo	chac1251	chac1251_n_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	3	6	3	0.12	4	0.33	12	12	26	chac1251_nominal	morphosyntactic	noninterruption complex	NA
74	Chácobo	chac1251	chac1251_n_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	3	5	1	0.04	3	0.25	12	12	26	chac1251_nominal	morphosyntactic	noninterruption simplex	NA
75	Chácobo	chac1251	chac1251_n_nonpermutability_maximal	morphosyntactic	nonpermutability	NA	maximal	NA	2	12	1	0.04	11	0.92	12	12	26	chac1251_nominal	morphosyntactic	nonpermutability maximal	NA
76	Chácobo	chac1251	chac1251_n_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	2	2	1	0.04	1	0.08	12	12	26	chac1251_nominal	morphosyntactic	nonpermutability rigid minimal	NA
77	Chácobo	chac1251	chac1251_n_nonpermutability_scopal_minimal	morphosyntactic	nonpermutability	scopal	minimal	NA	2	6	1	0.04	5	0.42	12	12	26	chac1251_nominal	morphosyntactic	nonpermutability scopal minimal	NA
78	Chácobo	chac1251	chac1251_n_proform	morphosyntactic	proform	NA	NA	NA	1	12	2	0.08	12	1	12	12	26	chac1251_nominal	morphosyntactic	proform	NA
79	Chácobo	chac1251	chac1251_n_recursion.based_compound	morphosyntactic	recursion.based	NA	NA	compound	3	4	6	0.23	2	0.17	12	12	26	chac1251_nominal	morphosyntactic	recursion based compound	NA
80	Chácobo	chac1251	chac1251_n_recursion.based_maximal_tihi.conjunction	morphosyntactic	recursion.based	NA	maximal	tihi.conjunction	2	8	1	0.04	7	0.58	12	12	26	chac1251_nominal	morphosyntactic	recursion based maximal tihi conjunction	NA
81	Chácobo	chac1251	chac1251_n_recursion.based_minimal_tihi.conjunction	indeterminate	recursion.based	NA	minimal	tihi.conjunction	3	6	3	0.12	4	0.33	12	12	26	chac1251_nominal	indeterminate	recursion based minimal tihi conjunction	NA
