Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
95	Chácobo	chac1251	chac1251_v_ciscategorial.selection_broad	morphosyntactic	ciscategorial.selection	broad	NA	NA	1	28	1	0.03	28	1	28	28	38	chac1251_verbal	morphosyntactic	ciscategorial selection broad	NA
96	Chácobo	chac1251	chac1251_v_ciscategorial.selection_narrow_maximal	morphosyntactic	ciscategorial.selection	narrow	maximal	NA	8	24	3	0.08	17	0.61	28	28	38	chac1251_verbal	morphosyntactic	ciscategorial selection narrow maximal	NA
97	Chácobo	chac1251	chac1251_v_ciscategorial.selection_narrow_minimal	morphosyntactic	ciscategorial.selection	narrow	minimal	NA	8	16	1	0.03	9	0.32	28	28	38	chac1251_verbal	morphosyntactic	ciscategorial selection narrow minimal	NA
98	Chácobo	chac1251	chac1251_v_deviations_cumulative.exponence_optional	indeterminate	deviations	cumulative.exponence	NA	optional	7	9	1	0.03	3	0.11	28	28	38	chac1251_verbal	indeterminate	deviations cumulative exponence optional	NA
100	Chácobo	chac1251	chac1251_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	7	25	2	0.05	19	0.68	28	28	38	chac1251_verbal	indeterminate	free occurrence maximal	NA
101	Chácobo	chac1251	chac1251_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	8	24	3	0.08	17	0.61	28	28	38	chac1251_verbal	indeterminate	free occurrence minimal	NA
102	Chácobo	chac1251	chac1251_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	7	20	1	0.03	14	0.5	28	28	38	chac1251_verbal	morphosyntactic	noninterruption complex	NA
103	Chácobo	chac1251	chac1251_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	7	11	2	0.05	5	0.18	28	28	38	chac1251_verbal	morphosyntactic	noninterruption simplex	NA
104	Chácobo	chac1251	chac1251_v_nonpermutability_rigid_maximal	morphosyntactic	nonpermutability	rigid	maximal	NA	7	26	1	0.03	20	0.71	28	28	38	chac1251_verbal	morphosyntactic	nonpermutability rigid maximal	NA
105	Chácobo	chac1251	chac1251_v_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	morphosyntactic	nonpermutability rigid minimal	NA
106	Chácobo	chac1251	chac1251_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	7	12	1	0.03	6	0.21	28	28	38	chac1251_verbal	morphosyntactic	nonpermutability scopal	NA
107	Chácobo	chac1251	chac1251_v_recursion.based_asyndetic_maximal_asyndetic	morphosyntactic	recursion.based	asyndetic	maximal	asyndetic	6	17	2	0.05	12	0.43	28	28	38	chac1251_verbal	morphosyntactic	recursion based asyndetic maximal asyndetic	NA
108	Chácobo	chac1251	chac1251_v_recursion.based_asyndetic_minimal_asyndetic	indeterminate	recursion.based	asyndetic	minimal	asyndetic	7	13	1	0.03	7	0.25	28	28	38	chac1251_verbal	indeterminate	recursion based asyndetic minimal asyndetic	NA
109	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_maximal_agentive.nominalization	morphosyntactic	recursion.based	nominalization	maximal	agentive.nominalization	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	morphosyntactic	recursion based nominalization maximal agentive nominalization	NA
110	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_maximal_instrumental.nominalization	morphosyntactic	recursion.based	nominalization	maximal	instrumental.nominalization	6	24	3	0.08	19	0.68	28	28	38	chac1251_verbal	morphosyntactic	recursion based nominalization maximal instrumental nominalization	NA
111	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_minimal_agentive.nominalization	indeterminate	recursion.based	nominalization	minimal	agentive.nominalization	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	indeterminate	recursion based nominalization minimal agentive nominalization	NA
112	Chácobo	chac1251	chac1251_v_recursion.based_nominalization_minimal_instrumental.nominalization	indeterminate	recursion.based	nominalization	minimal	instrumental.nominalization	6	24	3	0.08	19	0.68	28	28	38	chac1251_verbal	indeterminate	recursion based nominalization minimal instrumental nominalization	NA
113	Chácobo	chac1251	chac1251_v_recursion.based_reduplication_maximal	morphosyntactic	recursion.based	reduplication	maximal	NA	7	22	2	0.05	16	0.57	28	28	38	chac1251_verbal	morphosyntactic	recursion based reduplication maximal	NA
114	Chácobo	chac1251	chac1251_v_recursion.based_reduplication_minimal	indeterminate	recursion.based	reduplication	minimal	NA	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	indeterminate	recursion based reduplication minimal	NA
115	Chácobo	chac1251	chac1251_v_recursion.based_same.subject_maximal_same.subject	morphosyntactic	recursion.based	same.subject	maximal	same.subject	6	17	2	0.05	12	0.43	28	28	38	chac1251_verbal	morphosyntactic	recursion based same subject maximal same subject	NA
116	Chácobo	chac1251	chac1251_v_recursion.based_syndetic_maximal_different.subject	morphosyntactic	recursion.based	syndetic	maximal	different.subject	6	24	3	0.08	19	0.68	28	28	38	chac1251_verbal	morphosyntactic	recursion based syndetic maximal different subject	NA
117	Chácobo	chac1251	chac1251_v_recursion.based_syndetic_minimal_different.subject	indeterminate	recursion.based	syndetic	minimal	different.subject	7	22	2	0.05	16	0.57	28	28	38	chac1251_verbal	indeterminate	recursion based syndetic minimal different subject	NA
118	Chácobo	chac1251	chac1251_v_recursion.based_syndetic_minimal_same.subject	indeterminate	recursion.based	syndetic	minimal	same.subject	7	11	2	0.05	5	0.18	28	28	38	chac1251_verbal	indeterminate	recursion based syndetic minimal same subject	NA
119	Chácobo	chac1251	chac1251_v_segmental_consonant.assimilation_alveolarization	phonological	segmental	consonant.assimilation	NA	alveolarization	7	8	3	0.08	2	0.07	28	28	38	chac1251_verbal	assimilation	segmental consonant assimilation alveolarization	NA
120	Chácobo	chac1251	chac1251_v_segmental_consonant.deletion_latent.stop.deletion	phonological	segmental	consonant.deletion	NA	latent.stop.deletion	8	24	3	0.08	17	0.61	28	28	38	chac1251_verbal	deletion	segmental consonant deletion latent stop deletion	NA
121	Chácobo	chac1251	chac1251_v_segmental_consonant.insertion_maximal_glottal.insertion	phonological	segmental	consonant.insertion	maximal	glottal.insertion	6	28	1	0.03	23	0.82	28	28	38	chac1251_verbal	insertion	segmental consonant insertion maximal glottal insertion	NA
122	Chácobo	chac1251	chac1251_v_segmental_consonant.insertion_minimal_glottal.insertion	phonological	segmental	consonant.insertion	minimal	glottal.insertion	7	8	3	0.08	2	0.07	28	28	38	chac1251_verbal	insertion	segmental consonant insertion minimal glottal insertion	NA
123	Chácobo	chac1251	chac1251_v_segmental_consonant.insertion_minimal_glottal.stop.insertion	phonological	segmental	consonant.insertion	minimal	glottal.stop.insertion	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	insertion	segmental consonant insertion minimal glottal stop insertion	NA
125	Chácobo	chac1251	chac1251_v_segmental_vowel.insertion_maximal	phonological	segmental	vowel.insertion	maximal	NA	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	insertion	segmental vowel insertion maximal	NA
126	Chácobo	chac1251	chac1251_v_segmental_vowel.insertion_maximal_same.vowel.insertion	phonological	segmental	vowel.insertion	maximal	same.vowel.insertion	7	24	4	0.11	18	0.64	28	28	38	chac1251_verbal	size-related	segmental vowel insertion maximal same vowel insertion	NA
127	Chácobo	chac1251	chac1251_v_segmental_vowel.insertion_minimal_same.vowel.insertion	phonological	segmental	vowel.insertion	minimal	same.vowel.insertion	7	10	4	0.11	4	0.14	28	28	38	chac1251_verbal	size-related	segmental vowel insertion minimal same vowel insertion	NA
128	Chácobo	chac1251	chac1251_v_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	maximal	intensity	7	25	2	0.05	19	0.68	28	28	38	chac1251_verbal	stress	suprasegmental accent maximal intensity	NA
129	Chácobo	chac1251	chac1251_v_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	minimal	intensity	7	8	3	0.08	2	0.07	28	28	38	chac1251_verbal	stress	suprasegmental accent minimal intensity	NA
130	Chácobo	chac1251	chac1251_v_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	NA	long.distance.tone.reduction.h...h>l...h	8	12	1	0.03	5	0.18	28	28	38	chac1251_verbal	tone	suprasegmental tone deletion long distance tone reduction h h>l h	NA
