Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
135	Oklahoma Cherokee	cher1273	cher1273_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	2	22	3	0.14	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	ciscategorial selection maximal	Ciscat. Sel. Max.
136	Oklahoma Cherokee	cher1273	cher1273_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	12	22	1	0.05	11	0.46	24	24	21	cher1273_verbal	morphosyntactic	ciscategorial selection minimal	Ciscat. Sel. Min.
137	Oklahoma Cherokee	cher1273	cher1273_v_deviations_allomorphy_maximal	indeterminate	deviations	allomorphy	maximal	NA	4	22	1	0.05	19	0.79	24	24	21	cher1273_verbal	indeterminate	deviations allomorphy maximal	Dev. Biunique. Max.
138	Oklahoma Cherokee	cher1273	cher1273_v_deviations_allomorphy_minimal	indeterminate	deviations	allomorphy	minimal	NA	4	13	1	0.05	10	0.42	24	24	21	cher1273_verbal	indeterminate	deviations allomorphy minimal	Dev. Biunique. Min.
139	Oklahoma Cherokee	cher1273	cher1273_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	2	23	5	0.24	22	0.92	24	24	21	cher1273_verbal	indeterminate	free occurrence maximal	Min Free Form Max.
140	Oklahoma Cherokee	cher1273	cher1273_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	9	22	1	0.05	14	0.58	24	24	21	cher1273_verbal	indeterminate	free occurrence minimal	Min Free Form Min.
141	Oklahoma Cherokee	cher1273	cher1273_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	2	22	3	0.14	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	noninterruption	Non-interrupt.
142	Oklahoma Cherokee	cher1273	cher1273_v_nonpermutability_rigid_maximal	morphosyntactic	nonpermutability	rigid	maximal	NA	2	22	3	0.14	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	nonpermutability rigid maximal	Nonpermutability Max.
143	Oklahoma Cherokee	cher1273	cher1273_v_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	2	17	1	0.05	16	0.67	24	24	21	cher1273_verbal	morphosyntactic	nonpermutability rigid minimal	Nonpermutability Min.
144	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_asyndetic_maximal	morphosyntactic	recursion.based	asyndetic	maximal	NA	1	24	1	0.05	24	1	24	24	21	cher1273_verbal	morphosyntactic	recursion based asyndetic maximal	Rep. Subspan Max.
145	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_asyndetic_minimal	indeterminate	recursion.based	asyndetic	minimal	NA	2	23	5	0.24	22	0.92	24	24	21	cher1273_verbal	indeterminate	recursion based asyndetic minimal	Rep. Subspan Min.
146	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_nominalization_maximal	morphosyntactic	recursion.based	nominalization	maximal	NA	1	21	1	0.05	21	0.88	24	24	21	cher1273_verbal	morphosyntactic	recursion based nominalization maximal	Nominaliz. Max.
147	Oklahoma Cherokee	cher1273	cher1273_v_recursion.based_nominalization_minimal	indeterminate	recursion.based	nominalization	minimal	NA	2	20	1	0.05	19	0.79	24	24	21	cher1273_verbal	indeterminate	recursion based nominalization minimal	Nominaliz. Min.
148	Oklahoma Cherokee	cher1273	cher1273_v_segmental_syllabification_syllabification	phonological	segmental	syllabification	NA	syllabification	2	23	5	0.24	22	0.92	24	24	21	cher1273_verbal	syllable	segmental syllabification syllabification	Syllabification
149	Oklahoma Cherokee	cher1273	cher1273_v_segmental_vowel.deletion_final.apocope	phonological	segmental	vowel.deletion	NA	final.apocope	2	23	5	0.24	22	0.92	24	24	21	cher1273_verbal	deletion	segmental vowel deletion final apocope	Final Apocope
150	Oklahoma Cherokee	cher1273	cher1273_v_segmental_vowel.deletion_h-metathesis.vowel.deletion,.h-metathesis+vowel.deletion	phonological	segmental	vowel.deletion	NA	h-metathesis.vowel.deletion,.h-metathesis+vowel.deletion	2	23	5	0.24	22	0.92	24	24	21	cher1273_verbal	deletion	segmental vowel deletion h-metathesis vowel deletion, h-metathesis+vowel deletion	H-Metathesis/V-Del.
151	Oklahoma Cherokee	cher1273	cher1273_v_suprasegmental_accent_domain.of.h1.spreading	phonological	suprasegmental	accent	NA	domain.of.h1.spreading	11	21	1	0.05	11	0.46	24	24	21	cher1273_verbal	tone	suprasegmental accent domain of h1 spreading	H1 Spreading
152	Oklahoma Cherokee	cher1273	cher1273_v_suprasegmental_accent_maximal_domain.of.h3.assignment	phonological	suprasegmental	accent	maximal	domain.of.h3.assignment	5	21	1	0.05	17	0.71	24	24	21	cher1273_verbal	tone	suprasegmental accent maximal domain of h3 assignment	H3 Assign. Max.
153	Oklahoma Cherokee	cher1273	cher1273_v_suprasegmental_accent_maximal_domain.of.superhigh.assignment	phonological	suprasegmental	accent	maximal	domain.of.superhigh.assignment	5	22	1	0.05	18	0.75	24	24	21	cher1273_verbal	tone	suprasegmental accent maximal domain of superhigh assignment	Superhigh Assign. Max.
154	Oklahoma Cherokee	cher1273	cher1273_v_suprasegmental_accent_minimal_domain.of.h3.assignment	phonological	suprasegmental	accent	minimal	domain.of.h3.assignment	7	21	1	0.05	15	0.62	24	24	21	cher1273_verbal	tone	suprasegmental accent minimal domain of h3 assignment	H3 Assign. Min.
155	Oklahoma Cherokee	cher1273	cher1273_v_suprasegmental_accent_minimal_domain.of.superhigh.assignment	phonological	suprasegmental	accent	minimal	domain.of.superhigh.assignment	7	22	1	0.05	16	0.67	24	24	21	cher1273_verbal	tone	suprasegmental accent minimal domain of superhigh assignment	Superhigh Assign. Min.
