Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
176	San Martín Duraznos Mixtec	dura0000	dura0000_v_ciscategorial.selection_maximal_chi-.derives.verbs	morphosyntactic	ciscategorial.selection	NA	maximal	chi-.derives.verbs	4	23	1	0.04	20	0.69	29	29	27	dura0000_verbal	morphosyntactic	ciscategorial selection maximal chi- derives verbs	Ciscat. Sel. Max. (chi- verb.)
177	San Martín Duraznos Mixtec	dura0000	dura0000_v_ciscategorial.selection_maximal_chi-.does.not.derive.verbs	morphosyntactic	ciscategorial.selection	NA	maximal	chi-.does.not.derive.verbs	16	17	1	0.04	2	0.07	29	29	27	dura0000_verbal	morphosyntactic	ciscategorial selection maximal chi- does not derive verbs	Ciscat. Sel. Max. (chi- not verb.)
178	San Martín Duraznos Mixtec	dura0000	dura0000_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	17	17	6	0.22	1	0.03	29	29	27	dura0000_verbal	morphosyntactic	ciscategorial selection minimal	Ciscat. Sel. Min.
179	San Martín Duraznos Mixtec	dura0000	dura0000_v_deviations_cumulative.exponence_maximal_many-to-one	indeterminate	deviations	cumulative.exponence	maximal	many-to-one	12	23	1	0.04	12	0.41	29	29	27	dura0000_verbal	indeterminate	deviations cumulative exponence maximal many-to-one	Dev. Biunique. MTO Max.
180	San Martín Duraznos Mixtec	dura0000	dura0000_v_deviations_cumulative.exponence_minimal_many-to-one	indeterminate	deviations	cumulative.exponence	minimal	many-to-one	17	17	6	0.22	1	0.03	29	29	27	dura0000_verbal	indeterminate	deviations cumulative exponence minimal many-to-one	Dev. Biunique. MTO Min.
181	San Martín Duraznos Mixtec	dura0000	dura0000_v_deviations_extended.exponence_maximal_one-to-many	indeterminate	deviations	extended.exponence	maximal	one-to-many	13	17	1	0.04	5	0.17	29	29	27	dura0000_verbal	indeterminate	deviations extended exponence maximal one-to-many	Dev. Biunique. OTM Max.
182	San Martín Duraznos Mixtec	dura0000	dura0000_v_deviations_extended.exponence_minimal_one-to-many	indeterminate	deviations	extended.exponence	minimal	one-to-many	17	17	6	0.22	1	0.03	29	29	27	dura0000_verbal	indeterminate	deviations extended exponence minimal one-to-many	Dev. Biunique. OTM Min.
183	San Martín Duraznos Mixtec	dura0000	dura0000_v_free.occurrence_maximal_causative.as.bound.form	indeterminate	free.occurrence	NA	maximal	causative.as.bound.form	11	27	1	0.04	17	0.59	29	29	27	dura0000_verbal	indeterminate	free occurrence maximal causative as bound form	Free Ocurr. Max. (sa- bound)
184	San Martín Duraznos Mixtec	dura0000	dura0000_v_free.occurrence_maximal_causative.as.free.form	indeterminate	free.occurrence	NA	maximal	causative.as.free.form	14	27	1	0.04	14	0.48	29	29	27	dura0000_verbal	indeterminate	free occurrence maximal causative as free form	Free Ocurr. Max. (sa- free)
185	San Martín Duraznos Mixtec	dura0000	dura0000_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	17	17	6	0.22	1	0.03	29	29	27	dura0000_verbal	indeterminate	free occurrence minimal	Free Ocurr. Min.
186	San Martín Duraznos Mixtec	dura0000	dura0000_v_noninterruption_causative.as.bound.form	morphosyntactic	noninterruption	NA	NA	causative.as.bound.form	11	20	1	0.04	10	0.34	29	29	27	dura0000_verbal	morphosyntactic	noninterruption causative as bound form	Non-interrupt. Min. (sa- free)
187	San Martín Duraznos Mixtec	dura0000	dura0000_v_noninterruption_causative.as.free.form	morphosyntactic	noninterruption	NA	NA	causative.as.free.form	14	20	1	0.04	7	0.24	29	29	27	dura0000_verbal	morphosyntactic	noninterruption causative as free form	Non-interrupt. Min. (sa- bound)
188	San Martín Duraznos Mixtec	dura0000	dura0000_v_noninterruption_maximal	morphosyntactic	noninterruption	NA	maximal	NA	3	25	1	0.04	23	0.79	29	29	27	dura0000_verbal	morphosyntactic	noninterruption maximal	Non-interrupt. Max.
189	San Martín Duraznos Mixtec	dura0000	dura0000_v_nonpermutability	morphosyntactic	nonpermutability	NA	NA	NA	5	19	1	0.04	15	0.52	29	29	27	dura0000_verbal	morphosyntactic	nonpermutability	Non-permut.
190	San Martín Duraznos Mixtec	dura0000	dura0000_v_recursion.based_asyndetic_maximal	morphosyntactic	recursion.based	asyndetic	maximal	NA	12	26	1	0.04	15	0.52	29	29	27	dura0000_verbal	morphosyntactic	recursion based asyndetic maximal	Rec. Asynd. Max.
191	San Martín Duraznos Mixtec	dura0000	dura0000_v_recursion.based_asyndetic_minimal	indeterminate	recursion.based	asyndetic	minimal	NA	12	25	1	0.04	14	0.48	29	29	27	dura0000_verbal	morphosyntactic	recursion based asyndetic minimal	Rec. Asynd. Min.
192	San Martín Duraznos Mixtec	dura0000	dura0000_v_recursion.based_syndetic_maximal_coordination.with.ta	morphosyntactic	recursion.based	syndetic	maximal	coordination.with.ta	1	29	1	0.04	29	1	29	29	27	dura0000_verbal	morphosyntactic	recursion based syndetic maximal coordination with ta	Rec. Synd. Coord. Max.
193	San Martín Duraznos Mixtec	dura0000	dura0000_v_recursion.based_syndetic_maximal_other.conjunctions	morphosyntactic	recursion.based	syndetic	maximal	other.conjunctions	2	28	1	0.04	27	0.93	29	29	27	dura0000_verbal	morphosyntactic	recursion based syndetic maximal other conjunctions	Rec. Synd. Conj. Max.
194	San Martín Duraznos Mixtec	dura0000	dura0000_v_recursion.based_syndetic_maximal_ña-linkage	morphosyntactic	recursion.based	syndetic	maximal	ña-linkage	4	28	1	0.04	25	0.86	29	29	27	dura0000_verbal	morphosyntactic	recursion based syndetic maximal ña-linkage	Rec. Synd. Ña Max.
195	San Martín Duraznos Mixtec	dura0000	dura0000_v_recursion.based_syndetic_minimal	indeterminate	recursion.based	syndetic	minimal	NA	17	17	6	0.22	1	0.03	29	29	27	dura0000_verbal	morphosyntactic	recursion based syndetic minimal	Rec. Synd. Min.
196	San Martín Duraznos Mixtec	dura0000	dura0000_v_segmental_minimality_maximal_bimoraic	phonological	segmental	minimality	maximal	bimoraic	1	28	1	0.04	28	0.97	29	29	27	dura0000_verbal	size-related	segmental minimality maximal bimoraic	Bimoraic. Bim. Max.
197	San Martín Duraznos Mixtec	dura0000	dura0000_v_segmental_minimality_maximal_monomoraic.apart.from.verb.base	phonological	segmental	minimality	maximal	monomoraic.apart.from.verb.base	1	27	1	0.04	27	0.93	29	29	27	dura0000_verbal	size-related	segmental minimality maximal monomoraic apart from verb base	Bimoraic. Mono. Max.
