Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
204	Hup	hupd1244	hupd1244_n_ciscategorial.selection_maximal_hin=cis	morphosyntactic	ciscategorial.selection	NA	maximal	hin=cis	1	14	1	0.08	14	0.93	15	15	12	hupd1244_nominal	morphosyntactic	ciscategorial selection maximal hin=cis	Ciscat. Sel. Max. (hin=cis)
205	Hup	hupd1244	hupd1244_n_ciscategorial.selection_maximal_hin=trans	morphosyntactic	ciscategorial.selection	NA	maximal	hin=trans	1	13	1	0.08	13	0.87	15	15	12	hupd1244_nominal	morphosyntactic	ciscategorial selection maximal hin=trans	Ciscat. Sel. Max. (hin=trans)
206	Hup	hupd1244	hupd1244_n_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	5	6	1	0.08	2	0.13	15	15	12	hupd1244_nominal	morphosyntactic	ciscategorial selection minimal	Ciscat. Sel. Min.
207	Hup	hupd1244	hupd1244_n_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	5	15	3	0.25	11	0.73	15	15	12	hupd1244_nominal	indeterminate	free occurrence maximal	Free Ocurr. Max.
208	Hup	hupd1244	hupd1244_n_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	5	5	2	0.17	1	0.07	15	15	12	hupd1244_nominal	indeterminate	free occurrence minimal	Free Ocurr. Min.
209	Hup	hupd1244	hupd1244_n_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	5	15	3	0.25	11	0.73	15	15	12	hupd1244_nominal	morphosyntactic	noninterruption	Non-interrupt.
210	Hup	hupd1244	hupd1244_n_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	8	11	1	0.08	4	0.27	15	15	12	hupd1244_nominal	morphosyntactic	nonpermutability rigid	Non-permut. Rigid
211	Hup	hupd1244	hupd1244_n_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	1	15	2	0.17	15	1	15	15	12	hupd1244_nominal	morphosyntactic	nonpermutability scopal	Non-permut. Scope
212	Hup	hupd1244	hupd1244_n_recursion.based	morphosyntactic	recursion.based	NA	NA	NA	1	15	2	0.17	15	1	15	15	12	hupd1244_nominal	morphosyntactic	recursion based	Subspan Rep.
213	Hup	hupd1244	hupd1244_n_segmental_vowel.assimilation_maximal_vowel.copying	phonological	segmental	vowel.assimilation	maximal	vowel.copying	5	12	1	0.08	8	0.53	15	15	12	hupd1244_nominal	assimilation	segmental vowel assimilation maximal vowel copying	Vowel Copy Max.
214	Hup	hupd1244	hupd1244_n_segmental_vowel.assimilation_minimal_vowel.copying	phonological	segmental	vowel.assimilation	minimal	vowel.copying	5	5	2	0.17	1	0.07	15	15	12	hupd1244_nominal	assimilation	segmental vowel assimilation minimal vowel copying	Vowel Copy Min.
215	Hup	hupd1244	hupd1244_n_suprasegmental_accent_stress	phonological	suprasegmental	accent	NA	stress	5	15	3	0.25	11	0.73	15	15	12	hupd1244_nominal	stress	suprasegmental accent stress	Stress
