Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
259	Mebengokre	kaya1330	kaya1330_v_deviations_allomorphy_finiteness	indeterminate	deviations	allomorphy	NA	finiteness	13	15	3	0.2	3	0.16	19	32	15	kaya1330_verbal	indeterminate	deviations allomorphy finiteness	NA
260	Mebengokre	kaya1330	kaya1330_v_deviations_suppletion	indeterminate	deviations	suppletion	NA	NA	13	15	3	0.2	3	0.16	19	32	15	kaya1330_verbal	indeterminate	deviations suppletion	NA
261	Mebengokre	kaya1330	kaya1330_v_deviations_suppletion_suppletion.for.number	indeterminate	deviations	suppletion	NA	suppletion.for.number	13	15	3	0.2	3	0.16	19	32	15	kaya1330_verbal	allomorphy	deviations suppletion suppletion for number	NA
262	Mebengokre	kaya1330	kaya1330_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	3	21	1	0.07	19	1	19	32	15	kaya1330_verbal	indeterminate	free occurrence maximal	NA
263	Mebengokre	kaya1330	kaya1330_v_free.occurrence_minimal_declarative	indeterminate	free.occurrence	NA	minimal	declarative	4	15	1	0.07	12	0.63	19	32	15	kaya1330_verbal	indeterminate	free occurrence minimal declarative	NA
264	Mebengokre	kaya1330	kaya1330_v_free.occurrence_minimal_imperative	indeterminate	free.occurrence	NA	minimal	imperative	10	15	2	0.13	6	0.32	19	32	15	kaya1330_verbal	indeterminate	free occurrence minimal imperative	NA
265	Mebengokre	kaya1330	kaya1330_v_idiom	indeterminate	idiom	NA	NA	NA	9	21	1	0.07	13	0.68	19	32	15	kaya1330_verbal	indeterminate	idiom	NA
266	Mebengokre	kaya1330	kaya1330_v_nonpermutability_maximal	morphosyntactic	nonpermutability	NA	maximal	NA	12	22	1	0.07	11	0.58	19	32	15	kaya1330_verbal	morphosyntactic	nonpermutability maximal	NA
267	Mebengokre	kaya1330	kaya1330_v_nonpermutability_rigid_minimal	morphosyntactic	nonpermutability	rigid	minimal	NA	12	15	3	0.2	4	0.21	19	32	15	kaya1330_verbal	morphosyntactic	nonpermutability rigid minimal	NA
268	Mebengokre	kaya1330	kaya1330_v_pausing_pause	indeterminate	pausing	pause	NA	NA	11	16	1	0.07	6	0.32	19	32	15	kaya1330_verbal	indeterminate	pausing pause	NA
269	Mebengokre	kaya1330	kaya1330_v_recursion.based_maximal_coordination	morphosyntactic	recursion.based	NA	maximal	coordination	4	22	1	0.07	19	1	19	32	15	kaya1330_verbal	morphosyntactic	recursion based maximal coordination	NA
270	Mebengokre	kaya1330	kaya1330_v_recursion.based_maximal_subordination	morphosyntactic	recursion.based	NA	maximal	subordination	5	15	1	0.07	11	0.58	19	32	15	kaya1330_verbal	morphosyntactic	recursion based maximal subordination	NA
271	Mebengokre	kaya1330	kaya1330_v_recursion.based_minimal_coordination	indeterminate	recursion.based	NA	minimal	coordination	10	15	2	0.13	6	0.32	19	32	15	kaya1330_verbal	indeterminate	recursion based minimal coordination	NA
272	Mebengokre	kaya1330	kaya1330_v_segmental_consonant.deletion_consonant.deletion	phonological	segmental	consonant.deletion	NA	consonant.deletion	12	15	3	0.2	4	0.21	19	32	15	kaya1330_verbal	deletion	segmental consonant deletion consonant deletion	NA
273	Mebengokre	kaya1330	kaya1330_v_segmental_vowel.deletion_vowel.deletion	phonological	segmental	vowel.deletion	NA	vowel.deletion	12	15	3	0.2	4	0.21	19	32	15	kaya1330_verbal	deletion	segmental vowel deletion vowel deletion	NA
