Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
291	Martinican	mart1259	mart1259_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	2	26	1	0.08	25	1	25	27	12	mart1259_verbal	morphosyntactic	ciscategorial selection maximal	NA
292	Martinican	mart1259	mart1259_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	17	18	1	0.08	2	0.08	25	27	12	mart1259_verbal	morphosyntactic	ciscategorial selection minimal	NA
293	Martinican	mart1259	mart1259_v_deviations_suppletion_patient.pronouns	indeterminate	deviations	suppletion	NA	patient.pronouns	18	20	1	0.08	3	0.12	25	27	12	mart1259_verbal	indeterminate	deviations suppletion patient pronouns	NA
294	Martinican	mart1259	mart1259_v_deviations_suppletion_recipient.pronouns	indeterminate	deviations	suppletion	NA	recipient.pronouns	18	19	1	0.08	2	0.08	25	27	12	mart1259_verbal	indeterminate	deviations suppletion recipient pronouns	NA
295	Martinican	mart1259	mart1259_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	17	20	4	0.33	4	0.16	25	27	12	mart1259_verbal	indeterminate	free occurrence maximal	NA
296	Martinican	mart1259	mart1259_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	18	18	1	0.08	1	0.04	25	27	12	mart1259_verbal	indeterminate	free occurrence minimal	NA
297	Martinican	mart1259	mart1259_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	17	20	4	0.33	4	0.16	25	27	12	mart1259_verbal	morphosyntactic	noninterruption	NA
298	Martinican	mart1259	mart1259_v_nonpermutability_declarative.and.interrogative	morphosyntactic	nonpermutability	NA	NA	declarative.and.interrogative	4	25	1	0.08	22	0.88	25	27	12	mart1259_verbal	morphosyntactic	nonpermutability declarative and interrogative	NA
299	Martinican	mart1259	mart1259_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	17	20	4	0.33	4	0.16	25	27	12	mart1259_verbal	morphosyntactic	nonpermutability rigid	NA
300	Martinican	mart1259	mart1259_v_nonpermutability_rigid_interrogative	morphosyntactic	nonpermutability	rigid	NA	interrogative	3	25	1	0.08	23	0.92	25	27	12	mart1259_verbal	morphosyntactic	nonpermutability rigid interrogative	NA
301	Martinican	mart1259	mart1259_v_recursion.based_complement.clause	morphosyntactic	recursion.based	NA	NA	complement.clause	4	27	1	0.08	24	0.96	25	27	12	mart1259_verbal	morphosyntactic	recursion based complement clause	NA
302	Martinican	mart1259	mart1259_v_suprasegmental_accent	phonological	suprasegmental	accent	NA	NA	17	20	4	0.33	4	0.16	25	27	12	mart1259_verbal	stress	suprasegmental accent	NA
