Test_Labels	Domain_Type	Left_Edge	Right_Edge	Size
sout2991_v_ciscategorial.selection_broad_maximal	morphosyntactic	2	41	40
sout2991_v_ciscategorial.selection_minimal	morphosyntactic	12	25	14
sout2991_v_ciscategorial.selection_narrow_maximal	morphosyntactic	12	26	15
sout2991_v_free.occurrence_maximal	indeterminate	12	40	29
sout2991_v_free.occurrence_minimal	indeterminate	12	26	15
sout2991_v_noninterruption	morphosyntactic	12	41	30
sout2991_v_noninterruption_complex	morphosyntactic	12	21	10
sout2991_v_noninterruption_limitative.lla	morphosyntactic	12	21	10
sout2991_v_nonpermutability_maximal_chi.(13).and.chi.(18).=.one.morpheme	morphosyntactic	12	15	4
sout2991_v_nonpermutability_minimal_chi.(13).and.chi.(18).not.one.morpheme	morphosyntactic	12	12	1
sout2991_v_recursion.based_asyndetic_maximal_clause.juxtaposition	morphosyntactic	1	42	42
sout2991_v_recursion.based_asyndetic_minimal_clausal.juxtaposition.–.lax	morphosyntactic	12	18	7
sout2991_v_recursion.based_asyndetic_minimal_clause.juxtaposition.–.strict	morphosyntactic	12	18	7
sout2991_v_recursion.based_nominalization_maximal_clausal.nominalization	morphosyntactic	1	22	22
sout2991_v_recursion.based_nominalization_minimal_clausal.nominalization	morphosyntactic	12	22	11
sout2991_v_segmental_maximal	phonological	12	38	27
sout2991_v_segmental_minimal	phonological	12	13	2
sout2991_v_segmental_vowel-consonant.deletion_suffix.deletion	phonological	1	29	29
sout2991_v_suprasegmental_accent_maximal_stress	phonological	12	41	30
sout2991_v_suprasegmental_accent_minimal_stress	phonological	12	29	18
