Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
325	Blackfoot	siks1238	siks1238_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	4	13	3	0.09	10	0.77	13	14	32	siks1238_verbal	morphosyntactic	ciscategorial selection maximal	NA
326	Blackfoot	siks1238	siks1238_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	5	9	1	0.03	5	0.38	13	14	32	siks1238_verbal	morphosyntactic	ciscategorial selection minimal	NA
327	Blackfoot	siks1238	siks1238_v_deviations_allomorphy_k-assibilation	indeterminate	deviations	allomorphy	NA	k-assibilation	3	8	1	0.03	6	0.46	13	14	32	siks1238_verbal	indeterminate	deviations allomorphy k-assibilation	NA
328	Blackfoot	siks1238	siks1238_v_deviations_allomorphy_maximal_inseperable.root.nasal.deletion.vowel.coalescence	indeterminate	deviations	allomorphy	maximal	inseperable.root.nasal.deletion.vowel.coalescence	6	11	1	0.03	6	0.46	13	14	32	siks1238_verbal	indeterminate	deviations allomorphy maximal inseperable root nasal deletion vowel coalescence	NA
329	Blackfoot	siks1238	siks1238_v_deviations_allomorphy_minimal_seperable.root.nasal.deletion.vowel.coalescence	indeterminate	deviations	allomorphy	minimal	seperable.root.nasal.deletion.vowel.coalescence	4	11	3	0.09	8	0.62	13	14	32	siks1238_verbal	indeterminate	deviations allomorphy minimal seperable root nasal deletion vowel coalescence	NA
330	Blackfoot	siks1238	siks1238_v_free.occurrence_maximal_conjunct	indeterminate	free.occurrence	NA	maximal	conjunct	4	13	3	0.09	10	0.77	13	14	32	siks1238_verbal	indeterminate	free occurrence maximal conjunct	NA
331	Blackfoot	siks1238	siks1238_v_free.occurrence_maximal_independent	indeterminate	free.occurrence	NA	maximal	independent	3	13	4	0.12	11	0.85	13	14	32	siks1238_verbal	indeterminate	free occurrence maximal independent	NA
332	Blackfoot	siks1238	siks1238_v_free.occurrence_minimal_conjunct	indeterminate	free.occurrence	NA	minimal	conjunct	4	11	3	0.09	8	0.62	13	14	32	siks1238_verbal	indeterminate	free occurrence minimal conjunct	NA
333	Blackfoot	siks1238	siks1238_v_free.occurrence_minimal_independent	indeterminate	free.occurrence	NA	minimal	independent	3	9	2	0.06	7	0.54	13	14	32	siks1238_verbal	indeterminate	free occurrence minimal independent	NA
334	Blackfoot	siks1238	siks1238_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	3	11	3	0.09	9	0.69	13	14	32	siks1238_verbal	morphosyntactic	noninterruption complex	NA
335	Blackfoot	siks1238	siks1238_v_noninterruption_multipositional_noun.stem	morphosyntactic	noninterruption	multipositional	NA	noun.stem	5	11	1	0.03	7	0.54	13	14	32	siks1238_verbal	morphosyntactic	noninterruption multipositional noun stem	NA
336	Blackfoot	siks1238	siks1238_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	3	14	1	0.03	12	0.92	13	14	32	siks1238_verbal	morphosyntactic	nonpermutability rigid	NA
337	Blackfoot	siks1238	siks1238_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	5	14	1	0.03	10	0.77	13	14	32	siks1238_verbal	morphosyntactic	nonpermutability scopal	NA
338	Blackfoot	siks1238	siks1238_v_recursion.based_asyndetic_maximal_coordination.conjunct	morphosyntactic	recursion.based	asyndetic	maximal	coordination.conjunct	4	13	3	0.09	10	0.77	13	14	32	siks1238_verbal	morphosyntactic	recursion based asyndetic maximal coordination conjunct	NA
339	Blackfoot	siks1238	siks1238_v_recursion.based_asyndetic_maximal_coordination.independent	morphosyntactic	recursion.based	asyndetic	maximal	coordination.independent	3	13	4	0.12	11	0.85	13	14	32	siks1238_verbal	morphosyntactic	recursion based asyndetic maximal coordination independent	NA
340	Blackfoot	siks1238	siks1238_v_recursion.based_asyndetic_minimal_coordination.conjunct	indeterminate	recursion.based	asyndetic	minimal	coordination.conjunct	4	11	3	0.09	8	0.62	13	14	32	siks1238_verbal	indeterminate	recursion based asyndetic minimal coordination conjunct	NA
341	Blackfoot	siks1238	siks1238_v_recursion.based_asyndetic_minimal_coordination.independent	indeterminate	recursion.based	asyndetic	minimal	coordination.independent	3	9	2	0.06	7	0.54	13	14	32	siks1238_verbal	indeterminate	recursion based asyndetic minimal coordination independent	NA
342	Blackfoot	siks1238	siks1238_v_recursion.based_inseperable.roots	morphosyntactic	recursion.based	NA	NA	inseperable.roots	6	7	3	0.09	2	0.15	13	14	32	siks1238_verbal	morphosyntactic	recursion based inseperable roots	NA
343	Blackfoot	siks1238	siks1238_v_recursion.based_inseperable.roots.complex.preverbs	morphosyntactic	recursion.based	NA	NA	inseperable.roots.complex.preverbs	6	6	1	0.03	1	0.08	13	14	32	siks1238_verbal	morphosyntactic	recursion based inseperable roots complex preverbs	NA
344	Blackfoot	siks1238	siks1238_v_recursion.based_secondary.derivation	morphosyntactic	recursion.based	NA	NA	secondary.derivation	6	7	3	0.09	2	0.15	13	14	32	siks1238_verbal	morphosyntactic	recursion based secondary derivation	NA
345	Blackfoot	siks1238	siks1238_v_recursion.based_seperable.roots	morphosyntactic	recursion.based	NA	NA	seperable.roots	4	7	1	0.03	4	0.31	13	14	32	siks1238_verbal	morphosyntactic	recursion based seperable roots	NA
346	Blackfoot	siks1238	siks1238_v_recursion.based_seperable.roots.complex.preverbs	morphosyntactic	recursion.based	NA	NA	seperable.roots.complex.preverbs	4	6	1	0.03	3	0.23	13	14	32	siks1238_verbal	morphosyntactic	recursion based seperable roots complex preverbs	NA
347	Blackfoot	siks1238	siks1238_v_segmental_consonant.insertion_maximal_glottal.insertion.vowel.coalescence.construction.1	phonological	segmental	consonant.insertion	maximal	glottal.insertion.vowel.coalescence.construction.1	1	13	2	0.06	13	1	13	14	32	siks1238_verbal	insertion	segmental consonant insertion maximal glottal insertion vowel coalescence construction 1	NA
348	Blackfoot	siks1238	siks1238_v_segmental_consonant.insertion_maximal_glottal.insertion.vowel.coalescence.construction.2	phonological	segmental	consonant.insertion	maximal	glottal.insertion.vowel.coalescence.construction.2	3	13	4	0.12	11	0.85	13	14	32	siks1238_verbal	insertion	segmental consonant insertion maximal glottal insertion vowel coalescence construction 2	NA
349	Blackfoot	siks1238	siks1238_v_segmental_consonant.insertion_minimal_glottal.insertion.vowel.coalescence.construction.1	phonological	segmental	consonant.insertion	minimal	glottal.insertion.vowel.coalescence.construction.1	1	11	2	0.06	11	0.85	13	14	32	siks1238_verbal	insertion	segmental consonant insertion minimal glottal insertion vowel coalescence construction 1	NA
350	Blackfoot	siks1238	siks1238_v_segmental_consonant.insertion_minimal_glottal.insertion.vowel.coalescence.construction.2	phonological	segmental	consonant.insertion	minimal	glottal.insertion.vowel.coalescence.construction.2	3	11	3	0.09	9	0.69	13	14	32	siks1238_verbal	insertion	segmental consonant insertion minimal glottal insertion vowel coalescence construction 2	NA
351	Blackfoot	siks1238	siks1238_v_segmental_minimality_maximal_size	phonological	segmental	minimality	maximal	size	6	9	1	0.03	4	0.31	13	14	32	siks1238_verbal	size-related	segmental minimality maximal size	NA
352	Blackfoot	siks1238	siks1238_v_segmental_minimality_minimal_size	phonological	segmental	minimality	minimal	size	6	7	3	0.09	2	0.15	13	14	32	siks1238_verbal	size-related	segmental minimality minimal size	NA
353	Blackfoot	siks1238	siks1238_v_suprasegmental_accent_maximal_construction.1	phonological	suprasegmental	accent	maximal	construction.1	1	11	2	0.06	11	0.85	13	14	32	siks1238_verbal	stress	suprasegmental accent maximal construction 1	NA
354	Blackfoot	siks1238	siks1238_v_suprasegmental_accent_maximal_construction.2	phonological	suprasegmental	accent	maximal	construction.2	1	13	2	0.06	13	1	13	14	32	siks1238_verbal	stress	suprasegmental accent maximal construction 2	NA
355	Blackfoot	siks1238	siks1238_v_suprasegmental_accent_minimal_construction.1	phonological	suprasegmental	accent	minimal	construction.1	3	11	3	0.09	9	0.69	13	14	32	siks1238_verbal	stress	suprasegmental accent minimal construction 1	NA
356	Blackfoot	siks1238	siks1238_v_suprasegmental_accent_minimal_construction.2	phonological	suprasegmental	accent	minimal	construction.2	3	13	4	0.12	11	0.85	13	14	32	siks1238_verbal	stress	suprasegmental accent minimal construction 2	NA
