Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
416	Yukuna	yucu1253	yucu1253_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	10	19	3	0.12	10	0.48	21	21	24	yucu1253_verbal	morphosyntactic	ciscategorial selection maximal	Ciscat. Sel. Max.
417	Yukuna	yucu1253	yucu1253_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	10	16	4	0.17	7	0.33	21	21	24	yucu1253_verbal	morphosyntactic	ciscategorial selection minimal	Ciscat. Sel. Min.
418	Yukuna	yucu1253	yucu1253_v_deviations_allomorphy_past.tense	indeterminate	deviations	allomorphy	NA	past.tense	10	13	2	0.08	4	0.19	21	21	24	yucu1253_verbal	indeterminate	deviations allomorphy past tense	Allomorph. PST
419	Yukuna	yucu1253	yucu1253_v_deviations_allomorphy_valency	indeterminate	deviations	allomorphy	NA	valency	10	13	2	0.08	4	0.19	21	21	24	yucu1253_verbal	indeterminate	deviations allomorphy valency	Allomorph. Val.
420	Yukuna	yucu1253	yucu1253_v_deviations_extended.exponence_maximal_negation	indeterminate	deviations	extended.exponence	maximal	negation	4	12	1	0.04	9	0.43	21	21	24	yucu1253_verbal	indeterminate	deviations extended exponence maximal negation	Extend. Exp. Max.
421	Yukuna	yucu1253	yucu1253_v_deviations_extended.exponence_middle	indeterminate	deviations	extended.exponence	NA	middle	10	17	1	0.04	8	0.38	21	21	24	yucu1253_verbal	indeterminate	deviations extended exponence middle	Extend. Exp. Middle
422	Yukuna	yucu1253	yucu1253_v_deviations_extended.exponence_minimal_negation	indeterminate	deviations	extended.exponence	minimal	negation	6	12	1	0.04	7	0.33	21	21	24	yucu1253_verbal	indeterminate	deviations extended exponence minimal negation	Extend. Exp. Min.
423	Yukuna	yucu1253	yucu1253_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	8	10	1	0.04	3	0.14	21	21	24	yucu1253_verbal	indeterminate	free occurrence maximal	Free Ocurr. Max.
424	Yukuna	yucu1253	yucu1253_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	9	10	3	0.12	2	0.1	21	21	24	yucu1253_verbal	indeterminate	free occurrence minimal	Free Ocurr. Min.
425	Yukuna	yucu1253	yucu1253_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	9	20	1	0.04	12	0.57	21	21	24	yucu1253_verbal	morphosyntactic	noninterruption	Non-interrupt.
426	Yukuna	yucu1253	yucu1253_v_nonpermutability	morphosyntactic	nonpermutability	NA	NA	NA	10	19	3	0.12	10	0.48	21	21	24	yucu1253_verbal	morphosyntactic	nonpermutability	Non-permut.
427	Yukuna	yucu1253	yucu1253_v_recursion.based_complementation_maximal	morphosyntactic	recursion.based	complementation	maximal	NA	8	21	2	0.08	14	0.67	21	21	24	yucu1253_verbal	morphosyntactic	recursion based complementation maximal	Subspan Rep. Compl.
428	Yukuna	yucu1253	yucu1253_v_recursion.based_maximal_adverbial.clause	morphosyntactic	recursion.based	NA	maximal	adverbial.clause	8	21	2	0.08	14	0.67	21	21	24	yucu1253_verbal	morphosyntactic	recursion based maximal adverbial clause	Subspan Rep. Adv.
429	Yukuna	yucu1253	yucu1253_v_recursion.based_same.subject_maximal	morphosyntactic	recursion.based	same.subject	maximal	NA	10	21	1	0.04	12	0.57	21	21	24	yucu1253_verbal	morphosyntactic	recursion based same subject maximal	Subspan Rep. SS
430	Yukuna	yucu1253	yucu1253_v_segmental_vowel.assimilation_maximal_vowel.coalescence.ai>e	phonological	segmental	vowel.assimilation	maximal	vowel.coalescence.ai>e	9	17	1	0.04	9	0.43	21	21	24	yucu1253_verbal	assimilation	segmental vowel assimilation maximal vowel coalescence ai>e	V-Coalesc. Max.
