Test_Labels	Domain_Type	Left_Edge	Right_Edge	Size
cent2127_v_ciscategorial.selection_maximal	morphosyntactic	4	16	13
cent2127_v_ciscategorial.selection_minimal	morphosyntactic	2	16	15
cent2127_v_deviations_cumulative.exponence_cumulative.exponence.and.suppletion.involving.negation	indeterminate	4	12	9
cent2127_v_deviations_extended.exponence_nonbiunique.marking.of.mood.and.person/number.of.s/a/o	indeterminate	11	16	6
cent2127_v_free.occurrence_maximal	indeterminate	2	20	19
cent2127_v_free.occurrence_minimal	indeterminate	2	16	15
cent2127_v_noninterruption	morphosyntactic	2	16	15
cent2127_v_nonpermutability_rigid	morphosyntactic	2	16	15
cent2127_v_nonpermutability_scopal	morphosyntactic	2	20	19
cent2127_v_recursion.based_complementation_complement.say	morphosyntactic	2	16	15
cent2127_v_recursion.based_complementation_complement1	morphosyntactic	2	3	2
cent2127_v_recursion.based_complementation_complement2	morphosyntactic	2	4	3
cent2127_v_recursion.based_complementation_complement3	morphosyntactic	2	7	6
cent2127_v_repair_maximal	indeterminate	2	20	19
cent2127_v_repair_minimal	indeterminate	2	16	15
cent2127_v_segmental_consonant.coalescence_uvular-velar.consonant.coalescence	phonological	2	16	15
cent2127_v_segmental_consonant.deletion_vvv.clusteravoidance	phonological	2	16	15
cent2127_v_suprasegmental_accent_maximal	phonological	2	20	19
cent2127_v_suprasegmental_accent_minimal	phonological	2	16	15
