Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels	CCDB_Test_Labels
440	Zenzontepec Chatino	zenz1235	zenz1235_v_deviations_allomorphy_tam	indeterminate	deviations	allomorphy	NA	tam	10	13	8	0.29	4	0.19	21	21	28	zenz1235_verbal	indeterminate	deviations allomorphy tam	Dev. Biunique. TAM
441	Zenzontepec Chatino	zenz1235	zenz1235_v_deviations_suppletion_2sg	indeterminate	deviations	suppletion	NA	2sg	10	13	8	0.29	4	0.19	21	21	28	zenz1235_verbal	indeterminate	deviations suppletion 2sg	Dev. Biunique. 2SG
442	Zenzontepec Chatino	zenz1235	zenz1235_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	7	17	2	0.07	11	0.52	21	21	28	zenz1235_verbal	indeterminate	free occurrence maximal	Free Ocurr. Max. (sa-
443	Zenzontepec Chatino	zenz1235	zenz1235_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	10	13	8	0.29	4	0.19	21	21	28	zenz1235_verbal	indeterminate	free occurrence minimal	Free Ocurr. Min.
444	Zenzontepec Chatino	zenz1235	zenz1235_v_noninterruption	morphosyntactic	noninterruption	NA	NA	NA	7	14	2	0.07	8	0.38	21	21	28	zenz1235_verbal	morphosyntactic	noninterruption	Non-interrupt.
445	Zenzontepec Chatino	zenz1235	zenz1235_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	7	14	2	0.07	8	0.38	21	21	28	zenz1235_verbal	morphosyntactic	nonpermutability rigid	Non-permut. Rigid
446	Zenzontepec Chatino	zenz1235	zenz1235_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	7	17	2	0.07	11	0.52	21	21	28	zenz1235_verbal	morphosyntactic	nonpermutability scopal	Non-permut. Scope
447	Zenzontepec Chatino	zenz1235	zenz1235_v_play.language_play.language	indeterminate	play.language	play.language	NA	NA	10	13	8	0.29	4	0.19	21	21	28	zenz1235_verbal	indeterminate	play language play language	Play Lang.
448	Zenzontepec Chatino	zenz1235	zenz1235_v_recursion.based_maximal_coordination	morphosyntactic	recursion.based	NA	maximal	coordination	2	20	1	0.04	19	0.9	21	21	28	zenz1235_verbal	morphosyntactic	recursion based maximal coordination	Rep. Subspan Max.
449	Zenzontepec Chatino	zenz1235	zenz1235_v_recursion.based_minimal_coordination	indeterminate	recursion.based	NA	minimal	coordination	5	16	1	0.04	12	0.57	21	21	28	zenz1235_verbal	morphosyntactic	recursion based minimal coordination	Rep. Subspan Min.
450	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_consonant.assimilation_maximal_palatalization	phonological	segmental	consonant.assimilation	maximal	palatalization	7	13	5	0.18	7	0.33	21	21	28	zenz1235_verbal	assimilation	segmental consonant assimilation maximal palatalization	Palatal. Max.
451	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_consonant.assimilation_minimal_palatalization	phonological	segmental	consonant.assimilation	minimal	palatalization	10	13	8	0.29	4	0.19	21	21	28	zenz1235_verbal	assimilation	segmental consonant assimilation minimal palatalization	Palatal. Min.
452	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_vowel.coalescence_vowel.fusion	phonological	segmental	vowel.coalescence	NA	vowel.fusion	13	17	2	0.07	5	0.24	21	21	28	zenz1235_verbal	assimilation	segmental vowel coalescence vowel fusion	Vowel Fusion
453	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_vowel.deletion_maximal_vowel.elision	phonological	segmental	vowel.deletion	maximal	vowel.elision	3	16	1	0.04	14	0.67	21	21	28	zenz1235_verbal	deletion	segmental vowel deletion maximal vowel elision	Vowel Elision Max.
454	Zenzontepec Chatino	zenz1235	zenz1235_v_segmental_vowel.deletion_minimal_vowel.elision	phonological	segmental	vowel.deletion	minimal	vowel.elision	7	13	5	0.18	7	0.33	21	21	28	zenz1235_verbal	deletion	segmental vowel deletion minimal vowel elision	Vowel Elision Min.
