Language_ID	Language_Name	Planar_ID	Planar_Type	Position_ID	Position	Position_Type	Elements
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_1	1	slot	Connector
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_2	2	zone	Sentence Adv., Topicalization
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_3	3	slot	Polar Gq, `Even', `Only'
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_4	4	zone	Noun Complex, Adverb
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_5	5	slot	Focus
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_6	6	slot	Anterior/Posterior
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_7	7	slot	`Almost'
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_8	8	slot	Negation + Ant/Post
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_9	9	slot	Temporal Sequence
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_10	10	slot	Modality, Evidentiality
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_11	11	slot	`A Little'
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_12	12	slot	Past Habitual, `Always'
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_13	13	slot	Negation + Ant/Post 2
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_14	14	slot	Adverb, Pronoun (P/R)
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_15	15	slot	Progressive
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_16	16	slot	Aspect/Mode
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_17	17	slot	Associated Motion
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_18	18	slot	Causative, Inchoative
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_19	19	slot	Verb Root(S)
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_20	20	slot	Comitative
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_21	21	slot	Focus
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_22	22	slot	Temporal Sequence
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_23	23	slot	Modality, Evidentiality
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_24	24	slot	`A Little'
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_25	25	slot	Past Habitual, `Always'
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_26	26	zone	Adverbial/Quantifier Clitics
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_27	27	slot	Modal Clitics
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_28	28	slot	Pronominal Clitics
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_29	29	zone	Noun Complex, Adverb
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_30	30	slot	Attitudinal Particles
ayau1235	Ayautla Mazatec	ayau1235_verbal	verbal	ayau1235_v_31	31	zone	Afterthoughts, Vocative Words
