Language_ID	Language_Name	Planar_ID	Planar_Type	Position_ID	Position	Position_Type	Elements
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_1	1	slot	Left-Dislocated Rc
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_2	2	slot	Question Particles/Wh Words
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_3	3	slot	Clause Introducers
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_4	4	zone	Modal Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_5	5	zone	Tense/Aspect Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_6	6	slot	Adverbs (Place, Manner, Time)
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_7	7	slot	Noun-Locative Adverbials
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_8	8	zone	Modal Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_9	9	zone	Tense/Aspect Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_10	10	slot	Negation
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_11	11	zone	Modal Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_12	12	zone	Tense/Aspect Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_13	13	slot	Dp A, S Or Rc
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_14	14	slot	Noun-Locative Adverbials
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_15	15	zone	Modal Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_16	16	zone	Tense/Aspect Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_17	17	slot	Dp P, I.o. Or Rc
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_18	18	slot	Noun-Locative Adverbials
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_19	19	zone	Modal Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_20	20	zone	Tense/Aspect Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_21	21	slot	Dp D.o. Or Rc
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_22	22	slot	Noun-Locative Adverbials
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_23	23	zone	Modal Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_24	24	zone	Tense/Aspect Particles
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_25	25	slot	Pronominal
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_26	26	slot	Incorp. Adverb
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_27	27	slot	Incorp. Noun
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_28	28	slot	Incorp. Verb
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_29	29	slot	Verb Stem (Root-Deriv)
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_30	30	slot	Aspect Suffix
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_31	31	slot	Negative Suffix
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_32	32	zone	Modality Suffix
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_33	33	slot	Hearsay Suffix
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_34	34	slot	Nominalizer/Relativizer Suffix
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_35	35	slot	Locative/Directional Suffix
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_36	36	slot	Subordinate Markers
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_37	37	slot	Adverbs (Place, Manner, Time)
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_38	38	slot	Noun-Locative Adverbials
kiow1266	Kiowa	kiow1266_verbal	verbal	kiow1266_v_39	39	slot	Right-Dislocated Dp Or Rc
