Language_ID	Planar_Type	Position	Position_Type	Position_name	Elements	Class_Size	Example	Notes
stan1293	verbal	1	Zone	v:leftedge	CONNECTORS, ADVERBS	open	[Then] they went home	
stan1293	verbal	2	Slot	v:frontedXP	QWORDS, NP	open	Then [what] did he do?	
stan1293	verbal	3	Slot	v:frontedauxiliary	be, have, do, can, could, may, might, must, shall, should, will, would, ought	small	What [did] he do?	We have to investigate “ought to” constructions, because they can do inversion but 
stan1293	verbal	4	Slot	v:frontedauxiliaryinflection	-n, -s, -v 	small	What ha[s] he done?	I’d actually be tempted to make inflection on auxiliaries a biuniqueness issue.
stan1293	verbal	5	Slot	v:npsubj1	NP	open	What has [he] done?	
stan1293	verbal	6	Slot	v:ad-S1	S-ADVERBS	open	What has he [probably] intentionally done?	
stan1293	verbal	7	Slot	v:ad-VP1	Ad-VP	open	What has he probably [intentionally] done?	
stan1293	verbal	8	Slot	v:modal1	can, could, may, might, must, shall, should, will, would	closed	They [would] have done it.	
stan1293	verbal	9	Slot	v:sd-S2	Ad-S	open	They would [probably] intentionally have done it.	
stan1293	verbal	10	Slot	v:neg1	not	1	They would probably [not] intentionally have done it.	
stan1293	verbal	11	Slot	v:ad-VP2	Ad-VP	open	They would probably [intentionally] have done it.	
stan1293	verbal	12	Slot	v:perfect	ha	1	He [ha]s done it. 	
stan1293	verbal	13	Slot	v:perfectinflection	-ve, -s	2	He ha[s] done it.	
stan1293	verbal	14	Slot	v:ad-S3	Ad-S	2	He has [probably] not done it.	
stan1294	verbal	15	Slot	v:neg2	not		He has probably [not] done it.	
stan1295	verbal	16	Slot	v:ad-VP3	Ad-VP		He has probably not [intentionally] done it.	
stan1296	verbal	17	Slot	v:ad-V1	Ad-V		He has probably not intentionally [completely] destroyed the city.	
stan1293	verbal	18	Slot	v:passive	be-	1	The city [was] destroyed by him.	Are the forms of “be” biuniqueness or constituency?
stan1293	verbal	19	Slot	v:ad-S4	Ad-S	open	The city was [probably] destroyed by him.	
stan1293	verbal	20	Slot	v:neg3	not	1	The city was probably [not] destroyed by him.	
stan1293	verbal	21	Slot	v:ad-VP4	Ad-VP	open	The city was probably not [intentionally] destroyed by him.	
stan1293	verbal	22	Slot	v:progressive	be	small	They [are] going.	
stan1293	verbal	23	Slot	v:ad-S5	Ad-S	open	They are [probably] going.	
stan1293	verbal	24	Slot	v:neg4	NEG	1	They are probably [not] going.	
stan1293	verbal	25	Slot	v:ad-VP5	Ad-VP	open	They are probably not [intentionally] going.	
stan1293	verbal	26	Slot	v:ad-V2	Ad-V	open	They are probably not intentionally [completely] destroying the city.	
stan1293	verbal	27	Slot	v:nominal	baby, house, pet, dog, child, nanny, grounds, caretaker, hand, breast, lip, eye, name, sound, fact, spell, cross, strong, rough, stone, air, spin, pressure	open	I berry picked yesterday.	
stan1293	verbal	28	Zone	v:productiveprefix	re-, un-, dis-, mis-, over-, under-, de-, out-, pre-, post-	small	They [re]visited the problem.	
stan1293	verbal	29	Slot	v:latinprefix	dis-, mis-, up-, down-, fore-, co-, en-, ex-, sub-, pro-, per-, sur-, contra-, ab-, ad-, ob-, sup-, cata-, dia-, epi-, para-, se-, tele-, ante-, circum-, eu-, inter-, intra-, syn-, be-, 	small	They re[ad]mitted the patient.	
stan1293	verbal	30	Slot	v:verbroot	ROOT	open	They re[visit]ed the problem.	Adam has three slots using the Item-Arrangement model, I’d go with deviations from biuniqueness
stan1293	verbal	31	Slot	v:verbinflection	-ed, -s, -ing	3	They revisit[ed] the problem.	
stan1293	verbal	32	Slot	v:ad-V3	Ad-V	open	It is tough for them to destroy [completely] the city.	
stan1293	verbal	33	Zone	v:NP{P,T}	NP{P,T}, VERBPART	open	It is tough for them to pick [the ball up].	
stan1294	verbal	34	Slot	v:NP{R}	NP{R}	open	Leo sold indulgences to [the pilgrims]	
stan1293	verbal	35	Slot	v:ad-VP6	Ad-VP	open	It is tough for them to pick up the ball [intentionally].	
stan1293	verbal	36	Zone	v:PP	PP	open	It is tough for them to pick up the ball [inside in the room.]	
stan1293	verbal	37	Zone	v:rightedge	Ad-S, S-Adv	open	It is tough for them to pick up the ball in the room [tomorrow probably when they don’t even know what they are doing].	
