Language_ID	Language_Name	Planar_ID	Planar_Type	Position_ID	Position	Position_Type	Elements
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_1	1	slot	Prepositions: Ʃtḛ̂:n ‘Of’; Næ:z ‘By’
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_2	2	zone	Quantifiers (Qr): Zyē:n ‘Various’, Tubruˀ ‘Some’, Indef Te= Etc; Relational Nouns: Lo:w ‘Face Of’, Kwæˀ ‘Side Of’ Etc.
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_3	3	slot	Adverbial Enclitics Of Frequency And Manner: =Pkā, =Kā, =Zī
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_4	4	slot	Adverbial Enclitic Of Equality: =Zá
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_5	5	slot	Adverbial Enclitics Of Frequency And Manner: =Pkā, =Kā, =Zī
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_6	6	slot	Plural D´=; 1pl Dū=; Dā= ‘Mr.’; Tyú= ‘Uncle’
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_7	7	slot	Possessive: Ʃ-
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_8	8	slot	Noun Base
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_9	9	slot	Second Element Of A Compound
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_10	10	slot	Adjective(S) (Up To Three)
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_11	11	slot	Diminutive: -Æˀny/-Iˀny
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_12	12	slot	Intensifiers: Da̰:n; Tæ̰:
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_13	13	slot	Adverbial Enclitics Of Frequency And Manner: =Pkā, =Kā, =Zī
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_14	14	slot	Adverbial Enclitic Of Equality: =Zá
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_15	15	slot	Adverbial Enclitic Of Comparison: =Rú
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_16	16	slot	Demonstratives: =Kī Dem.temp; =Kán Dem.med; =Rǽˀ Dem.prox; =Rǣ Dem.dist
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_17	17	slot	Prepositional Phrase, Pronominal Enclitic, Np Possessor
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_18	18	slot	Relative Clause
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_19	19	slot	Demonstratives: =Kī Dem.temp; =Kán Dem.med; =Rǽˀ Dem.prox; =Rǣ Dem.dist
teot1238	Teotitlán del Valle Zapotec	teot1238_nominal	nominal	teot1238_n_20	20	slot	Focus Marker =Ēn
