chart	file	width	height	units
pooled_plot	ayau1235_verbal/pooled/ayau1235_verbal_pooled_plot.pdf	44.4063636363636	21	cm
pooled_domainplot	ayau1235_verbal/pooled/ayau1235_verbal_pooled_domainplot.pdf	44.4063636363636	21	cm
pooled_plot_indeterminate	ayau1235_verbal/pooled/ayau1235_verbal_pooled_plot_indeterminate.pdf	36.2772727272727	7	cm
pooled_plot_indeterminate_global_layers	ayau1235_verbal/pooled/ayau1235_verbal_pooled_plot_indeterminate_global_layers.pdf	36.2772727272727	7	cm
pooled_plot_morphosyntactic	ayau1235_verbal/pooled/ayau1235_verbal_pooled_plot_morphosyntactic.pdf	35.2272727272727	7	cm
pooled_plot_morphosyntactic_global_layers	ayau1235_verbal/pooled/ayau1235_verbal_pooled_plot_morphosyntactic_global_layers.pdf	35.2272727272727	7	cm
pooled_plot_phonological	ayau1235_verbal/pooled/ayau1235_verbal_pooled_plot_phonological.pdf	42.9972727272727	9.8	cm
pooled_plot_phonological_global_layers	ayau1235_verbal/pooled/ayau1235_verbal_pooled_plot_phonological_global_layers.pdf	42.9972727272727	9.8	cm
boundary_skyline	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_skyline.pdf	22.5454545454545	11	in
spanchart	ayau1235_verbal/laminar-families/ayau1235_verbal_spanchart.pdf	19.7272727272727	8	in
morsyn_laminar_forest	ayau1235_verbal/laminar-families/ayau1235_verbal_morsyn_laminar_forest.pdf	28.1818181818182	14	in
morsyn_tree_01	ayau1235_verbal/laminar-families/ayau1235_verbal_morsyn_tree_01.pdf	16.9090909090909	8	in
morsyn_tree_02	ayau1235_verbal/laminar-families/ayau1235_verbal_morsyn_tree_02.pdf	16.9090909090909	8	in
phon_laminar_forest	ayau1235_verbal/laminar-families/ayau1235_verbal_phon_laminar_forest.pdf	28.1818181818182	14	in
phon_tree_01	ayau1235_verbal/laminar-families/ayau1235_verbal_phon_tree_01.pdf	16.9090909090909	8	in
phon_tree_02	ayau1235_verbal/laminar-families/ayau1235_verbal_phon_tree_02.pdf	16.9090909090909	8	in
phon_tree_03	ayau1235_verbal/laminar-families/ayau1235_verbal_phon_tree_03.pdf	16.9090909090909	8	in
phon_tree_04	ayau1235_verbal/laminar-families/ayau1235_verbal_phon_tree_04.pdf	16.9090909090909	8	in
phon_tree_05	ayau1235_verbal/laminar-families/ayau1235_verbal_phon_tree_05.pdf	16.9090909090909	8	in
phon_tree_06	ayau1235_verbal/laminar-families/ayau1235_verbal_phon_tree_06.pdf	16.9090909090909	8	in
indet_laminar_forest	ayau1235_verbal/laminar-families/ayau1235_verbal_indet_laminar_forest.pdf	28.1818181818182	14	in
indet_tree_01	ayau1235_verbal/laminar-families/ayau1235_verbal_indet_tree_01.pdf	16.9090909090909	8	in
indet_tree_02	ayau1235_verbal/laminar-families/ayau1235_verbal_indet_tree_02.pdf	16.9090909090909	8	in
morsyn_indet_laminar_forest	ayau1235_verbal/laminar-families/ayau1235_verbal_morsyn_indet_laminar_forest.pdf	28.1818181818182	14	in
morsyn_indet_tree_01	ayau1235_verbal/laminar-families/ayau1235_verbal_morsyn_indet_tree_01.pdf	16.9090909090909	8	in
morsyn_indet_tree_02	ayau1235_verbal/laminar-families/ayau1235_verbal_morsyn_indet_tree_02.pdf	16.9090909090909	8	in
morsyn_indet_tree_03	ayau1235_verbal/laminar-families/ayau1235_verbal_morsyn_indet_tree_03.pdf	16.9090909090909	8	in
laminar_overlay	ayau1235_verbal/laminar-families/ayau1235_verbal_laminar_overlay.pdf	28.1818181818182	14	in
laminar_overlay_legend	ayau1235_verbal/laminar-families/ayau1235_verbal_laminar_overlay_legend.pdf	28.1818181818182	14	in
all_families_labeled	ayau1235_verbal/laminar-families/ayau1235_verbal_all_families_labeled.pdf	28.1818181818182	14	in
all_families_labeled_legend	ayau1235_verbal/laminar-families/ayau1235_verbal_all_families_labeled_legend.pdf	28.1818181818182	14	in
freqtree	ayau1235_verbal/laminar-families/ayau1235_verbal_freqtree.pdf	22.5454545454545	10	in
most_binary_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_most_binary_tree.pdf	22.5454545454545	10	in
exemplary_trees_1	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_1.pdf	114.9	20.12	cm
exemplary_trees_slide_1_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_1_tree.pdf	18.7874090909091	7.5	in
exemplary_trees_slide_1_evidence	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_1_evidence.pdf	42.9972727272727	11.9	cm
exemplary_trees_2	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_2.pdf	110.2	20.12	cm
exemplary_trees_slide_2_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_2_tree.pdf	18.7874090909091	7.5	in
exemplary_trees_slide_2_evidence	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_2_evidence.pdf	38.3772727272727	9.8	cm
exemplary_trees_3	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_3.pdf	110.2	20.12	cm
exemplary_trees_slide_3_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_3_tree.pdf	18.7874090909091	7.5	in
exemplary_trees_slide_3_evidence	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_3_evidence.pdf	38.3772727272727	8.4	cm
exemplary_trees_4	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_4.pdf	112.1	20.12	cm
exemplary_trees_slide_4_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_4_tree.pdf	18.7874090909091	7.5	in
exemplary_trees_slide_4_evidence	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_4_evidence.pdf	40.2672727272727	15.4	cm
exemplary_trees_5	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_5.pdf	114.9	20.12	cm
exemplary_trees_slide_5_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_5_tree.pdf	18.7874090909091	7.5	in
exemplary_trees_slide_5_evidence	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_5_evidence.pdf	42.9972727272727	8.4	cm
exemplary_trees_6	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_6.pdf	112.1	20.12	cm
exemplary_trees_slide_6_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_6_tree.pdf	18.7874090909091	7.5	in
exemplary_trees_slide_6_evidence	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_6_evidence.pdf	40.2672727272727	11.9	cm
exemplary_trees_7	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_7.pdf	110.2	20.12	cm
exemplary_trees_slide_7_tree	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_7_tree.pdf	18.7874090909091	7.5	in
exemplary_trees_slide_7_evidence	ayau1235_verbal/laminar-families/ayau1235_verbal_exemplary_trees_slide_7_evidence.pdf	38.3772727272727	7	cm
forestspans_plot	ayau1235_verbal/pooled/ayau1235_verbal_forestspans_plot.pdf	47.9090909090909	24	cm
tree_count_by_class	ayau1235_verbal/counts-and-chance/ayau1235_verbal_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	ayau1235_verbal/counts-and-chance/ayau1235_verbal_tree_count_bundles.pdf	8	3.8	in
tree_count_all	ayau1235_verbal/counts-and-chance/ayau1235_verbal_tree_count_all.pdf	7	5	in
tree_count_without_adjacent	ayau1235_verbal/counts-and-chance/ayau1235_verbal_tree_count_without_adjacent.pdf	8	5	in
fragmentation_test_plot	ayau1235_verbal/counts-and-chance/ayau1235_verbal_fragmentation_test_plot.pdf	10	6.5	in
span_placement_test_by_group_plot	ayau1235_verbal/counts-and-chance/ayau1235_verbal_span_placement_test_by_group_plot.pdf	11	9	in
arbitrary_layers_test_by_group_plot	ayau1235_verbal/counts-and-chance/ayau1235_verbal_arbitrary_layers_test_by_group_plot.pdf	11	9	in
boundary_strength_test_jump_all	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_jump_all.pdf	15.5	7	in
boundary_strength_test_level_all	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_level_all.pdf	15.5	7	in
boundary_strength_test_jump_morphosyntactic	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_jump_morphosyntactic.pdf	15.5	7	in
boundary_strength_test_level_morphosyntactic	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_level_morphosyntactic.pdf	15.5	7	in
boundary_strength_test_jump_phonological	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_jump_phonological.pdf	15.5	7	in
boundary_strength_test_level_phonological	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_level_phonological.pdf	15.5	7	in
boundary_strength_test_jump_indeterminate	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_jump_indeterminate.pdf	15.5	7	in
boundary_strength_test_level_indeterminate	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_level_indeterminate.pdf	15.5	7	in
boundary_strength_test_jump_morsyn_indet	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_jump_morsyn_indet.pdf	15.5	7	in
boundary_strength_test_level_morsyn_indet	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_test_level_morsyn_indet.pdf	15.5	7	in
boundary_strength	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength.pdf	15.5	7	in
boundary_strength_distributions	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_distributions.pdf	15.5	5	in
boundary_strength_overlay	ayau1235_verbal/boundaries/ayau1235_verbal_boundary_strength_overlay.pdf	18.3181818181818	7	in
