Position	Boundary	Domain_Type	Count
1	Start	morphosyntactic	1
5	Start	morphosyntactic	5
9	Start	morphosyntactic	1
10	Start	morphosyntactic	3
13	Start	morphosyntactic	1
13	End	morphosyntactic	1
15	End	morphosyntactic	1
17	End	morphosyntactic	3
18	End	morphosyntactic	3
19	End	morphosyntactic	1
21	End	morphosyntactic	1
22	End	morphosyntactic	1
3	Start	phonological	4
5	Start	phonological	5
6	Start	phonological	5
9	Start	phonological	1
10	Start	phonological	5
17	Start	phonological	1
6	End	phonological	1
8	End	phonological	2
10	End	phonological	2
13	End	phonological	1
16	End	phonological	1
17	End	phonological	5
19	End	phonological	1
21	End	phonological	8
5	Start	tonosegmental	7
6	Start	tonosegmental	21
8	Start	tonosegmental	11
9	Start	tonosegmental	5
8	End	tonosegmental	1
10	End	tonosegmental	3
16	End	tonosegmental	10
17	End	tonosegmental	30
1	Start	intonational	4
2	Start	intonational	2
6	Start	intonational	6
17	End	intonational	6
22	End	intonational	6
5	Start	length	3
9	Start	length	2
10	Start	length	2
17	End	length	4
18	End	length	3
