chart	file	width	height	units
pooled_plot	cent2127_verbal/pooled/cent2127_verbal_pooled_plot.pdf	34.82	13.3	cm
pooled_domainplot	cent2127_verbal/pooled/cent2127_verbal_pooled_domainplot.pdf	34.82	13.3	cm
pooled_plot_indeterminate	cent2127_verbal/pooled/cent2127_verbal_pooled_plot_indeterminate.pdf	33.82	7	cm
pooled_plot_indeterminate_global_layers	cent2127_verbal/pooled/cent2127_verbal_pooled_plot_indeterminate_global_layers.pdf	33.82	7	cm
pooled_plot_morphosyntactic	cent2127_verbal/pooled/cent2127_verbal_pooled_plot_morphosyntactic.pdf	25.42	7	cm
pooled_plot_morphosyntactic_global_layers	cent2127_verbal/pooled/cent2127_verbal_pooled_plot_morphosyntactic_global_layers.pdf	25.42	7	cm
pooled_plot_phonological	cent2127_verbal/pooled/cent2127_verbal_pooled_plot_phonological.pdf	29.62	7	cm
pooled_plot_phonological_global_layers	cent2127_verbal/pooled/cent2127_verbal_pooled_plot_phonological_global_layers.pdf	29.62	7	cm
boundary_skyline	cent2127_verbal/boundaries/cent2127_verbal_boundary_skyline.pdf	16	11	in
spanchart	cent2127_verbal/laminar-families/cent2127_verbal_spanchart.pdf	14	8	in
morsyn_laminar_forest	cent2127_verbal/laminar-families/cent2127_verbal_morsyn_laminar_forest.pdf	20	14	in
morsyn_tree_01	cent2127_verbal/laminar-families/cent2127_verbal_morsyn_tree_01.pdf	12	8	in
morsyn_tree_02	cent2127_verbal/laminar-families/cent2127_verbal_morsyn_tree_02.pdf	12	8	in
phon_laminar_forest	cent2127_verbal/laminar-families/cent2127_verbal_phon_laminar_forest.pdf	20	14	in
phon_tree_01	cent2127_verbal/laminar-families/cent2127_verbal_phon_tree_01.pdf	12	8	in
indet_laminar_forest	cent2127_verbal/laminar-families/cent2127_verbal_indet_laminar_forest.pdf	20	14	in
indet_tree_01	cent2127_verbal/laminar-families/cent2127_verbal_indet_tree_01.pdf	12	8	in
indet_tree_02	cent2127_verbal/laminar-families/cent2127_verbal_indet_tree_02.pdf	12	8	in
morsyn_indet_laminar_forest	cent2127_verbal/laminar-families/cent2127_verbal_morsyn_indet_laminar_forest.pdf	20	14	in
morsyn_indet_tree_01	cent2127_verbal/laminar-families/cent2127_verbal_morsyn_indet_tree_01.pdf	12	8	in
morsyn_indet_tree_02	cent2127_verbal/laminar-families/cent2127_verbal_morsyn_indet_tree_02.pdf	12	8	in
morsyn_indet_tree_03	cent2127_verbal/laminar-families/cent2127_verbal_morsyn_indet_tree_03.pdf	12	8	in
laminar_overlay	cent2127_verbal/laminar-families/cent2127_verbal_laminar_overlay.pdf	20	14	in
laminar_overlay_legend	cent2127_verbal/laminar-families/cent2127_verbal_laminar_overlay_legend.pdf	20	14	in
all_families_labeled	cent2127_verbal/laminar-families/cent2127_verbal_all_families_labeled.pdf	20	14	in
all_families_labeled_legend	cent2127_verbal/laminar-families/cent2127_verbal_all_families_labeled_legend.pdf	20	14	in
freqtree	cent2127_verbal/laminar-families/cent2127_verbal_freqtree.pdf	16	10	in
most_binary_tree	cent2127_verbal/laminar-families/cent2127_verbal_most_binary_tree.pdf	16	10	in
exemplary_trees_1	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_1.pdf	84.4	14.28	cm
exemplary_trees_slide_1_tree	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_slide_1_tree.pdf	13.333	7.5	in
exemplary_trees_slide_1_evidence	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_slide_1_evidence.pdf	33.4	11.9	cm
exemplary_trees_2	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_2.pdf	84.8	14.28	cm
exemplary_trees_slide_2_tree	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_slide_2_tree.pdf	13.333	7.5	in
exemplary_trees_slide_2_evidence	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_slide_2_evidence.pdf	33.82	11.2	cm
exemplary_trees_3	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_3.pdf	84.4	14.28	cm
exemplary_trees_slide_3_tree	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_slide_3_tree.pdf	13.333	7.5	in
exemplary_trees_slide_3_evidence	cent2127_verbal/laminar-families/cent2127_verbal_exemplary_trees_slide_3_evidence.pdf	33.4	11.2	cm
forestspans_plot	cent2127_verbal/pooled/cent2127_verbal_forestspans_plot.pdf	34	24	cm
tree_count_by_class	cent2127_verbal/counts-and-chance/cent2127_verbal_tree_count_by_class.pdf	8	3.8	in
