group	kind	family_count	n
all	all	2	18
all	all	3	196
all	all	4	592
all	all	5	885
all	all	6	1005
all	all	7	843
all	all	8	663
all	all	9	342
all	all	10	266
all	all	11	76
all	all	12	78
all	all	13	18
all	all	14	14
all	all	15	1
all	all	16	2
all	all	17	1
morphosyntactic	class	1	210
morphosyntactic	class	2	1786
morphosyntactic	class	3	2033
morphosyntactic	class	4	833
morphosyntactic	class	5	115
morphosyntactic	class	6	23
phonological	class	1	174
phonological	class	2	1803
phonological	class	3	2065
phonological	class	4	805
phonological	class	5	127
phonological	class	6	26
indeterminate	class	1	3312
indeterminate	class	2	1688
morsyn_indet	bundle	1	11
morsyn_indet	bundle	2	287
morsyn_indet	bundle	3	1161
morsyn_indet	bundle	4	1522
morsyn_indet	bundle	5	1104
morsyn_indet	bundle	6	585
morsyn_indet	bundle	7	198
morsyn_indet	bundle	8	112
morsyn_indet	bundle	9	8
morsyn_indet	bundle	10	12
