group	kind	family_count	n
all	all	2	17
all	all	3	267
all	all	4	912
all	all	5	1371
all	all	6	1177
all	all	7	731
all	all	8	328
all	all	9	139
all	all	10	37
all	all	11	18
all	all	12	1
all	all	13	1
all	all	14	1
morphosyntactic	class	1	295
morphosyntactic	class	2	2398
morphosyntactic	class	3	2003
morphosyntactic	class	4	252
morphosyntactic	class	5	50
morphosyntactic	class	6	2
phonological	class	1	110
phonological	class	2	1484
phonological	class	3	2589
phonological	class	4	614
phonological	class	5	198
phonological	class	6	5
indeterminate	class	1	2458
indeterminate	class	2	2542
morsyn_indet	bundle	1	19
morsyn_indet	bundle	2	442
morsyn_indet	bundle	3	1917
morsyn_indet	bundle	4	1739
morsyn_indet	bundle	5	652
morsyn_indet	bundle	6	164
morsyn_indet	bundle	7	60
morsyn_indet	bundle	8	4
morsyn_indet	bundle	9	3
