group	kind	family_count	n
all	all	4	3
all	all	5	11
all	all	6	29
all	all	7	68
all	all	8	112
all	all	9	157
all	all	10	247
all	all	11	290
all	all	12	344
all	all	13	362
all	all	14	377
all	all	15	366
all	all	16	341
all	all	17	307
all	all	18	348
all	all	19	236
all	all	20	272
all	all	21	179
all	all	22	188
all	all	23	135
all	all	24	148
all	all	25	87
all	all	26	77
all	all	27	57
all	all	28	63
all	all	29	35
all	all	30	39
all	all	31	21
all	all	32	25
all	all	33	14
all	all	34	9
all	all	35	8
all	all	36	17
all	all	37	2
all	all	38	4
all	all	39	1
all	all	40	7
all	all	41	4
all	all	42	4
all	all	44	1
all	all	46	1
all	all	47	1
all	all	48	1
all	all	52	1
all	all	54	1
morphosyntactic	class	1	9
morphosyntactic	class	2	327
morphosyntactic	class	3	1203
morphosyntactic	class	4	1447
morphosyntactic	class	5	1001
morphosyntactic	class	6	689
morphosyntactic	class	7	187
morphosyntactic	class	8	109
morphosyntactic	class	9	19
morphosyntactic	class	10	8
morphosyntactic	class	12	1
phonological	class	2	26
phonological	class	3	186
phonological	class	4	561
phonological	class	5	897
phonological	class	6	993
phonological	class	7	839
phonological	class	8	632
phonological	class	9	354
phonological	class	10	277
phonological	class	11	101
phonological	class	12	86
phonological	class	13	25
phonological	class	14	15
phonological	class	15	4
phonological	class	16	3
phonological	class	17	1
indeterminate	class	1	682
indeterminate	class	2	2829
indeterminate	class	3	1289
indeterminate	class	4	200
morsyn_indet	bundle	1	5
morsyn_indet	bundle	2	107
morsyn_indet	bundle	3	529
morsyn_indet	bundle	4	1115
morsyn_indet	bundle	5	1116
morsyn_indet	bundle	6	985
morsyn_indet	bundle	7	547
morsyn_indet	bundle	8	364
morsyn_indet	bundle	9	119
morsyn_indet	bundle	10	83
morsyn_indet	bundle	11	10
morsyn_indet	bundle	12	14
morsyn_indet	bundle	14	6
