family_id	span_id
family_001	1-31
family_001	2-29
family_001	2-31
family_001	3-29
family_001	6-28
family_001	13-21
family_001	13-25
family_001	15-19
family_001	15-20
family_001	15-21
family_001	16-19
family_002	1-31
family_002	2-29
family_002	2-31
family_002	3-29
family_002	6-28
family_002	13-21
family_002	13-25
family_002	15-20
family_002	15-21
family_002	19-20
family_003	1-31
family_003	2-29
family_003	2-31
family_003	3-29
family_003	6-28
family_003	15-19
family_003	15-20
family_003	15-21
family_003	15-28
family_003	16-19
family_004	1-31
family_004	2-29
family_004	2-31
family_004	3-29
family_004	6-28
family_004	15-20
family_004	15-21
family_004	15-28
family_004	19-20
family_005	1-31
family_005	2-29
family_005	2-31
family_005	3-20
family_005	3-29
family_005	15-19
family_005	15-20
family_005	16-19
family_006	1-31
family_006	2-29
family_006	2-31
family_006	3-29
family_006	6-28
family_006	15-28
family_006	16-19
family_006	16-28
family_007	1-31
family_007	2-29
family_007	2-31
family_007	3-29
family_007	6-28
family_007	15-28
family_007	16-28
family_007	19-20
family_008	1-31
family_008	2-29
family_008	2-31
family_008	3-20
family_008	3-29
family_008	15-20
family_008	19-20
