group	kind	family_count	n
morphosyntactic	class	1	794
morphosyntactic	class	2	2236
morphosyntactic	class	3	1069
morphosyntactic	class	4	667
morphosyntactic	class	5	110
morphosyntactic	class	6	116
morphosyntactic	class	7	7
morphosyntactic	class	8	1
phonological	class	1	201
phonological	class	2	1264
phonological	class	3	1329
phonological	class	4	1181
phonological	class	5	302
phonological	class	6	520
phonological	class	7	138
phonological	class	8	65
indeterminate	class	1	1114
indeterminate	class	2	2371
indeterminate	class	3	902
indeterminate	class	4	497
indeterminate	class	5	51
indeterminate	class	6	63
indeterminate	class	7	2
morsyn_indet	bundle	1	56
morsyn_indet	bundle	2	597
morsyn_indet	bundle	3	1092
morsyn_indet	bundle	4	1332
morsyn_indet	bundle	5	364
morsyn_indet	bundle	6	999
morsyn_indet	bundle	7	304
morsyn_indet	bundle	8	256
