family_id	span_id
family_001	1-31
family_001	2-31
family_001	13-25
family_001	15-19
family_001	15-20
family_001	15-21
family_001	16-19
family_002	1-31
family_002	2-31
family_002	15-19
family_002	15-20
family_002	15-21
family_002	15-28
family_002	16-19
family_003	1-31
family_003	2-31
family_003	13-25
family_003	15-20
family_003	15-21
family_003	19-20
family_004	1-31
family_004	2-31
family_004	15-20
family_004	15-21
family_004	15-28
family_004	19-20
family_005	1-31
family_005	2-31
family_005	15-28
family_005	16-19
family_005	16-28
family_006	1-31
family_006	2-31
family_006	15-28
family_006	16-28
family_006	19-20
