span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-31	1	31	31	0	6	(root)	(synthetic)	True		#000000
2-31	2	31	30	1	6	suprasegmental tone sandhi maximal no prosodic restrictions	phonological	False	9	#20845E
13-25	13	25	13	1	2	segmental vowel-consonant dissimilation maximal *ɛ j constraint negative evidence	phonological	False	2	#20845E
15-19	15	19	5	1	2	suprasegmental tone sandhi minimal sandhi blocking	phonological	False	1	#20845E
15-20	15	20	6	1	4	suprasegmental accent maximal	phonological	False	7	#20845E
15-21	15	21	7	2	4	suprasegmental neutralization maximal obligatory tone neutralization|suprasegmental tone sandhi maximal sandhi blocking	phonological	False	6	#20845E
15-28	15	28	14	3	4	pausing pause|suprasegmental tone sandhi minimal optional tone sandhi|suprasegmental tone sandhi obligatory sandhi	phonological	False	8	#20845E
16-19	16	19	4	1	3	segmental syllabification positive evidence	phonological	False	4	#20845E
16-28	16	28	13	1	2	segmental syllabification negative evidence	phonological	False	3	#20845E
19-20	19	20	2	1	3	suprasegmental accent minimal positive evidence	phonological	False	5	#20845E
