group	kind	family_count	n
all	all	1	3
all	all	2	103
all	all	3	599
all	all	4	1052
all	all	5	1149
all	all	6	972
all	all	7	531
all	all	8	346
all	all	9	135
all	all	10	89
all	all	11	9
all	all	12	11
all	all	16	1
morphosyntactic	class	1	51
morphosyntactic	class	2	853
morphosyntactic	class	3	1827
morphosyntactic	class	4	1403
morphosyntactic	class	5	599
morphosyntactic	class	6	231
morphosyntactic	class	7	26
morphosyntactic	class	8	9
morphosyntactic	class	9	1
phonological	class	1	3257
phonological	class	2	1743
indeterminate	class	1	653
indeterminate	class	2	2863
indeterminate	class	3	1310
indeterminate	class	4	174
morsyn_indet	bundle	1	2
morsyn_indet	bundle	2	77
morsyn_indet	bundle	3	530
morsyn_indet	bundle	4	1078
morsyn_indet	bundle	5	1191
morsyn_indet	bundle	6	972
morsyn_indet	bundle	7	573
morsyn_indet	bundle	8	329
morsyn_indet	bundle	9	123
morsyn_indet	bundle	10	93
morsyn_indet	bundle	11	7
morsyn_indet	bundle	12	23
morsyn_indet	bundle	13	2
