group	kind	family_count	n
all	all	2	93
all	all	3	716
all	all	4	1130
all	all	5	1364
all	all	6	826
all	all	7	436
all	all	8	279
all	all	9	62
all	all	10	71
all	all	11	4
all	all	12	18
all	all	14	1
morphosyntactic	class	1	166
morphosyntactic	class	2	1766
morphosyntactic	class	3	1778
morphosyntactic	class	4	928
morphosyntactic	class	5	220
morphosyntactic	class	6	135
morphosyntactic	class	7	1
morphosyntactic	class	8	6
phonological	class	1	3543
phonological	class	2	1457
indeterminate	class	1	509
indeterminate	class	2	3292
indeterminate	class	3	1013
indeterminate	class	4	186
morsyn_indet	bundle	2	96
morsyn_indet	bundle	3	698
morsyn_indet	bundle	4	1126
morsyn_indet	bundle	5	1382
morsyn_indet	bundle	6	827
morsyn_indet	bundle	7	438
morsyn_indet	bundle	8	286
morsyn_indet	bundle	9	64
morsyn_indet	bundle	10	65
morsyn_indet	bundle	11	3
morsyn_indet	bundle	12	14
morsyn_indet	bundle	14	1
