group	kind	family_count	n
all	all	2	2
all	all	3	20
all	all	4	158
all	all	5	468
all	all	6	747
all	all	7	845
all	all	8	825
all	all	9	659
all	all	10	557
all	all	11	275
all	all	12	234
all	all	13	81
all	all	14	69
all	all	15	25
all	all	16	22
all	all	17	5
all	all	18	6
all	all	20	1
all	all	22	1
morphosyntactic	class	1	1
morphosyntactic	class	2	55
morphosyntactic	class	3	421
morphosyntactic	class	4	1010
morphosyntactic	class	5	1305
morphosyntactic	class	6	1041
morphosyntactic	class	7	632
morphosyntactic	class	8	348
morphosyntactic	class	9	102
morphosyntactic	class	10	63
morphosyntactic	class	11	11
morphosyntactic	class	12	10
morphosyntactic	class	13	1
phonological	class	1	147
phonological	class	2	1754
phonological	class	3	2180
phonological	class	4	788
phonological	class	5	111
phonological	class	6	20
indeterminate	class	1	3274
indeterminate	class	2	1726
morsyn_indet	bundle	2	6
morsyn_indet	bundle	3	124
morsyn_indet	bundle	4	504
morsyn_indet	bundle	5	887
morsyn_indet	bundle	6	1060
morsyn_indet	bundle	7	970
morsyn_indet	bundle	8	689
morsyn_indet	bundle	9	349
morsyn_indet	bundle	10	241
morsyn_indet	bundle	11	84
morsyn_indet	bundle	12	64
morsyn_indet	bundle	13	10
morsyn_indet	bundle	14	7
morsyn_indet	bundle	15	3
morsyn_indet	bundle	16	2
