group	kind	family_count	n
all	all	3	21
all	all	4	241
all	all	5	579
all	all	6	916
all	all	7	1043
all	all	8	793
all	all	9	645
all	all	10	348
all	all	11	189
all	all	12	130
all	all	13	41
all	all	14	26
all	all	15	17
all	all	16	8
all	all	17	1
all	all	18	1
all	all	20	1
morphosyntactic	class	2	36
morphosyntactic	class	3	457
morphosyntactic	class	4	1165
morphosyntactic	class	5	1468
morphosyntactic	class	6	956
morphosyntactic	class	7	611
morphosyntactic	class	8	197
morphosyntactic	class	9	55
morphosyntactic	class	10	46
morphosyntactic	class	11	3
morphosyntactic	class	12	6
phonological	class	1	281
phonological	class	2	2226
phonological	class	3	1953
phonological	class	4	424
phonological	class	5	112
phonological	class	6	4
indeterminate	class	1	3871
indeterminate	class	2	1129
morsyn_indet	bundle	2	8
morsyn_indet	bundle	3	224
morsyn_indet	bundle	4	701
morsyn_indet	bundle	5	1076
morsyn_indet	bundle	6	1101
morsyn_indet	bundle	7	897
morsyn_indet	bundle	8	489
morsyn_indet	bundle	9	255
morsyn_indet	bundle	10	158
morsyn_indet	bundle	11	48
morsyn_indet	bundle	12	34
morsyn_indet	bundle	13	4
morsyn_indet	bundle	14	4
morsyn_indet	bundle	18	1
