group	kind	family_count	n
all	all	13	1
all	all	14	2
all	all	15	1
all	all	16	2
all	all	17	8
all	all	18	6
all	all	19	12
all	all	20	19
all	all	21	16
all	all	22	23
all	all	23	30
all	all	24	42
all	all	25	38
all	all	26	36
all	all	27	62
all	all	28	68
all	all	29	75
all	all	30	76
all	all	31	105
all	all	32	92
all	all	33	90
all	all	34	101
all	all	35	100
all	all	36	122
all	all	37	113
all	all	38	129
all	all	39	106
all	all	40	97
all	all	41	138
all	all	42	129
all	all	43	97
all	all	44	137
all	all	45	116
all	all	46	119
all	all	47	96
all	all	48	125
all	all	49	122
all	all	50	127
all	all	51	108
all	all	52	107
all	all	53	94
all	all	54	93
all	all	55	91
all	all	56	89
all	all	57	73
all	all	58	101
all	all	59	58
all	all	60	90
all	all	61	71
all	all	62	68
all	all	63	57
all	all	64	74
all	all	65	68
all	all	66	63
all	all	67	51
all	all	68	65
all	all	69	50
all	all	70	43
all	all	71	32
all	all	72	65
all	all	73	28
all	all	74	41
all	all	75	23
all	all	76	25
all	all	77	29
all	all	78	33
all	all	79	24
all	all	80	27
all	all	81	28
all	all	82	19
all	all	83	10
all	all	84	22
all	all	85	21
all	all	86	15
all	all	87	14
all	all	88	18
all	all	89	9
all	all	90	13
all	all	91	11
all	all	92	19
all	all	93	7
all	all	94	13
all	all	95	15
all	all	96	11
all	all	97	15
all	all	98	9
all	all	99	6
all	all	100	6
all	all	101	7
all	all	102	6
all	all	103	2
all	all	104	4
all	all	105	5
all	all	106	5
all	all	107	6
all	all	108	5
all	all	109	7
all	all	110	6
all	all	111	1
all	all	112	9
all	all	113	1
all	all	114	4
all	all	116	4
all	all	118	1
all	all	120	1
all	all	121	3
all	all	122	1
all	all	123	1
all	all	124	3
all	all	127	2
all	all	128	2
all	all	131	1
all	all	132	1
all	all	133	1
all	all	136	1
all	all	138	1
all	all	140	2
all	all	141	1
all	all	146	1
all	all	148	2
all	all	149	1
all	all	153	1
all	all	166	1
morphosyntactic	class	2	1
morphosyntactic	class	3	16
morphosyntactic	class	4	86
morphosyntactic	class	5	259
morphosyntactic	class	6	462
morphosyntactic	class	7	559
morphosyntactic	class	8	609
morphosyntactic	class	9	652
morphosyntactic	class	10	661
morphosyntactic	class	11	444
morphosyntactic	class	12	418
morphosyntactic	class	13	230
morphosyntactic	class	14	225
morphosyntactic	class	15	109
morphosyntactic	class	16	106
morphosyntactic	class	17	53
morphosyntactic	class	18	52
morphosyntactic	class	19	21
morphosyntactic	class	20	23
morphosyntactic	class	21	3
morphosyntactic	class	22	2
morphosyntactic	class	24	2
morphosyntactic	class	25	2
morphosyntactic	class	26	1
morphosyntactic	class	27	2
morphosyntactic	class	28	2
phonological	class	2	1
phonological	class	3	19
phonological	class	4	68
phonological	class	5	239
phonological	class	6	431
phonological	class	7	564
phonological	class	8	680
phonological	class	9	653
phonological	class	10	616
phonological	class	11	460
phonological	class	12	427
phonological	class	13	226
phonological	class	14	234
phonological	class	15	116
phonological	class	16	106
phonological	class	17	44
phonological	class	18	39
phonological	class	19	18
phonological	class	20	27
phonological	class	21	7
phonological	class	22	8
phonological	class	23	1
phonological	class	24	10
phonological	class	25	2
phonological	class	26	4
indeterminate	class	1	1
indeterminate	class	2	27
indeterminate	class	3	208
indeterminate	class	4	544
indeterminate	class	5	934
indeterminate	class	6	976
indeterminate	class	7	797
indeterminate	class	8	643
indeterminate	class	9	331
indeterminate	class	10	283
indeterminate	class	11	86
indeterminate	class	12	101
indeterminate	class	13	26
indeterminate	class	14	28
indeterminate	class	15	8
indeterminate	class	16	5
indeterminate	class	18	2
morsyn_indet	bundle	4	3
morsyn_indet	bundle	5	12
morsyn_indet	bundle	6	22
morsyn_indet	bundle	7	53
morsyn_indet	bundle	8	87
morsyn_indet	bundle	9	179
morsyn_indet	bundle	10	246
morsyn_indet	bundle	11	298
morsyn_indet	bundle	12	389
morsyn_indet	bundle	13	370
morsyn_indet	bundle	14	407
morsyn_indet	bundle	15	357
morsyn_indet	bundle	16	394
morsyn_indet	bundle	17	282
morsyn_indet	bundle	18	332
morsyn_indet	bundle	19	247
morsyn_indet	bundle	20	250
morsyn_indet	bundle	21	187
morsyn_indet	bundle	22	189
morsyn_indet	bundle	23	116
morsyn_indet	bundle	24	131
morsyn_indet	bundle	25	88
morsyn_indet	bundle	26	90
morsyn_indet	bundle	27	44
morsyn_indet	bundle	28	60
morsyn_indet	bundle	29	24
morsyn_indet	bundle	30	40
morsyn_indet	bundle	31	17
morsyn_indet	bundle	32	18
morsyn_indet	bundle	33	14
morsyn_indet	bundle	34	19
morsyn_indet	bundle	35	7
morsyn_indet	bundle	36	8
morsyn_indet	bundle	37	2
morsyn_indet	bundle	38	6
morsyn_indet	bundle	39	1
morsyn_indet	bundle	41	1
morsyn_indet	bundle	42	1
morsyn_indet	bundle	43	2
morsyn_indet	bundle	44	3
morsyn_indet	bundle	45	1
morsyn_indet	bundle	48	1
morsyn_indet	bundle	56	1
morsyn_indet	bundle	57	1
