group	kind	family_count	n
morphosyntactic	class	1	17
morphosyntactic	class	2	314
morphosyntactic	class	3	604
morphosyntactic	class	4	733
morphosyntactic	class	5	793
morphosyntactic	class	6	1055
morphosyntactic	class	7	56
morphosyntactic	class	8	722
morphosyntactic	class	9	145
morphosyntactic	class	10	275
morphosyntactic	class	11	28
morphosyntactic	class	12	117
morphosyntactic	class	13	61
morphosyntactic	class	14	15
morphosyntactic	class	15	18
morphosyntactic	class	16	40
morphosyntactic	class	18	3
morphosyntactic	class	21	3
morphosyntactic	class	22	1
phonological	class	1	15
phonological	class	2	210
phonological	class	3	480
phonological	class	4	631
phonological	class	5	798
phonological	class	6	1062
phonological	class	7	47
phonological	class	8	859
phonological	class	9	141
phonological	class	10	297
phonological	class	11	68
phonological	class	12	148
phonological	class	13	122
phonological	class	14	26
phonological	class	15	22
phonological	class	16	50
phonological	class	18	14
phonological	class	20	1
phonological	class	21	7
phonological	class	22	2
indeterminate	class	1	280
indeterminate	class	2	1601
indeterminate	class	3	974
indeterminate	class	4	1253
indeterminate	class	5	350
indeterminate	class	6	405
indeterminate	class	7	6
indeterminate	class	8	99
indeterminate	class	9	4
indeterminate	class	10	21
indeterminate	class	12	6
indeterminate	class	13	1
morsyn_indet	bundle	2	1
morsyn_indet	bundle	3	18
morsyn_indet	bundle	4	41
morsyn_indet	bundle	5	236
morsyn_indet	bundle	6	216
morsyn_indet	bundle	7	44
morsyn_indet	bundle	8	1025
morsyn_indet	bundle	9	160
morsyn_indet	bundle	10	328
morsyn_indet	bundle	11	402
morsyn_indet	bundle	12	214
morsyn_indet	bundle	13	640
morsyn_indet	bundle	14	85
morsyn_indet	bundle	15	133
morsyn_indet	bundle	16	592
morsyn_indet	bundle	18	295
morsyn_indet	bundle	20	21
morsyn_indet	bundle	21	235
morsyn_indet	bundle	22	210
morsyn_indet	bundle	24	13
morsyn_indet	bundle	29	91
