group	kind	family_count	n
all	all	5	11
all	all	6	22
all	all	7	53
all	all	8	106
all	all	9	181
all	all	10	269
all	all	11	287
all	all	12	379
all	all	13	351
all	all	14	401
all	all	15	330
all	all	16	395
all	all	17	315
all	all	18	317
all	all	19	270
all	all	20	257
all	all	21	184
all	all	22	192
all	all	23	115
all	all	24	118
all	all	25	74
all	all	26	95
all	all	27	56
all	all	28	52
all	all	29	29
all	all	30	37
all	all	31	12
all	all	32	30
all	all	33	15
all	all	34	15
all	all	35	3
all	all	36	6
all	all	37	3
all	all	38	4
all	all	39	4
all	all	40	4
all	all	41	1
all	all	42	2
all	all	46	2
all	all	52	1
all	all	55	1
all	all	64	1
morphosyntactic	class	1	645
morphosyntactic	class	2	2920
morphosyntactic	class	3	1233
morphosyntactic	class	4	202
phonological	class	1	54
phonological	class	2	847
phonological	class	3	1864
phonological	class	4	1426
phonological	class	5	553
phonological	class	6	218
phonological	class	7	20
phonological	class	8	18
indeterminate	class	1	188
indeterminate	class	2	1829
indeterminate	class	3	2019
indeterminate	class	4	796
indeterminate	class	5	139
indeterminate	class	6	29
morsyn_indet	bundle	2	21
morsyn_indet	bundle	3	197
morsyn_indet	bundle	4	566
morsyn_indet	bundle	5	938
morsyn_indet	bundle	6	988
morsyn_indet	bundle	7	827
morsyn_indet	bundle	8	631
morsyn_indet	bundle	9	348
morsyn_indet	bundle	10	270
morsyn_indet	bundle	11	84
morsyn_indet	bundle	12	85
morsyn_indet	bundle	13	23
morsyn_indet	bundle	14	13
morsyn_indet	bundle	15	5
morsyn_indet	bundle	16	2
morsyn_indet	bundle	17	1
morsyn_indet	bundle	18	1
