family_id	span_id
family_001	1-24
family_001	2-22
family_001	2-23
family_001	4-22
family_001	5-21
family_001	5-22
family_001	7-21
family_001	11-21
family_002	1-24
family_002	2-22
family_002	2-23
family_002	4-22
family_002	5-22
family_002	7-21
family_002	7-22
family_002	11-21
family_003	1-24
family_003	2-22
family_003	2-23
family_003	4-22
family_003	5-22
family_003	7-22
family_003	9-22
family_003	11-21
family_004	1-24
family_004	2-22
family_004	2-23
family_004	4-22
family_004	5-22
family_004	7-22
family_004	9-22
family_004	12-22
family_005	1-24
family_005	2-17
family_005	2-20
family_005	2-22
family_005	2-23
family_005	4-13
family_006	1-21
family_006	1-24
family_006	2-17
family_006	2-20
family_006	4-13
family_007	1-21
family_007	1-24
family_007	5-21
family_007	7-21
family_007	11-21
family_008	1-24
family_008	2-22
family_008	2-23
family_008	4-13
family_008	4-22
