group	kind	family_count	n
morphosyntactic	class	1	423
morphosyntactic	class	2	2130
morphosyntactic	class	3	1625
morphosyntactic	class	4	501
morphosyntactic	class	5	316
morphosyntactic	class	6	5
phonological	class	1	207
phonological	class	2	1631
phonological	class	3	1858
phonological	class	4	688
phonological	class	5	567
phonological	class	6	49
indeterminate	class	1	679
indeterminate	class	2	2494
indeterminate	class	3	1274
indeterminate	class	4	384
indeterminate	class	5	169
morsyn_indet	bundle	1	1
morsyn_indet	bundle	2	115
morsyn_indet	bundle	3	841
morsyn_indet	bundle	4	1122
morsyn_indet	bundle	5	1536
morsyn_indet	bundle	6	1152
morsyn_indet	bundle	7	226
morsyn_indet	bundle	8	7
