group	kind	family_count	n
all	all	4	1
all	all	5	4
all	all	6	28
all	all	7	101
all	all	8	220
all	all	9	402
all	all	10	510
all	all	11	607
all	all	12	576
all	all	13	599
all	all	14	466
all	all	15	394
all	all	16	296
all	all	17	227
all	all	18	156
all	all	19	117
all	all	20	97
all	all	21	59
all	all	22	42
all	all	23	31
all	all	24	20
all	all	25	16
all	all	26	10
all	all	27	6
all	all	28	4
all	all	29	4
all	all	31	2
all	all	33	3
all	all	35	1
all	all	36	1
morphosyntactic	class	2	2081
morphosyntactic	class	3	2300
morphosyntactic	class	4	619
phonological	class	1	15
phonological	class	2	570
phonological	class	3	2505
phonological	class	4	1691
phonological	class	5	208
phonological	class	6	11
indeterminate	class	2	1265
indeterminate	class	3	2895
indeterminate	class	4	773
indeterminate	class	5	58
indeterminate	class	6	9
morsyn_indet	bundle	2	1
morsyn_indet	bundle	3	57
morsyn_indet	bundle	4	400
morsyn_indet	bundle	5	892
morsyn_indet	bundle	6	1148
morsyn_indet	bundle	7	1070
morsyn_indet	bundle	8	703
morsyn_indet	bundle	9	366
morsyn_indet	bundle	10	205
morsyn_indet	bundle	11	100
morsyn_indet	bundle	12	38
morsyn_indet	bundle	13	10
morsyn_indet	bundle	14	6
morsyn_indet	bundle	15	3
morsyn_indet	bundle	16	1
