span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-21	1	21	21	1	2	recursion based nominalization maximal	morphosyntactic	False	6	#BC3C29
1-24	1	24	24	1	8	recursion based asyndetic maximal	morphosyntactic	False		#BC3C29
2-17	2	17	16	1	2	nonpermutability rigid minimal	morphosyntactic	False	4	#BC3C29
2-20	2	20	19	1	2	recursion based nominalization minimal	indeterminate	False	5	#6F99AD
2-22	2	22	21	3	6	ciscategorial selection maximal|noninterruption|nonpermutability rigid maximal	morphosyntactic	False	13	#BC3C29
2-23	2	23	22	5	6	free occurrence maximal|recursion based asyndetic minimal|segmental syllabification syllabification|segmental vowel deletion final apocope|segmental vowel deletion h-metathesis vowel deletion, h-metathesis+vowel deletion	indeterminate|phonological	False	14	#488E86
4-13	4	13	10	1	3	deviations allomorphy minimal	indeterminate	False	9	#6F99AD
4-22	4	22	19	1	5	deviations allomorphy maximal	indeterminate	False	12	#6F99AD
5-21	5	21	17	1	2	suprasegmental accent maximal domain of h3 assignment	phonological	False	2	#20845E
5-22	5	22	18	1	4	suprasegmental accent maximal domain of superhigh assignment	phonological	False	11	#20845E
7-21	7	21	15	1	3	suprasegmental accent minimal domain of h3 assignment	phonological	False	7	#20845E
7-22	7	22	16	1	3	suprasegmental accent minimal domain of superhigh assignment	phonological	False	8	#20845E
9-22	9	22	14	1	2	free occurrence minimal	indeterminate	False	3	#6F99AD
11-21	11	21	11	1	4	suprasegmental accent domain of h1 spreading	phonological	False	10	#20845E
12-22	12	22	11	1	1	ciscategorial selection minimal	morphosyntactic	False	1	#BC3C29
