dataset	position	relative_position	side	summed	scaled	jump_p_value_ge_observed	jump_significant
arao1248_verbal	1	-5	left	2	0.2222	1.0	n
arao1248_verbal	1	-5	right	0	0.0	1.0	n
arao1248_verbal	2	-4	left	0	0.0	0.629	n
arao1248_verbal	2	-4	right	0	0.0	1.0	n
arao1248_verbal	3	-3	left	0	0.0	0.3668	n
arao1248_verbal	3	-3	right	0	0.0	1.0	n
arao1248_verbal	4	-2	left	9	1.0	0.0148	y
arao1248_verbal	4	-2	right	0	0.0	0.9382	n
arao1248_verbal	5	-1	left	0	0.0	0.9912	n
arao1248_verbal	5	-1	right	0	0.0	0.9336	n
arao1248_verbal	6	0	left	3	0.3333	0.1462	n
arao1248_verbal	6	0	right	1	0.1111	0.1322	n
arao1248_verbal	7	1	left	0	0.0	0.8698	n
arao1248_verbal	7	1	right	0	0.0	0.8948	n
arao1248_verbal	8	2	left	0	0.0	0.6278	n
arao1248_verbal	8	2	right	0	0.0	0.8792	n
arao1248_verbal	9	3	left	0	0.0	0.6882	n
arao1248_verbal	9	3	right	0	0.0	0.807	n
arao1248_verbal	10	4	left	0	0.0	0.7404	n
arao1248_verbal	10	4	right	0	0.0	0.7572	n
arao1248_verbal	11	5	left	0	0.0	0.7424	n
arao1248_verbal	11	5	right	1	0.1111	0.3214	n
arao1248_verbal	12	6	left	0	0.0	0.8098	n
arao1248_verbal	12	6	right	0	0.0	0.7992	n
arao1248_verbal	13	7	left	0	0.0	0.8772	n
arao1248_verbal	13	7	right	1	0.1111	0.39	n
arao1248_verbal	14	8	left	0	0.0	0.8726	n
arao1248_verbal	14	8	right	3	0.3333	0.3342	n
arao1248_verbal	15	9	left	0	0.0	0.934	n
arao1248_verbal	15	9	right	2	0.2222	0.6972	n
arao1248_verbal	16	10	left	0	0.0	0.9382	n
arao1248_verbal	16	10	right	2	0.2222	0.605	n
arao1248_verbal	17	11	left	0	0.0	0.9362	n
arao1248_verbal	17	11	right	4	0.4444	0.542	n
arao1248_verbal	18	12	left	0	0.0	1.0	n
arao1248_verbal	18	12	right	0	0.0	0.7248	n
ayau1235_verbal	1	-18	left	0	0.0	1.0	n
ayau1235_verbal	1	-18	right	0	0.0	1.0	n
ayau1235_verbal	2	-17	left	16	0.9412	0.2112	n
ayau1235_verbal	2	-17	right	0	0.0	1.0	n
ayau1235_verbal	3	-16	left	10	0.5882	0.5454	n
ayau1235_verbal	3	-16	right	0	0.0	0.9684	n
ayau1235_verbal	4	-15	left	0	0.0	0.8538	n
ayau1235_verbal	4	-15	right	0	0.0	0.9658	n
ayau1235_verbal	5	-14	left	0	0.0	0.5128	n
ayau1235_verbal	5	-14	right	0	0.0	0.9326	n
ayau1235_verbal	6	-13	left	6	0.3529	0.171	n
ayau1235_verbal	6	-13	right	0	0.0	0.8984	n
ayau1235_verbal	7	-12	left	0	0.0	0.8428	n
ayau1235_verbal	7	-12	right	0	0.0	0.8736	n
ayau1235_verbal	8	-11	left	0	0.0	0.6644	n
ayau1235_verbal	8	-11	right	0	0.0	0.8414	n
ayau1235_verbal	9	-10	left	0	0.0	0.652	n
ayau1235_verbal	9	-10	right	0	0.0	0.8396	n
ayau1235_verbal	10	-9	left	0	0.0	0.6484	n
ayau1235_verbal	10	-9	right	0	0.0	0.8162	n
ayau1235_verbal	11	-8	left	0	0.0	0.6888	n
ayau1235_verbal	11	-8	right	0	0.0	0.819	n
ayau1235_verbal	12	-7	left	0	0.0	0.697	n
ayau1235_verbal	12	-7	right	0	0.0	0.825	n
ayau1235_verbal	13	-6	left	4	0.2353	0.2336	n
ayau1235_verbal	13	-6	right	0	0.0	0.8172	n
ayau1235_verbal	14	-5	left	0	0.0	0.8172	n
ayau1235_verbal	14	-5	right	0	0.0	0.7546	n
ayau1235_verbal	15	-4	left	17	1.0	0.0198	y
ayau1235_verbal	15	-4	right	0	0.0	0.7226	n
ayau1235_verbal	16	-3	left	6	0.3529	0.9464	n
ayau1235_verbal	16	-3	right	0	0.0	0.7322	n
ayau1235_verbal	17	-2	left	0	0.0	0.8682	n
ayau1235_verbal	17	-2	right	0	0.0	0.7328	n
ayau1235_verbal	18	-1	left	0	0.0	0.7234	n
ayau1235_verbal	18	-1	right	0	0.0	0.7364	n
ayau1235_verbal	19	0	left	4	0.2353	0.1872	n
ayau1235_verbal	19	0	right	7	0.4118	0.129	n
ayau1235_verbal	20	1	left	0	0.0	0.8364	n
ayau1235_verbal	20	1	right	12	0.7059	0.1976	n
ayau1235_verbal	21	2	left	0	0.0	0.8262	n
ayau1235_verbal	21	2	right	6	0.3529	0.86	n
ayau1235_verbal	22	3	left	0	0.0	0.8102	n
ayau1235_verbal	22	3	right	0	0.0	0.8598	n
ayau1235_verbal	23	4	left	0	0.0	0.8184	n
ayau1235_verbal	23	4	right	0	0.0	0.7092	n
ayau1235_verbal	24	5	left	0	0.0	0.8088	n
ayau1235_verbal	24	5	right	0	0.0	0.665	n
ayau1235_verbal	25	6	left	0	0.0	0.8488	n
ayau1235_verbal	25	6	right	2	0.1176	0.3274	n
ayau1235_verbal	26	7	left	0	0.0	0.8438	n
ayau1235_verbal	26	7	right	0	0.0	0.7094	n
ayau1235_verbal	27	8	left	0	0.0	0.8636	n
ayau1235_verbal	27	8	right	0	0.0	0.686	n
ayau1235_verbal	28	9	left	0	0.0	0.9024	n
ayau1235_verbal	28	9	right	12	0.7059	0.154	n
ayau1235_verbal	29	10	left	0	0.0	0.9368	n
ayau1235_verbal	29	10	right	16	0.9412	0.349	n
ayau1235_verbal	30	11	left	0	0.0	0.9672	n
ayau1235_verbal	30	11	right	0	0.0	0.9672	n
ayau1235_verbal	31	12	left	0	0.0	0.9648	n
ayau1235_verbal	31	12	right	8	0.4706	0.346	n
cent2127_verbal	1	-1	left	0	0.0	1.0	n
cent2127_verbal	1	-1	right	0	0.0	1.0	n
cent2127_verbal	2	0	left	11	1.0	0.0102	y
cent2127_verbal	2	0	right	0	0.0	1.0	n
cent2127_verbal	3	1	left	0	0.0	0.993	n
cent2127_verbal	3	1	right	3	0.2727	0.0778	n
cent2127_verbal	4	2	left	3	0.2727	0.1178	n
cent2127_verbal	4	2	right	1	0.0909	0.9258	n
cent2127_verbal	5	3	left	0	0.0	0.8874	n
cent2127_verbal	5	3	right	0	0.0	0.9016	n
cent2127_verbal	6	4	left	0	0.0	0.6682	n
cent2127_verbal	6	4	right	0	0.0	0.9074	n
cent2127_verbal	7	5	left	0	0.0	0.658	n
cent2127_verbal	7	5	right	1	0.0909	0.1904	n
cent2127_verbal	8	6	left	0	0.0	0.6482	n
cent2127_verbal	8	6	right	0	0.0	0.839	n
cent2127_verbal	9	7	left	0	0.0	0.7226	n
cent2127_verbal	9	7	right	0	0.0	0.8184	n
cent2127_verbal	10	8	left	0	0.0	0.719	n
cent2127_verbal	10	8	right	0	0.0	0.7684	n
cent2127_verbal	11	9	left	2	0.1818	0.2098	n
cent2127_verbal	11	9	right	0	0.0	0.7672	n
cent2127_verbal	12	10	left	0	0.0	0.8696	n
cent2127_verbal	12	10	right	1	0.0909	0.2412	n
cent2127_verbal	13	11	left	0	0.0	0.7698	n
cent2127_verbal	13	11	right	0	0.0	0.808	n
cent2127_verbal	14	12	left	0	0.0	0.7702	n
cent2127_verbal	14	12	right	0	0.0	0.7114	n
cent2127_verbal	15	13	left	0	0.0	0.811	n
cent2127_verbal	15	13	right	0	0.0	0.7354	n
cent2127_verbal	16	14	left	0	0.0	0.8168	n
cent2127_verbal	16	14	right	7	0.6364	0.0188	y
cent2127_verbal	17	15	left	0	0.0	0.8142	n
cent2127_verbal	17	15	right	0	0.0	0.9884	n
cent2127_verbal	18	16	left	0	0.0	0.8952	n
cent2127_verbal	18	16	right	0	0.0	0.6792	n
cent2127_verbal	19	17	left	0	0.0	0.9112	n
cent2127_verbal	19	17	right	0	0.0	0.7454	n
cent2127_verbal	20	18	left	0	0.0	0.9004	n
cent2127_verbal	20	18	right	3	0.2727	0.2654	n
cent2127_verbal	21	19	left	0	0.0	0.9512	n
cent2127_verbal	21	19	right	0	0.0	0.793	n
chac1251_nominal	1	-3	left	4	0.3636	1.0	n
chac1251_nominal	1	-3	right	0	0.0	1.0	n
chac1251_nominal	2	-2	left	8	0.7273	0.1062	n
chac1251_nominal	2	-2	right	0	0.0	1.0	n
chac1251_nominal	3	-1	left	8	0.7273	0.4052	n
chac1251_nominal	3	-1	right	0	0.0	0.9148	n
chac1251_nominal	4	0	left	3	0.2727	0.7934	n
chac1251_nominal	4	0	right	2	0.1818	0.2258	n
chac1251_nominal	5	1	left	0	0.0	0.7066	n
chac1251_nominal	5	1	right	2	0.1818	0.772	n
chac1251_nominal	6	2	left	0	0.0	0.5896	n
chac1251_nominal	6	2	right	3	0.2727	0.3018	n
chac1251_nominal	7	3	left	0	0.0	0.5488	n
chac1251_nominal	7	3	right	0	0.0	0.8756	n
chac1251_nominal	8	4	left	0	0.0	0.7054	n
chac1251_nominal	8	4	right	1	0.0909	0.4046	n
chac1251_nominal	9	5	left	0	0.0	0.6962	n
chac1251_nominal	9	5	right	0	0.0	0.7474	n
chac1251_nominal	10	6	left	0	0.0	0.7554	n
chac1251_nominal	10	6	right	4	0.3636	0.2966	n
chac1251_nominal	11	7	left	0	0.0	0.8206	n
chac1251_nominal	11	7	right	0	0.0	0.843	n
chac1251_nominal	12	8	left	0	0.0	0.9068	n
chac1251_nominal	12	8	right	11	1.0	0.3482	n
chac1251_verbal	1	-7	left	54	0.3506	1.0	n
chac1251_verbal	1	-7	right	0	0.0	1.0	n
chac1251_verbal	2	-6	left	0	0.0	0.5834	n
chac1251_verbal	2	-6	right	0	0.0	1.0	n
chac1251_verbal	3	-5	left	0	0.0	0.3336	n
chac1251_verbal	3	-5	right	0	0.0	0.961	n
chac1251_verbal	4	-4	left	0	0.0	0.5272	n
chac1251_verbal	4	-4	right	0	0.0	0.9266	n
chac1251_verbal	5	-3	left	0	0.0	0.5296	n
chac1251_verbal	5	-3	right	0	0.0	0.8994	n
chac1251_verbal	6	-2	left	63	0.4091	0.0166	y
chac1251_verbal	6	-2	right	0	0.0	0.8252	n
chac1251_verbal	7	-1	left	154	1.0	0.0046	y
chac1251_verbal	7	-1	right	0	0.0	0.8008	n
chac1251_verbal	8	0	left	39	0.2532	0.9986	n
chac1251_verbal	8	0	right	8	0.0519	0.2	n
chac1251_verbal	9	1	left	0	0.0	0.944	n
chac1251_verbal	9	1	right	8	0.0519	0.7734	n
chac1251_verbal	10	2	left	0	0.0	0.5414	n
chac1251_verbal	10	2	right	8	0.0519	0.751	n
chac1251_verbal	11	3	left	0	0.0	0.5484	n
chac1251_verbal	11	3	right	8	0.0519	0.749	n
chac1251_verbal	12	4	left	0	0.0	0.5924	n
chac1251_verbal	12	4	right	37	0.2403	0.0702	n
chac1251_verbal	13	5	left	0	0.0	0.6104	n
chac1251_verbal	13	5	right	16	0.1039	0.8908	n
chac1251_verbal	14	6	left	0	0.0	0.6464	n
chac1251_verbal	14	6	right	0	0.0	0.8474	n
chac1251_verbal	15	7	left	0	0.0	0.6728	n
chac1251_verbal	15	7	right	0	0.0	0.6794	n
chac1251_verbal	16	8	left	0	0.0	0.6582	n
chac1251_verbal	16	8	right	13	0.0844	0.2232	n
chac1251_verbal	17	9	left	0	0.0	0.7118	n
chac1251_verbal	17	9	right	33	0.2143	0.1632	n
chac1251_verbal	18	10	left	0	0.0	0.6872	n
chac1251_verbal	18	10	right	0	0.0	0.9308	n
chac1251_verbal	19	11	left	0	0.0	0.7216	n
chac1251_verbal	19	11	right	0	0.0	0.6264	n
chac1251_verbal	20	12	left	0	0.0	0.7508	n
chac1251_verbal	20	12	right	15	0.0974	0.2352	n
chac1251_verbal	21	13	left	0	0.0	0.7468	n
chac1251_verbal	21	13	right	0	0.0	0.7912	n
chac1251_verbal	22	14	left	0	0.0	0.776	n
chac1251_verbal	22	14	right	15	0.0974	0.26	n
chac1251_verbal	23	15	left	0	0.0	0.7688	n
chac1251_verbal	23	15	right	0	0.0	0.7862	n
chac1251_verbal	24	16	left	0	0.0	0.8	n
chac1251_verbal	24	16	right	53	0.3442	0.0518	n
chac1251_verbal	25	17	left	0	0.0	0.8248	n
chac1251_verbal	25	17	right	8	0.0519	0.9274	n
chac1251_verbal	26	18	left	0	0.0	0.8944	n
chac1251_verbal	26	18	right	8	0.0519	0.528	n
chac1251_verbal	27	19	left	0	0.0	0.9342	n
chac1251_verbal	27	19	right	40	0.2597	0.281	n
chac1251_verbal	28	20	left	0	0.0	0.961	n
chac1251_verbal	28	20	right	40	0.2597	0.8038	n
cher1273_verbal	1	-11	left	10	0.4762	1.0	n
cher1273_verbal	1	-11	right	0	0.0	1.0	n
cher1273_verbal	2	-10	left	16	0.7619	0.0258	y
cher1273_verbal	2	-10	right	0	0.0	1.0	n
cher1273_verbal	3	-9	left	0	0.0	0.9646	n
cher1273_verbal	3	-9	right	0	0.0	1.0	n
cher1273_verbal	4	-8	left	8	0.381	0.1646	n
cher1273_verbal	4	-8	right	0	0.0	1.0	n
cher1273_verbal	5	-7	left	6	0.2857	0.5148	n
cher1273_verbal	5	-7	right	0	0.0	1.0	n
cher1273_verbal	6	-6	left	0	0.0	0.8246	n
cher1273_verbal	6	-6	right	0	0.0	1.0	n
cher1273_verbal	7	-5	left	6	0.2857	0.1318	n
cher1273_verbal	7	-5	right	0	0.0	1.0	n
cher1273_verbal	8	-4	left	0	0.0	0.8498	n
cher1273_verbal	8	-4	right	0	0.0	1.0	n
cher1273_verbal	9	-3	left	2	0.0952	0.277	n
cher1273_verbal	9	-3	right	0	0.0	1.0	n
cher1273_verbal	10	-2	left	0	0.0	0.754	n
cher1273_verbal	10	-2	right	0	0.0	1.0	n
cher1273_verbal	11	-1	left	4	0.1905	0.1114	n
cher1273_verbal	11	-1	right	0	0.0	0.9394	n
cher1273_verbal	12	0	left	1	0.0476	0.8692	n
cher1273_verbal	12	0	right	0	0.0	0.8324	n
cher1273_verbal	13	1	left	0	0.0	0.829	n
cher1273_verbal	13	1	right	3	0.1429	0.1378	n
cher1273_verbal	14	2	left	0	0.0	0.8082	n
cher1273_verbal	14	2	right	0	0.0	0.9224	n
cher1273_verbal	15	3	left	0	0.0	0.8124	n
cher1273_verbal	15	3	right	0	0.0	0.7772	n
cher1273_verbal	16	4	left	0	0.0	0.935	n
cher1273_verbal	16	4	right	0	0.0	0.7408	n
cher1273_verbal	17	5	left	0	0.0	1.0	n
cher1273_verbal	17	5	right	2	0.0952	0.3356	n
cher1273_verbal	18	6	left	0	0.0	1.0	n
cher1273_verbal	18	6	right	0	0.0	0.775	n
cher1273_verbal	19	7	left	0	0.0	1.0	n
cher1273_verbal	19	7	right	0	0.0	0.6642	n
cher1273_verbal	20	8	left	0	0.0	1.0	n
cher1273_verbal	20	8	right	2	0.0952	0.3974	n
cher1273_verbal	21	9	left	0	0.0	1.0	n
cher1273_verbal	21	9	right	11	0.5238	0.231	n
cher1273_verbal	22	10	left	0	0.0	1.0	n
cher1273_verbal	22	10	right	21	1.0	0.2008	n
cher1273_verbal	23	11	left	0	0.0	1.0	n
cher1273_verbal	23	11	right	6	0.2857	0.9068	n
cher1273_verbal	24	12	left	0	0.0	1.0	n
cher1273_verbal	24	12	right	8	0.381	0.8818	n
dura0000_nominal	1	-7	left	9	1.0	1.0	n
dura0000_nominal	1	-7	right	0	0.0	1.0	n
dura0000_nominal	2	-6	left	2	0.2222	0.5944	n
dura0000_nominal	2	-6	right	0	0.0	1.0	n
dura0000_nominal	3	-5	left	0	0.0	0.7136	n
dura0000_nominal	3	-5	right	0	0.0	0.9174	n
dura0000_nominal	4	-4	left	1	0.1111	0.4648	n
dura0000_nominal	4	-4	right	0	0.0	0.7826	n
dura0000_nominal	5	-3	left	0	0.0	0.5826	n
dura0000_nominal	5	-3	right	0	0.0	0.7324	n
dura0000_nominal	6	-2	left	2	0.2222	0.3006	n
dura0000_nominal	6	-2	right	0	0.0	0.7494	n
dura0000_nominal	7	-1	left	5	0.5556	0.203	n
dura0000_nominal	7	-1	right	0	0.0	0.6336	n
dura0000_nominal	8	0	left	3	0.3333	0.7722	n
dura0000_nominal	8	0	right	6	0.6667	0.0926	n
dura0000_nominal	9	1	left	0	0.0	0.8342	n
dura0000_nominal	9	1	right	1	0.1111	0.9264	n
dura0000_nominal	10	2	left	0	0.0	0.7398	n
dura0000_nominal	10	2	right	7	0.7778	0.1416	n
dura0000_nominal	11	3	left	0	0.0	0.7178	n
dura0000_nominal	11	3	right	1	0.1111	0.8994	n
dura0000_nominal	12	4	left	0	0.0	0.769	n
dura0000_nominal	12	4	right	2	0.2222	0.4434	n
dura0000_nominal	13	5	left	0	0.0	0.9184	n
dura0000_nominal	13	5	right	5	0.5556	0.802	n
dura0000_verbal	1	-16	left	87	1.0	1.0	n
dura0000_verbal	1	-16	right	0	0.0	1.0	n
dura0000_verbal	2	-15	left	19	0.2184	0.8044	n
dura0000_verbal	2	-15	right	0	0.0	1.0	n
dura0000_verbal	3	-14	left	14	0.1609	0.4684	n
dura0000_verbal	3	-14	right	0	0.0	0.9626	n
dura0000_verbal	4	-13	left	27	0.3103	0.1636	n
dura0000_verbal	4	-13	right	0	0.0	0.9678	n
dura0000_verbal	5	-12	left	3	0.0345	0.8618	n
dura0000_verbal	5	-12	right	0	0.0	0.9616	n
dura0000_verbal	6	-11	left	7	0.0805	0.3626	n
dura0000_verbal	6	-11	right	0	0.0	0.9298	n
dura0000_verbal	7	-10	left	0	0.0	0.6676	n
dura0000_verbal	7	-10	right	0	0.0	0.9296	n
dura0000_verbal	8	-9	left	0	0.0	0.5472	n
dura0000_verbal	8	-9	right	0	0.0	0.8524	n
dura0000_verbal	9	-8	left	0	0.0	0.6012	n
dura0000_verbal	9	-8	right	0	0.0	0.8456	n
dura0000_verbal	10	-7	left	0	0.0	0.5918	n
dura0000_verbal	10	-7	right	0	0.0	0.8586	n
dura0000_verbal	11	-6	left	33	0.3793	0.0288	y
dura0000_verbal	11	-6	right	0	0.0	0.7988	n
dura0000_verbal	12	-5	left	52	0.5977	0.0986	n
dura0000_verbal	12	-5	right	0	0.0	0.757	n
dura0000_verbal	13	-4	left	17	0.1954	0.9734	n
dura0000_verbal	13	-4	right	0	0.0	0.7324	n
dura0000_verbal	14	-3	left	23	0.2644	0.2612	n
dura0000_verbal	14	-3	right	0	0.0	0.745	n
dura0000_verbal	15	-2	left	0	0.0	0.9324	n
dura0000_verbal	15	-2	right	0	0.0	0.6916	n
dura0000_verbal	16	-1	left	34	0.3908	0.0242	y
dura0000_verbal	16	-1	right	0	0.0	0.621	n
dura0000_verbal	17	0	left	9	0.1034	0.9482	n
dura0000_verbal	17	0	right	51	0.5862	0.0076	y
dura0000_verbal	18	1	left	0	0.0	0.841	n
dura0000_verbal	18	1	right	17	0.1954	0.972	n
dura0000_verbal	19	2	left	0	0.0	0.7196	n
dura0000_verbal	19	2	right	3	0.0345	0.8726	n
dura0000_verbal	20	3	left	0	0.0	0.7516	n
dura0000_verbal	20	3	right	29	0.3333	0.0678	n
dura0000_verbal	21	4	left	0	0.0	0.7768	n
dura0000_verbal	21	4	right	0	0.0	0.9522	n
dura0000_verbal	22	5	left	0	0.0	0.862	n
dura0000_verbal	22	5	right	0	0.0	0.6022	n
dura0000_verbal	23	6	left	0	0.0	0.8546	n
dura0000_verbal	23	6	right	31	0.3563	0.0556	n
dura0000_verbal	24	7	left	0	0.0	0.8512	n
dura0000_verbal	24	7	right	0	0.0	0.9564	n
dura0000_verbal	25	8	left	0	0.0	0.936	n
dura0000_verbal	25	8	right	24	0.2759	0.1542	n
dura0000_verbal	26	9	left	0	0.0	0.931	n
dura0000_verbal	26	9	right	15	0.1724	0.7022	n
dura0000_verbal	27	10	left	0	0.0	0.9662	n
dura0000_verbal	27	10	right	44	0.5057	0.2168	n
dura0000_verbal	28	11	left	0	0.0	0.9664	n
dura0000_verbal	28	11	right	64	0.7356	0.3568	n
dura0000_verbal	29	12	left	0	0.0	0.966	n
dura0000_verbal	29	12	right	47	0.5402	0.9158	n
hupd1244_nominal	1	-4	left	4	0.8	1.0	n
hupd1244_nominal	1	-4	right	0	0.0	1.0	n
hupd1244_nominal	2	-3	left	0	0.0	0.6812	n
hupd1244_nominal	2	-3	right	0	0.0	1.0	n
hupd1244_nominal	3	-2	left	0	0.0	0.4688	n
hupd1244_nominal	3	-2	right	0	0.0	0.927	n
hupd1244_nominal	4	-1	left	0	0.0	0.5448	n
hupd1244_nominal	4	-1	right	0	0.0	0.9326	n
hupd1244_nominal	5	0	left	5	1.0	0.0134	y
hupd1244_nominal	5	0	right	0	0.0	0.851	n
hupd1244_nominal	6	1	left	0	0.0	0.9934	n
hupd1244_nominal	6	1	right	2	0.4	0.113	n
hupd1244_nominal	7	2	left	0	0.0	0.7844	n
hupd1244_nominal	7	2	right	0	0.0	0.9604	n
hupd1244_nominal	8	3	left	2	0.4	0.13	n
hupd1244_nominal	8	3	right	0	0.0	0.869	n
hupd1244_nominal	9	4	left	0	0.0	0.9438	n
hupd1244_nominal	9	4	right	0	0.0	0.7712	n
hupd1244_nominal	10	5	left	0	0.0	0.8702	n
hupd1244_nominal	10	5	right	0	0.0	0.7834	n
hupd1244_nominal	11	6	left	0	0.0	0.8588	n
hupd1244_nominal	11	6	right	2	0.4	0.2156	n
hupd1244_nominal	12	7	left	0	0.0	0.8662	n
hupd1244_nominal	12	7	right	2	0.4	0.6716	n
hupd1244_nominal	13	8	left	0	0.0	0.858	n
hupd1244_nominal	13	8	right	1	0.2	0.8552	n
hupd1244_nominal	14	9	left	0	0.0	0.9292	n
hupd1244_nominal	14	9	right	1	0.2	0.714	n
hupd1244_nominal	15	10	left	0	0.0	0.9276	n
hupd1244_nominal	15	10	right	3	0.6	0.6566	n
hupd1244_verbal	1	-5	left	3	0.2727	1.0	n
hupd1244_verbal	1	-5	right	0	0.0	1.0	n
hupd1244_verbal	2	-4	left	11	1.0	0.014	y
hupd1244_verbal	2	-4	right	0	0.0	1.0	n
hupd1244_verbal	3	-3	left	4	0.3636	0.8624	n
hupd1244_verbal	3	-3	right	0	0.0	1.0	n
hupd1244_verbal	4	-2	left	0	0.0	0.8872	n
hupd1244_verbal	4	-2	right	0	0.0	1.0	n
hupd1244_verbal	5	-1	left	0	0.0	0.5644	n
hupd1244_verbal	5	-1	right	0	0.0	0.9678	n
hupd1244_verbal	6	0	left	1	0.0909	0.2908	n
hupd1244_verbal	6	0	right	0	0.0	0.9672	n
hupd1244_verbal	7	1	left	3	0.2727	0.2476	n
hupd1244_verbal	7	1	right	0	0.0	0.964	n
hupd1244_verbal	8	2	left	0	0.0	0.899	n
hupd1244_verbal	8	2	right	0	0.0	0.9614	n
hupd1244_verbal	9	3	left	0	0.0	0.693	n
hupd1244_verbal	9	3	right	0	0.0	0.924	n
hupd1244_verbal	10	4	left	0	0.0	0.7388	n
hupd1244_verbal	10	4	right	6	0.5455	0.0098	y
hupd1244_verbal	11	5	left	0	0.0	0.8106	n
hupd1244_verbal	11	5	right	0	0.0	0.9958	n
hupd1244_verbal	12	6	left	0	0.0	0.8128	n
hupd1244_verbal	12	6	right	0	0.0	0.9	n
hupd1244_verbal	13	7	left	0	0.0	0.8282	n
hupd1244_verbal	13	7	right	0	0.0	0.8922	n
hupd1244_verbal	14	8	left	0	0.0	0.805	n
hupd1244_verbal	14	8	right	0	0.0	0.8918	n
hupd1244_verbal	15	9	left	0	0.0	0.8018	n
hupd1244_verbal	15	9	right	0	0.0	0.8998	n
hupd1244_verbal	16	10	left	0	0.0	0.8066	n
hupd1244_verbal	16	10	right	0	0.0	0.8524	n
hupd1244_verbal	17	11	left	0	0.0	0.8096	n
hupd1244_verbal	17	11	right	0	0.0	0.859	n
hupd1244_verbal	18	12	left	0	0.0	0.8458	n
hupd1244_verbal	18	12	right	1	0.0909	0.1866	n
hupd1244_verbal	19	13	left	0	0.0	0.8588	n
hupd1244_verbal	19	13	right	0	0.0	0.8456	n
hupd1244_verbal	20	14	left	0	0.0	0.8934	n
hupd1244_verbal	20	14	right	1	0.0909	0.1898	n
hupd1244_verbal	21	15	left	0	0.0	0.8912	n
hupd1244_verbal	21	15	right	0	0.0	0.833	n
hupd1244_verbal	22	16	left	0	0.0	0.8924	n
hupd1244_verbal	22	16	right	0	0.0	0.8114	n
hupd1244_verbal	23	17	left	0	0.0	0.899	n
hupd1244_verbal	23	17	right	0	0.0	0.8052	n
hupd1244_verbal	24	18	left	0	0.0	0.8884	n
hupd1244_verbal	24	18	right	0	0.0	0.8068	n
hupd1244_verbal	25	19	left	0	0.0	0.893	n
hupd1244_verbal	25	19	right	0	0.0	0.7668	n
hupd1244_verbal	26	20	left	0	0.0	0.929	n
hupd1244_verbal	26	20	right	5	0.4545	0.0662	n
hupd1244_verbal	27	21	left	0	0.0	0.9642	n
hupd1244_verbal	27	21	right	0	0.0	0.9548	n
hupd1244_verbal	28	22	left	0	0.0	0.9632	n
