dataset	n_spans	n_spans_syntax_only	n_spans_phonology_only	n_spans_both	n_conflict_pairs	n_between	n_within_syntax	n_within_phonology	n_within_both	share_between	n_span_pairs	expected_share_between	p_value_ge_observed	n_shuffles	seed
arao1248_verbal	9	4	2	3	3	0	1	2	0	0.0	36	0.2222	1.0	5000	0
ayau1235_verbal	14	5	6	3	15	4	4	7	0	0.2667	91	0.3297	0.7724	5000	0
cent2127_verbal	8	6	0	2	5	0	5	0	0	0.0	28	0.0	1.0	5000	0
chac1251_nominal	11	5	1	5	14	3	7	2	2	0.2143	55	0.0909	0.136	5000	0
chac1251_verbal	22	11	7	4	32	4	19	8	1	0.125	231	0.3333	0.997	5000	0
cher1273_verbal	15	9	5	1	36	22	13	1	0	0.6111	105	0.4286	0.0206	5000	0
dura0000_nominal	10	6	2	2	17	8	7	2	0	0.4706	45	0.2667	0.0398	5000	0
dura0000_verbal	21	15	6	0	56	28	24	4	0	0.5	210	0.4286	0.1702	5000	0
hupd1244_nominal	7	5	1	1	2	0	2	0	0	0.0	21	0.2381	1.0	5000	0
hupd1244_verbal	10	6	3	1	5	2	3	0	0	0.4	45	0.4	0.7012	5000	0
iyoj1235_verbal	21	12	7	2	41	27	2	12	0	0.6585	210	0.4	0.0042	5000	0
kaya1330_verbal	10	9	0	1	12	0	12	0	0	0.0	45	0.0	1.0	5000	0
kiow1266_verbal	12	4	5	3	11	4	3	4	0	0.3636	66	0.303	0.442	5000	0
mart1259_verbal	8	7	0	1	4	0	4	0	0	0.0	28	0.0	1.0	5000	0
moco1246_verbal	11	5	3	3	11	3	4	3	1	0.2727	55	0.2727	0.632	5000	0
nyan1308	26	13	6	7	65	12	43	8	2	0.1846	325	0.24	0.8466	5000	0
siks1238_verbal	17	11	3	3	35	8	26	1	0	0.2286	136	0.2426	0.6336	5000	0
sout2991_verbal	15	10	4	1	11	4	5	2	0	0.3636	105	0.381	0.6454	5000	0
teot1238_nominal	11	5	6	0	16	10	2	4	0	0.625	55	0.5455	0.2944	5000	0
teot1238_verbal	11	4	5	2	15	7	3	5	0	0.4667	55	0.3636	0.2422	5000	0
yucu1253_verbal	15	8	4	3	43	12	24	5	2	0.2791	105	0.3048	0.7118	5000	0
zenz1235_verbal	11	4	6	1	16	8	1	7	0	0.5	55	0.4364	0.3636	5000	0
