group	kind	family_count	n
all	all	2	13
all	all	3	134
all	all	4	525
all	all	5	951
all	all	6	1037
all	all	7	958
all	all	8	627
all	all	9	328
all	all	10	244
all	all	11	83
all	all	12	74
all	all	13	12
all	all	14	9
all	all	15	1
all	all	16	3
all	all	21	1
morphosyntactic	class	1	38
morphosyntactic	class	2	761
morphosyntactic	class	3	1881
morphosyntactic	class	4	1497
morphosyntactic	class	5	621
morphosyntactic	class	6	183
morphosyntactic	class	7	12
morphosyntactic	class	8	5
morphosyntactic	class	9	2
phonological	class	1	1609
phonological	class	2	3175
phonological	class	3	216
indeterminate	class	1	5000
morsyn_indet	bundle	1	11
morsyn_indet	bundle	2	248
morsyn_indet	bundle	3	1143
morsyn_indet	bundle	4	1502
morsyn_indet	bundle	5	1168
morsyn_indet	bundle	6	638
morsyn_indet	bundle	7	188
morsyn_indet	bundle	8	84
morsyn_indet	bundle	9	5
morsyn_indet	bundle	10	12
morsyn_indet	bundle	12	1
