group	kind	family_count	n
all	all	12	2
all	all	13	4
all	all	14	8
all	all	15	7
all	all	16	18
all	all	17	15
all	all	18	23
all	all	19	35
all	all	20	52
all	all	21	35
all	all	22	63
all	all	23	62
all	all	24	82
all	all	25	80
all	all	26	94
all	all	27	92
all	all	28	92
all	all	29	132
all	all	30	132
all	all	31	115
all	all	32	136
all	all	33	137
all	all	34	152
all	all	35	146
all	all	36	164
all	all	37	125
all	all	38	146
all	all	39	118
all	all	40	162
all	all	41	120
all	all	42	143
all	all	43	117
all	all	44	109
all	all	45	84
all	all	46	135
all	all	47	109
all	all	48	109
all	all	49	83
all	all	50	107
all	all	51	102
all	all	52	88
all	all	53	79
all	all	54	102
all	all	55	78
all	all	56	65
all	all	57	68
all	all	58	65
all	all	59	61
all	all	60	56
all	all	61	44
all	all	62	51
all	all	63	34
all	all	64	32
all	all	65	34
all	all	66	49
all	all	67	35
all	all	68	26
all	all	69	32
all	all	70	28
all	all	71	25
all	all	72	29
all	all	73	19
all	all	74	17
all	all	75	16
all	all	76	15
all	all	77	13
all	all	78	13
all	all	79	21
all	all	80	9
all	all	81	5
all	all	82	19
all	all	83	8
all	all	84	14
all	all	85	3
all	all	86	10
all	all	87	2
all	all	88	8
all	all	89	4
all	all	90	5
all	all	91	5
all	all	92	4
all	all	93	4
all	all	94	6
all	all	95	3
all	all	96	2
all	all	97	3
all	all	98	4
all	all	99	3
all	all	100	2
all	all	101	3
all	all	102	3
all	all	103	1
all	all	104	2
all	all	106	3
all	all	107	1
all	all	108	4
all	all	110	1
all	all	111	2
all	all	112	3
all	all	114	2
all	all	117	1
all	all	119	1
all	all	122	1
all	all	123	2
all	all	124	1
all	all	138	1
all	all	144	1
all	all	154	1
all	all	170	1
morphosyntactic	class	2	21
morphosyntactic	class	3	237
morphosyntactic	class	4	554
morphosyntactic	class	5	858
morphosyntactic	class	6	1012
morphosyntactic	class	7	815
morphosyntactic	class	8	638
morphosyntactic	class	9	360
morphosyntactic	class	10	252
morphosyntactic	class	11	98
morphosyntactic	class	12	92
morphosyntactic	class	13	26
morphosyntactic	class	14	19
morphosyntactic	class	15	7
morphosyntactic	class	16	7
morphosyntactic	class	17	1
morphosyntactic	class	18	3
phonological	class	1	73
phonological	class	2	845
phonological	class	3	1862
phonological	class	4	1391
phonological	class	5	558
phonological	class	6	228
phonological	class	7	29
phonological	class	8	10
phonological	class	9	4
indeterminate	class	1	203
indeterminate	class	2	1821
indeterminate	class	3	1987
indeterminate	class	4	818
indeterminate	class	5	137
indeterminate	class	6	34
morsyn_indet	bundle	4	3
morsyn_indet	bundle	5	8
morsyn_indet	bundle	6	17
morsyn_indet	bundle	7	46
morsyn_indet	bundle	8	117
morsyn_indet	bundle	9	192
morsyn_indet	bundle	10	236
morsyn_indet	bundle	11	311
morsyn_indet	bundle	12	328
morsyn_indet	bundle	13	363
morsyn_indet	bundle	14	426
morsyn_indet	bundle	15	374
morsyn_indet	bundle	16	368
morsyn_indet	bundle	17	328
morsyn_indet	bundle	18	321
morsyn_indet	bundle	19	218
morsyn_indet	bundle	20	274
morsyn_indet	bundle	21	183
morsyn_indet	bundle	22	185
morsyn_indet	bundle	23	108
morsyn_indet	bundle	24	119
morsyn_indet	bundle	25	95
morsyn_indet	bundle	26	79
morsyn_indet	bundle	27	46
morsyn_indet	bundle	28	68
morsyn_indet	bundle	29	18
morsyn_indet	bundle	30	45
morsyn_indet	bundle	31	27
morsyn_indet	bundle	32	19
morsyn_indet	bundle	33	15
morsyn_indet	bundle	34	16
morsyn_indet	bundle	35	12
morsyn_indet	bundle	36	12
morsyn_indet	bundle	37	6
morsyn_indet	bundle	38	5
morsyn_indet	bundle	40	3
morsyn_indet	bundle	41	1
morsyn_indet	bundle	42	2
morsyn_indet	bundle	43	1
morsyn_indet	bundle	44	1
morsyn_indet	bundle	45	1
morsyn_indet	bundle	46	2
morsyn_indet	bundle	52	1
