span_id_a	span_id_b
1-27	2-28
1-27	4-28
1-27	6-29
1-28	6-29
11-20	12-23
11-20	12-25
11-20	12-26
11-20	14-27
11-20	17-26
11-20	17-27
11-20	5-19
11-27	3-25
11-27	4-23
11-27	5-19
12-18	14-20
12-18	14-27
12-18	17-26
12-18	17-27
12-23	14-27
12-23	17-26
12-23	17-27
12-23	5-19
12-25	14-27
12-25	17-26
12-25	17-27
12-25	4-23
12-25	5-19
12-26	14-27
12-26	17-27
12-26	3-25
12-26	4-23
12-26	5-19
13-17	14-20
13-17	14-27
13-17	17-26
13-17	17-27
14-20	17-26
14-20	17-27
14-20	5-19
14-27	3-25
14-27	4-23
14-27	5-19
16-17	17-26
16-17	17-27
17-26	3-25
17-26	4-23
17-26	5-19
17-27	3-25
17-27	4-23
17-27	5-19
2-28	6-29
3-25	4-28
3-25	6-29
4-23	6-29
4-28	6-29
5-19	6-29
