family_id	span_id
family_001	1-28
family_001	1-29
family_001	2-28
family_001	4-28
family_001	11-27
family_001	12-18
family_001	12-23
family_001	12-25
family_001	12-26
family_001	13-17
family_001	16-17
family_002	1-27
family_002	1-28
family_002	1-29
family_002	11-27
family_002	12-18
family_002	12-23
family_002	12-25
family_002	12-26
family_002	13-17
family_002	16-17
family_003	1-28
family_003	1-29
family_003	2-28
family_003	4-28
family_003	11-27
family_003	12-23
family_003	12-25
family_003	12-26
family_003	14-20
family_003	16-17
family_004	1-27
family_004	1-28
family_004	1-29
family_004	3-25
family_004	4-23
family_004	5-19
family_004	12-18
family_004	13-17
family_004	16-17
family_005	1-27
family_005	1-28
family_005	1-29
family_005	3-25
family_005	4-23
family_005	11-20
family_005	12-18
family_005	13-17
family_005	16-17
family_006	1-27
family_006	1-28
family_006	1-29
family_006	3-25
family_006	4-23
family_006	12-18
family_006	12-23
family_006	13-17
family_006	16-17
family_007	1-27
family_007	1-28
family_007	1-29
family_007	3-25
family_007	12-18
family_007	12-23
family_007	12-25
family_007	13-17
family_007	16-17
family_008	1-27
family_008	1-28
family_008	1-29
family_008	11-27
family_008	12-23
family_008	12-25
family_008	12-26
family_008	14-20
family_008	16-17
family_009	1-28
family_009	1-29
family_009	2-28
family_009	3-25
family_009	4-23
family_009	5-19
family_009	12-18
family_009	13-17
family_009	16-17
family_010	1-28
family_010	1-29
family_010	2-28
family_010	3-25
family_010	4-23
family_010	11-20
family_010	12-18
family_010	13-17
family_010	16-17
family_011	1-28
family_011	1-29
family_011	2-28
family_011	3-25
family_011	4-23
family_011	12-18
family_011	12-23
family_011	13-17
family_011	16-17
family_012	1-28
family_012	1-29
family_012	2-28
family_012	3-25
family_012	12-18
family_012	12-23
family_012	12-25
family_012	13-17
family_012	16-17
family_013	1-28
family_013	1-29
family_013	2-28
family_013	4-23
family_013	4-28
family_013	5-19
family_013	12-18
family_013	13-17
family_013	16-17
family_014	1-28
family_014	1-29
family_014	2-28
family_014	4-23
family_014	4-28
family_014	11-20
family_014	12-18
family_014	13-17
family_014	16-17
family_015	1-28
family_015	1-29
family_015	2-28
family_015	4-23
family_015	4-28
family_015	12-18
family_015	12-23
family_015	13-17
family_015	16-17
family_016	1-28
family_016	1-29
family_016	2-28
family_016	4-28
family_016	11-20
family_016	11-27
family_016	12-18
family_016	13-17
family_016	16-17
family_017	1-29
family_017	6-29
family_017	11-27
family_017	12-18
family_017	12-23
family_017	12-25
family_017	12-26
family_017	13-17
family_017	16-17
family_018	1-27
family_018	1-28
family_018	1-29
family_018	3-25
family_018	4-23
family_018	11-20
family_018	14-20
family_018	16-17
family_019	1-27
family_019	1-28
family_019	1-29
family_019	3-25
family_019	4-23
family_019	12-23
family_019	14-20
family_019	16-17
family_020	1-27
family_020	1-28
family_020	1-29
family_020	3-25
family_020	12-23
family_020	12-25
family_020	14-20
family_020	16-17
family_021	1-27
family_021	1-28
family_021	1-29
family_021	11-20
family_021	11-27
family_021	12-18
family_021	13-17
family_021	16-17
family_022	1-28
family_022	1-29
family_022	2-28
family_022	3-25
family_022	4-23
family_022	11-20
family_022	14-20
family_022	16-17
family_023	1-28
family_023	1-29
family_023	2-28
family_023	3-25
family_023	4-23
family_023	12-23
family_023	14-20
family_023	16-17
family_024	1-28
family_024	1-29
family_024	2-28
family_024	3-25
family_024	12-23
family_024	12-25
family_024	14-20
family_024	16-17
family_025	1-28
family_025	1-29
family_025	2-28
family_025	4-23
family_025	4-28
family_025	11-20
family_025	14-20
family_025	16-17
family_026	1-28
family_026	1-29
family_026	2-28
family_026	4-23
family_026	4-28
family_026	12-23
family_026	14-20
family_026	16-17
family_027	1-28
family_027	1-29
family_027	2-28
family_027	4-28
family_027	11-20
family_027	11-27
family_027	14-20
family_027	16-17
family_028	1-28
family_028	1-29
family_028	2-28
family_028	4-28
family_028	11-27
family_028	14-20
family_028	14-27
family_028	16-17
family_029	1-28
family_029	1-29
family_029	2-28
family_029	4-28
family_029	11-27
family_029	14-27
family_029	17-26
family_029	17-27
family_030	1-29
family_030	6-29
family_030	11-27
family_030	12-23
family_030	12-25
family_030	12-26
family_030	14-20
family_030	16-17
family_031	1-27
family_031	1-28
family_031	1-29
family_031	11-20
family_031	11-27
family_031	14-20
family_031	16-17
family_032	1-27
family_032	1-28
family_032	1-29
family_032	11-27
family_032	14-20
family_032	14-27
family_032	16-17
family_033	1-27
family_033	1-28
family_033	1-29
family_033	11-27
family_033	14-27
family_033	17-26
family_033	17-27
family_034	1-28
family_034	1-29
family_034	2-28
family_034	4-28
family_034	11-27
family_034	12-26
family_034	17-26
family_035	1-29
family_035	6-29
family_035	11-20
family_035	11-27
family_035	12-18
family_035	13-17
family_035	16-17
family_036	1-27
family_036	1-28
family_036	1-29
family_036	11-27
family_036	12-26
family_036	17-26
family_037	1-29
family_037	6-29
family_037	11-20
family_037	11-27
family_037	14-20
family_037	16-17
family_038	1-29
family_038	6-29
family_038	11-27
family_038	14-20
family_038	14-27
family_038	16-17
family_039	1-29
family_039	6-29
family_039	11-27
family_039	14-27
family_039	17-26
family_039	17-27
family_040	1-29
family_040	6-29
family_040	11-27
family_040	12-26
family_040	17-26
