tree_number	newick	group_spans	strengths
1	(1,(2,3,(4,5,6,7,8,9,10,(11,(((12,(13,14,15,(16,17)16-17)13-17,18,19,20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;11-27;12-26;12-25;12-23;13-17;16-17	4.1231;4.1231;3.1623;2.2361;1.4142;2.0;2.8284;3.0;4.1231
2	(1,(2,3,(4,5,6,7,8,9,10,(11,(((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;11-27;12-26;12-25;12-23;14-20;16-17	4.1231;4.1231;3.1623;2.2361;1.4142;2.0;2.8284;2.8284;4.1231
3	(1,(2,(3,(4,(5,6,7,8,9,10,11,12,(13,14,15,(16,17)16-17)13-17,18,19)5-19,20,21,22,23)4-23,24,25)3-25,26,27,28)2-28,29)1-29;	1-29;2-28;3-25;4-23;5-19;13-17;16-17	4.1231;4.1231;2.6458;3.1623;1.4142;3.0;4.1231
4	(1,(2,(3,(4,5,6,7,8,9,10,(11,12,(13,14,15,(16,17)16-17)13-17,18,19,20)11-20,21,22,23)4-23,24,25)3-25,26,27,28)2-28,29)1-29;	1-29;2-28;3-25;4-23;11-20;13-17;16-17	4.1231;4.1231;2.6458;3.1623;2.4495;3.0;4.1231
5	(1,(2,(3,(4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25)3-25,26,27,28)2-28,29)1-29;	1-29;2-28;3-25;4-23;11-20;14-20;16-17	4.1231;4.1231;2.6458;3.1623;2.4495;2.8284;4.1231
6	(1,(2,(3,(4,5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18,19,20,21,22,23)12-23)4-23,24,25)3-25,26,27,28)2-28,29)1-29;	1-29;2-28;3-25;4-23;12-23;13-17;16-17	4.1231;4.1231;2.6458;3.1623;2.8284;3.0;4.1231
7	(1,(2,(3,(4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25)3-25,26,27,28)2-28,29)1-29;	1-29;2-28;3-25;4-23;12-23;14-20;16-17	4.1231;4.1231;2.6458;3.1623;2.8284;2.8284;4.1231
8	(1,(2,(3,4,5,6,7,8,9,10,11,((12,(13,14,15,(16,17)16-17)13-17,18,19,20,21,22,23)12-23,24,25)12-25)3-25,26,27,28)2-28,29)1-29;	1-29;2-28;3-25;12-25;12-23;13-17;16-17	4.1231;4.1231;2.6458;2.0;2.8284;3.0;4.1231
9	(1,(2,(3,4,5,6,7,8,9,10,11,((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25)3-25,26,27,28)2-28,29)1-29;	1-29;2-28;3-25;12-25;12-23;14-20;16-17	4.1231;4.1231;2.6458;2.0;2.8284;2.8284;4.1231
10	(1,(2,3,((4,(5,6,7,8,9,10,11,12,(13,14,15,(16,17)16-17)13-17,18,19)5-19,20,21,22,23)4-23,24,25,26,27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;4-23;5-19;13-17;16-17	4.1231;4.1231;3.1623;3.1623;1.4142;3.0;4.1231
11	(1,(2,3,((4,5,6,7,8,9,10,(11,12,(13,14,15,(16,17)16-17)13-17,18,19,20)11-20,21,22,23)4-23,24,25,26,27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;4-23;11-20;13-17;16-17	4.1231;4.1231;3.1623;3.1623;2.4495;3.0;4.1231
12	(1,(2,3,((4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25,26,27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;4-23;11-20;14-20;16-17	4.1231;4.1231;3.1623;3.1623;2.4495;2.8284;4.1231
13	(1,(2,3,((4,5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18,19,20,21,22,23)12-23)4-23,24,25,26,27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;4-23;12-23;13-17;16-17	4.1231;4.1231;3.1623;3.1623;2.8284;3.0;4.1231
14	(1,(2,3,((4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25,26,27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;4-23;12-23;14-20;16-17	4.1231;4.1231;3.1623;3.1623;2.8284;2.8284;4.1231
15	(1,(2,3,(4,5,6,7,8,9,10,((11,12,(13,14,15,(16,17)16-17)13-17,18,19,20)11-20,21,22,23,24,25,26,27)11-27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;11-27;11-20;13-17;16-17	4.1231;4.1231;3.1623;2.2361;2.4495;3.0;4.1231
16	(1,(2,3,(4,5,6,7,8,9,10,((11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23,24,25,26,27)11-27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;11-27;11-20;14-20;16-17	4.1231;4.1231;3.1623;2.2361;2.4495;2.8284;4.1231
17	(1,(2,3,(4,5,6,7,8,9,10,(11,12,13,((14,15,(16,17)16-17,18,19,20)14-20,21,22,23,24,25,26,27)14-27)11-27,28)4-28)2-28,29)1-29;	1-29;2-28;4-28;11-27;14-27;14-20;16-17	4.1231;4.1231;3.1623;2.2361;1.0;2.8284;4.1231
