group	kind	family_count	n
morphosyntactic	class	2	18
morphosyntactic	class	3	214
morphosyntactic	class	4	537
morphosyntactic	class	5	692
morphosyntactic	class	6	912
morphosyntactic	class	7	566
morphosyntactic	class	8	802
morphosyntactic	class	9	305
morphosyntactic	class	10	428
morphosyntactic	class	11	173
morphosyntactic	class	12	159
morphosyntactic	class	13	52
morphosyntactic	class	14	71
morphosyntactic	class	15	31
morphosyntactic	class	16	19
morphosyntactic	class	17	6
morphosyntactic	class	18	7
morphosyntactic	class	19	3
morphosyntactic	class	20	3
morphosyntactic	class	21	2
phonological	class	1	140
phonological	class	2	1462
phonological	class	3	1729
phonological	class	4	1101
phonological	class	5	316
phonological	class	6	235
phonological	class	7	5
phonological	class	8	11
phonological	class	9	1
indeterminate	class	1	387
indeterminate	class	2	2443
indeterminate	class	3	1425
indeterminate	class	4	628
indeterminate	class	5	71
indeterminate	class	6	46
morsyn_indet	bundle	5	3
morsyn_indet	bundle	6	7
morsyn_indet	bundle	7	49
morsyn_indet	bundle	8	54
morsyn_indet	bundle	9	105
morsyn_indet	bundle	10	145
morsyn_indet	bundle	11	260
morsyn_indet	bundle	12	334
morsyn_indet	bundle	13	288
morsyn_indet	bundle	14	493
morsyn_indet	bundle	15	300
morsyn_indet	bundle	16	490
morsyn_indet	bundle	17	346
morsyn_indet	bundle	18	444
morsyn_indet	bundle	19	244
morsyn_indet	bundle	20	325
morsyn_indet	bundle	21	172
morsyn_indet	bundle	22	202
morsyn_indet	bundle	23	130
morsyn_indet	bundle	24	116
morsyn_indet	bundle	25	126
morsyn_indet	bundle	26	101
morsyn_indet	bundle	27	85
morsyn_indet	bundle	28	70
morsyn_indet	bundle	29	44
morsyn_indet	bundle	30	20
morsyn_indet	bundle	31	23
morsyn_indet	bundle	32	5
morsyn_indet	bundle	33	10
morsyn_indet	bundle	34	8
morsyn_indet	bundle	35	1
