span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-27	1	27	27	1	14	segmental minimality maximal monomoraic apart from verb base	phonological	False	10	#20845E
1-28	1	28	28	1	33	segmental minimality maximal bimoraic	phonological	False	19	#20845E
1-29	1	29	29	1	40	recursion based syndetic maximal coordination with ta	morphosyntactic	False		#BC3C29
2-28	2	28	27	1	19	recursion based syndetic maximal other conjunctions	morphosyntactic	False	17	#BC3C29
3-25	3	25	23	1	14	noninterruption maximal	morphosyntactic	False	11	#BC3C29
4-23	4	23	20	1	15	ciscategorial selection maximal chi- derives verbs	morphosyntactic	False	12	#BC3C29
4-28	4	28	25	1	12	recursion based syndetic maximal ña-linkage	morphosyntactic	False	8	#BC3C29
5-19	5	19	15	1	3	nonpermutability	morphosyntactic	False	1	#BC3C29
6-29	6	29	24	1	7	segmental vowel deletion maximal vowel overwriting after glottal stop	phonological	False	5	#20845E
11-20	11	20	10	1	12	noninterruption causative as bound form	morphosyntactic	False	9	#BC3C29
11-27	11	27	17	1	21	free occurrence maximal causative as bound form	indeterminate	False	18	#6F99AD
12-18	12	18	7	1	17	segmental minimality minimal monomoraic apart from verb base	phonological	False	15	#20845E
12-23	12	23	12	1	16	deviations cumulative exponence maximal many-to-one	indeterminate	False	13	#6F99AD
12-25	12	25	14	1	10	recursion based asyndetic minimal	indeterminate	False	7	#6F99AD
12-26	12	26	15	1	9	recursion based asyndetic maximal	morphosyntactic	False	6	#BC3C29
13-17	13	17	5	1	17	deviations extended exponence maximal one-to-many	indeterminate	False	14	#6F99AD
14-20	14	20	7	1	17	noninterruption causative as free form	morphosyntactic	False	16	#BC3C29
14-27	14	27	14	1	6	free occurrence maximal causative as free form	indeterminate	False	3	#6F99AD
16-17	16	17	2	1	34	ciscategorial selection maximal chi- does not derive verbs	morphosyntactic	False	20	#BC3C29
17-26	17	26	10	1	6	segmental vowel deletion minimal vowel overwriting after glottal stop	phonological	False	4	#20845E
17-27	17	27	11	1	3	suprasegmental tone sandhi dependent pronouns	phonological	False	2	#20845E
