family_id	span_id
family_001	1-29
family_001	2-28
family_001	3-25
family_001	4-23
family_001	11-20
family_001	14-20
family_001	16-17
family_002	1-29
family_002	2-28
family_002	4-23
family_002	4-28
family_002	11-20
family_002	14-20
family_002	16-17
family_003	1-29
family_003	2-28
family_003	3-25
family_003	4-23
family_003	5-19
family_003	16-17
family_004	1-29
family_004	2-28
family_004	4-23
family_004	4-28
family_004	5-19
family_004	16-17
family_005	1-29
family_005	2-28
family_005	4-28
family_005	12-26
family_005	14-20
family_005	16-17
