group	kind	family_count	n
all	all	1	49
all	all	2	829
all	all	3	1931
all	all	4	1374
all	all	5	586
all	all	6	202
all	all	7	23
all	all	8	6
morphosyntactic	class	1	168
morphosyntactic	class	2	1852
morphosyntactic	class	3	2060
morphosyntactic	class	4	781
morphosyntactic	class	5	112
morphosyntactic	class	6	27
phonological	class	1	3332
phonological	class	2	1668
indeterminate	class	1	5000
morsyn_indet	bundle	1	167
morsyn_indet	bundle	2	1772
morsyn_indet	bundle	3	2084
morsyn_indet	bundle	4	838
morsyn_indet	bundle	5	118
morsyn_indet	bundle	6	21
