group	kind	family_count	n
all	all	2	21
all	all	3	204
all	all	4	638
all	all	5	984
all	all	6	994
all	all	7	854
all	all	8	575
all	all	9	266
all	all	10	240
all	all	11	76
all	all	12	91
all	all	13	17
all	all	14	20
all	all	15	7
all	all	16	10
all	all	17	1
all	all	18	1
all	all	20	1
morphosyntactic	class	1	196
morphosyntactic	class	2	2399
morphosyntactic	class	3	1495
morphosyntactic	class	4	816
morphosyntactic	class	5	54
morphosyntactic	class	6	40
phonological	class	1	538
phonological	class	2	3425
phonological	class	3	1037
indeterminate	class	1	4131
indeterminate	class	2	869
morsyn_indet	bundle	1	17
morsyn_indet	bundle	2	745
morsyn_indet	bundle	3	2162
morsyn_indet	bundle	4	1209
morsyn_indet	bundle	5	633
morsyn_indet	bundle	6	216
morsyn_indet	bundle	7	11
morsyn_indet	bundle	8	7
