n	shape_number	n_shapes_total	newick	height
2	1	1	(1,2);	1
3	1	3	(1,2,3);	1
3	2	3	(1,(2,3));	2
3	3	3	((1,2),3);	2
4	1	11	(1,2,3,4);	1
4	2	11	(1,2,(3,4));	2
4	3	11	(1,(2,3),4);	2
4	4	11	(1,(2,3,4));	2
4	5	11	(1,(2,(3,4)));	3
4	6	11	(1,((2,3),4));	3
4	7	11	((1,2),3,4);	2
4	8	11	((1,2),(3,4));	2
4	9	11	((1,2,3),4);	2
4	10	11	((1,(2,3)),4);	3
4	11	11	(((1,2),3),4);	3
5	1	45	(1,2,3,4,5);	1
5	2	45	(1,2,3,(4,5));	2
5	3	45	(1,2,(3,4),5);	2
5	4	45	(1,2,(3,4,5));	2
5	5	45	(1,2,(3,(4,5)));	3
5	6	45	(1,2,((3,4),5));	3
5	7	45	(1,(2,3),4,5);	2
5	8	45	(1,(2,3),(4,5));	2
5	9	45	(1,(2,3,4),5);	2
5	10	45	(1,(2,(3,4)),5);	3
5	11	45	(1,((2,3),4),5);	3
5	12	45	(1,(2,3,4,5));	2
5	13	45	(1,(2,3,(4,5)));	3
5	14	45	(1,(2,(3,4),5));	3
5	15	45	(1,(2,(3,4,5)));	3
