group	kind	family_count	n
all	all	12	1
all	all	13	2
all	all	14	1
all	all	15	6
all	all	16	3
all	all	17	6
all	all	18	4
all	all	19	5
all	all	20	16
all	all	21	19
all	all	22	24
all	all	23	29
all	all	24	31
all	all	25	47
all	all	26	49
all	all	27	49
all	all	28	65
all	all	29	70
all	all	30	77
all	all	31	82
all	all	32	89
all	all	33	81
all	all	34	111
all	all	35	88
all	all	36	123
all	all	37	110
all	all	38	132
all	all	39	100
all	all	40	118
all	all	41	109
all	all	42	122
all	all	43	127
all	all	44	148
all	all	45	131
all	all	46	114
all	all	47	116
all	all	48	107
all	all	49	84
all	all	50	116
all	all	51	89
all	all	52	115
all	all	53	90
all	all	54	111
all	all	55	106
all	all	56	93
all	all	57	94
all	all	58	87
all	all	59	77
all	all	60	68
all	all	61	64
all	all	62	70
all	all	63	63
all	all	64	68
all	all	65	49
all	all	66	50
all	all	67	53
all	all	68	60
all	all	69	41
all	all	70	42
all	all	71	51
all	all	72	46
all	all	73	32
all	all	74	46
all	all	75	31
all	all	76	34
all	all	77	29
all	all	78	27
all	all	79	29
all	all	80	29
all	all	81	21
all	all	82	21
all	all	83	13
all	all	84	28
all	all	85	16
all	all	86	24
all	all	87	19
all	all	88	24
all	all	89	22
all	all	90	17
all	all	91	20
all	all	92	15
all	all	93	9
all	all	94	15
all	all	95	7
all	all	96	10
all	all	97	8
all	all	98	12
all	all	99	8
all	all	100	10
all	all	101	6
all	all	102	4
all	all	103	3
all	all	104	6
all	all	105	7
all	all	106	5
all	all	107	1
all	all	108	8
all	all	109	2
all	all	110	5
all	all	111	5
all	all	112	5
all	all	113	4
all	all	114	6
all	all	115	1
all	all	116	1
all	all	117	3
all	all	118	1
all	all	119	3
all	all	120	3
all	all	121	2
all	all	122	2
all	all	123	1
all	all	124	1
all	all	125	6
all	all	126	1
all	all	128	4
all	all	129	1
all	all	130	2
all	all	132	3
all	all	133	2
all	all	134	3
all	all	135	2
all	all	137	1
all	all	140	4
all	all	142	2
all	all	147	2
all	all	155	1
all	all	159	1
all	all	162	1
all	all	166	1
all	all	168	1
all	all	186	1
all	all	210	1
morphosyntactic	class	2	29
morphosyntactic	class	3	174
morphosyntactic	class	4	557
morphosyntactic	class	5	837
morphosyntactic	class	6	1003
morphosyntactic	class	7	807
morphosyntactic	class	8	674
morphosyntactic	class	9	355
morphosyntactic	class	10	278
morphosyntactic	class	11	108
morphosyntactic	class	12	103
morphosyntactic	class	13	31
morphosyntactic	class	14	27
morphosyntactic	class	15	6
morphosyntactic	class	16	6
morphosyntactic	class	18	3
morphosyntactic	class	19	1
morphosyntactic	class	20	1
phonological	class	1	1
phonological	class	2	23
phonological	class	3	186
phonological	class	4	601
phonological	class	5	869
phonological	class	6	980
phonological	class	7	774
phonological	class	8	675
phonological	class	9	357
phonological	class	10	273
phonological	class	11	95
phonological	class	12	83
phonological	class	13	27
phonological	class	14	33
phonological	class	15	10
phonological	class	16	7
phonological	class	17	5
phonological	class	21	1
indeterminate	class	1	224
indeterminate	class	2	1814
indeterminate	class	3	1923
indeterminate	class	4	851
indeterminate	class	5	138
indeterminate	class	6	50
morsyn_indet	bundle	3	1
morsyn_indet	bundle	4	2
morsyn_indet	bundle	5	9
morsyn_indet	bundle	6	31
morsyn_indet	bundle	7	59
morsyn_indet	bundle	8	98
morsyn_indet	bundle	9	163
morsyn_indet	bundle	10	213
morsyn_indet	bundle	11	262
morsyn_indet	bundle	12	350
morsyn_indet	bundle	13	356
morsyn_indet	bundle	14	407
morsyn_indet	bundle	15	338
morsyn_indet	bundle	16	380
morsyn_indet	bundle	17	310
morsyn_indet	bundle	18	354
morsyn_indet	bundle	19	219
morsyn_indet	bundle	20	244
morsyn_indet	bundle	21	212
morsyn_indet	bundle	22	209
morsyn_indet	bundle	23	111
morsyn_indet	bundle	24	140
morsyn_indet	bundle	25	84
morsyn_indet	bundle	26	101
morsyn_indet	bundle	27	62
morsyn_indet	bundle	28	54
morsyn_indet	bundle	29	37
morsyn_indet	bundle	30	49
morsyn_indet	bundle	31	24
morsyn_indet	bundle	32	24
morsyn_indet	bundle	33	15
morsyn_indet	bundle	34	25
morsyn_indet	bundle	35	9
morsyn_indet	bundle	36	13
morsyn_indet	bundle	37	6
morsyn_indet	bundle	38	8
morsyn_indet	bundle	39	3
morsyn_indet	bundle	40	3
morsyn_indet	bundle	41	2
morsyn_indet	bundle	42	3
morsyn_indet	bundle	43	1
morsyn_indet	bundle	44	1
morsyn_indet	bundle	45	2
morsyn_indet	bundle	46	4
morsyn_indet	bundle	50	2
