span_id_a	span_id_b
14-16	16-18
14-16	16-32
14-16	16-34
14-16	16-44
14-18	16-32
14-18	16-34
14-18	16-44
14-20	16-32
14-20	16-34
14-20	16-44
14-22	16-32
14-22	16-34
14-22	16-44
14-23	16-32
14-23	16-34
14-23	16-44
14-29	16-32
14-29	16-34
14-29	16-44
14-37	16-44
14-38	16-44
14-39	16-44
14-39	8-38
14-40	16-44
14-40	8-38
14-40	8-39
14-46	4-40
14-46	7-41
14-46	8-38
14-46	8-39
14-46	8-40
15-16	16-18
15-16	16-32
15-16	16-34
15-16	16-44
16-44	4-40
16-44	7-41
16-44	8-38
16-44	8-39
16-44	8-40
4-40	7-41
