family_id	family_number	n_spans	newick
family_001	1	14	(1,2,3,(4,5,6,7,(((8,9,10,11,12,13,((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;
family_002	2	14	(1,2,3,(4,5,6,7,((8,9,10,11,12,13,(((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;
family_003	3	14	(1,2,3,(4,5,6,7,(8,9,10,11,12,13,((((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40)4-40,41,42,43,44,45,46)1-46;
family_004	4	14	(1,2,3,4,5,6,(7,(((8,9,10,11,12,13,((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;
family_005	5	14	(1,2,3,4,5,6,(7,((8,9,10,11,12,13,(((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;
family_006	6	14	(1,2,3,4,5,6,(7,(8,9,10,11,12,13,((((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40,41)7-41,42,43,44,45,46)1-46;
family_007	7	13	(1,2,3,(4,5,6,7,(((8,9,10,11,12,13,(((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;
family_008	8	13	(1,2,3,(4,5,6,7,((8,9,10,11,12,13,((((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;
family_009	9	13	(1,2,3,(4,5,6,7,(8,9,10,11,12,13,(((((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40)4-40,41,42,43,44,45,46)1-46;
family_010	10	13	(1,2,3,4,5,6,(7,(((8,9,10,11,12,13,(((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;
family_011	11	13	(1,2,3,4,5,6,(7,((8,9,10,11,12,13,((((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;
family_012	12	13	(1,2,3,4,5,6,(7,(8,9,10,11,12,13,(((((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40,41)7-41,42,43,44,45,46)1-46;
family_013	13	13	(1,2,3,4,5,6,7,8,9,10,11,12,13,(((((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40,41,42,43,44,45,46)14-46)1-46;
family_014	14	12	(1,2,3,4,5,6,7,8,9,10,11,12,13,((((((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40,41,42,43,44,45,46)14-46)1-46;
family_015	15	10	(1,2,3,(4,5,6,7,(((8,9,10,11,12,13,((14,15,(((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;
family_016	16	10	(1,2,3,(4,5,6,7,((8,9,10,11,12,13,(((14,15,(((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;
family_017	17	10	(1,2,3,(4,5,6,7,(8,9,10,11,12,13,((((14,15,(((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40)4-40,41,42,43,44,45,46)1-46;
family_018	18	10	(1,2,3,4,5,6,(7,(((8,9,10,11,12,13,((14,15,(((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;
family_019	19	10	(1,2,3,4,5,6,(7,((8,9,10,11,12,13,(((14,15,(((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;
family_020	20	10	(1,2,3,4,5,6,(7,(8,9,10,11,12,13,((((14,15,(((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40,41)7-41,42,43,44,45,46)1-46;
family_021	21	9	(1,2,3,4,5,6,7,8,9,10,11,12,13,(((((14,15,(((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37)14-37,38)14-38,39)14-39,40)14-40,41,42,43,44,45,46)14-46)1-46;
family_022	22	6	(1,2,3,4,5,6,7,8,9,10,11,12,13,(14,15,((((16,17,18)16-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37,38,39,40,41,42,43,44)16-44,45,46)14-46)1-46;
