family_id	span_id
family_001	1-46
family_001	4-40
family_001	8-38
family_001	8-39
family_001	8-40
family_001	14-16
family_001	14-18
family_001	14-20
family_001	14-22
family_001	14-23
family_001	14-29
family_001	14-37
family_001	14-38
family_001	15-16
family_002	1-46
family_002	4-40
family_002	8-39
family_002	8-40
family_002	14-16
family_002	14-18
family_002	14-20
family_002	14-22
family_002	14-23
family_002	14-29
family_002	14-37
family_002	14-38
family_002	14-39
family_002	15-16
family_003	1-46
family_003	4-40
family_003	8-40
family_003	14-16
family_003	14-18
family_003	14-20
family_003	14-22
family_003	14-23
family_003	14-29
family_003	14-37
family_003	14-38
family_003	14-39
family_003	14-40
family_003	15-16
family_004	1-46
family_004	7-41
family_004	8-38
family_004	8-39
family_004	8-40
family_004	14-16
family_004	14-18
family_004	14-20
family_004	14-22
family_004	14-23
family_004	14-29
family_004	14-37
family_004	14-38
family_004	15-16
family_005	1-46
family_005	7-41
family_005	8-39
family_005	8-40
family_005	14-16
family_005	14-18
family_005	14-20
family_005	14-22
family_005	14-23
family_005	14-29
family_005	14-37
family_005	14-38
family_005	14-39
family_005	15-16
family_006	1-46
family_006	7-41
family_006	8-40
family_006	14-16
family_006	14-18
family_006	14-20
family_006	14-22
family_006	14-23
family_006	14-29
family_006	14-37
family_006	14-38
family_006	14-39
family_006	14-40
family_006	15-16
family_007	1-46
family_007	4-40
family_007	8-38
family_007	8-39
family_007	8-40
family_007	14-18
family_007	14-20
family_007	14-22
family_007	14-23
family_007	14-29
family_007	14-37
family_007	14-38
family_007	16-18
family_008	1-46
family_008	4-40
family_008	8-39
family_008	8-40
family_008	14-18
family_008	14-20
family_008	14-22
family_008	14-23
family_008	14-29
family_008	14-37
family_008	14-38
family_008	14-39
family_008	16-18
family_009	1-46
family_009	4-40
family_009	8-40
family_009	14-18
family_009	14-20
family_009	14-22
family_009	14-23
family_009	14-29
family_009	14-37
family_009	14-38
family_009	14-39
family_009	14-40
family_009	16-18
family_010	1-46
family_010	7-41
family_010	8-38
family_010	8-39
family_010	8-40
family_010	14-18
family_010	14-20
family_010	14-22
family_010	14-23
family_010	14-29
family_010	14-37
family_010	14-38
family_010	16-18
family_011	1-46
family_011	7-41
family_011	8-39
family_011	8-40
family_011	14-18
family_011	14-20
family_011	14-22
family_011	14-23
family_011	14-29
family_011	14-37
family_011	14-38
family_011	14-39
family_011	16-18
family_012	1-46
family_012	7-41
family_012	8-40
family_012	14-18
family_012	14-20
family_012	14-22
family_012	14-23
family_012	14-29
family_012	14-37
family_012	14-38
family_012	14-39
family_012	14-40
family_012	16-18
family_013	1-46
family_013	14-16
family_013	14-18
family_013	14-20
family_013	14-22
family_013	14-23
family_013	14-29
family_013	14-37
family_013	14-38
family_013	14-39
family_013	14-40
family_013	14-46
family_013	15-16
family_014	1-46
family_014	14-18
family_014	14-20
family_014	14-22
family_014	14-23
family_014	14-29
family_014	14-37
family_014	14-38
family_014	14-39
family_014	14-40
family_014	14-46
family_014	16-18
family_015	1-46
family_015	4-40
family_015	8-38
family_015	8-39
family_015	8-40
family_015	14-37
family_015	14-38
family_015	16-18
family_015	16-32
family_015	16-34
family_016	1-46
family_016	4-40
family_016	8-39
family_016	8-40
family_016	14-37
family_016	14-38
family_016	14-39
family_016	16-18
family_016	16-32
family_016	16-34
family_017	1-46
family_017	4-40
family_017	8-40
family_017	14-37
family_017	14-38
family_017	14-39
family_017	14-40
family_017	16-18
family_017	16-32
family_017	16-34
family_018	1-46
family_018	7-41
family_018	8-38
family_018	8-39
family_018	8-40
family_018	14-37
family_018	14-38
family_018	16-18
family_018	16-32
family_018	16-34
family_019	1-46
family_019	7-41
family_019	8-39
family_019	8-40
family_019	14-37
family_019	14-38
family_019	14-39
family_019	16-18
family_019	16-32
family_019	16-34
family_020	1-46
family_020	7-41
family_020	8-40
family_020	14-37
family_020	14-38
family_020	14-39
family_020	14-40
family_020	16-18
family_020	16-32
family_020	16-34
family_021	1-46
family_021	14-37
family_021	14-38
family_021	14-39
family_021	14-40
family_021	14-46
family_021	16-18
family_021	16-32
family_021	16-34
family_022	1-46
family_022	14-46
family_022	16-18
family_022	16-32
family_022	16-34
family_022	16-44
