tree_number	newick	group_spans	group_convergence
1	(1,2,3,(4,5,6,7,(((8,9,10,11,12,13,((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;8-40;8-39;8-38;14-38;14-37;14-29;14-23;14-22;14-20;14-18;14-16;15-16	0;2;1;1;1;1;1;1;1;2;1;2;2;1
2	(1,2,3,(4,5,6,7,((8,9,10,11,12,13,(((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;8-40;8-39;14-39;14-38;14-37;14-29;14-23;14-22;14-20;14-18;14-16;15-16	0;2;1;1;1;1;1;1;1;2;1;2;2;1
3	(1,2,3,(4,5,6,7,(8,9,10,11,12,13,((((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;8-40;14-40;14-39;14-38;14-37;14-29;14-23;14-22;14-20;14-18;14-16;15-16	0;2;1;2;1;1;1;1;1;2;1;2;2;1
4	(1,2,3,4,5,6,(7,(((8,9,10,11,12,13,((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;	1-46;7-41;8-40;8-39;8-38;14-38;14-37;14-29;14-23;14-22;14-20;14-18;14-16;15-16	0;1;1;1;1;1;1;1;1;2;1;2;2;1
5	(1,2,3,4,5,6,(7,((8,9,10,11,12,13,(((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;	1-46;7-41;8-40;8-39;14-39;14-38;14-37;14-29;14-23;14-22;14-20;14-18;14-16;15-16	0;1;1;1;1;1;1;1;1;2;1;2;2;1
6	(1,2,3,4,5,6,(7,(8,9,10,11,12,13,((((((((((14,(15,16)15-16)14-16,17,18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40,41)7-41,42,43,44,45,46)1-46;	1-46;7-41;8-40;14-40;14-39;14-38;14-37;14-29;14-23;14-22;14-20;14-18;14-16;15-16	0;1;1;2;1;1;1;1;1;2;1;2;2;1
7	(1,2,3,(4,5,6,7,(((8,9,10,11,12,13,(((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;8-40;8-39;8-38;14-38;14-37;14-29;14-23;14-22;14-20;14-18;16-18	0;2;1;1;1;1;1;1;1;2;1;2;1
8	(1,2,3,(4,5,6,7,((8,9,10,11,12,13,((((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39)8-39,40)8-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;8-40;8-39;14-39;14-38;14-37;14-29;14-23;14-22;14-20;14-18;16-18	0;2;1;1;1;1;1;1;1;2;1;2;1
9	(1,2,3,(4,5,6,7,(8,9,10,11,12,13,(((((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38,39)14-39,40)14-40)8-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;8-40;14-40;14-39;14-38;14-37;14-29;14-23;14-22;14-20;14-18;16-18	0;2;1;2;1;1;1;1;1;2;1;2;1
10	(1,2,3,4,5,6,(7,(((8,9,10,11,12,13,(((((((14,15,(16,17,18)16-18)14-18,19,20)14-20,21,22)14-22,23)14-23,24,25,26,27,28,29)14-29,30,31,32,33,34,35,36,37)14-37,38)14-38)8-38,39)8-39,40)8-40,41)7-41,42,43,44,45,46)1-46;	1-46;7-41;8-40;8-39;8-38;14-38;14-37;14-29;14-23;14-22;14-20;14-18;16-18	0;1;1;1;1;1;1;1;1;2;1;2;1
