span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-46	1	46	46	0	5	(root)	(synthetic)	True		#000000
4-40	4	40	37	1	2	suprasegmental accent maximal	phonological	False	3	#20845E
14-16	14	16	3	2	2	segmental consonant assimilation minimal palatalization coronals only|segmental consonant assimilation minimal palatalization with k(‘)y	phonological	False	5	#20845E
14-18	14	18	5	1	2	segmental consonant assimilation minimal palatalization without k(‘)y	phonological	False	4	#20845E
14-40	14	40	27	2	4	segmental consonant assimilation maximal palatalization with k(‘)y|segmental consonant assimilation maximal palatalization without k(‘)y	phonological	False	9	#20845E
14-46	14	46	33	1	3	segmental consonant assimilation maximal palatalization coronals only	phonological	False	6	#20845E
15-16	15	16	2	1	2	suprasegmental accent minimal construction 1	phonological	False	2	#20845E
16-32	16	32	17	1	3	segmental consonant insertion minimal insertion of /y/	phonological	False	8	#20845E
16-34	16	34	19	2	3	segmental consonant insertion minimal insertion of /y/, fractured according to analysis “maximal”|suprasegmental accent minimal construction 2	phonological	False	7	#20845E
16-44	16	44	29	1	1	segmental consonant insertion maximal insertion of /y/	phonological	False	1	#20845E
