group	kind	family_count	n
all	all	2	7
all	all	3	51
all	all	4	281
all	all	5	494
all	all	6	709
all	all	7	800
all	all	8	777
all	all	9	560
all	all	10	514
all	all	11	229
all	all	12	278
all	all	13	97
all	all	14	94
all	all	15	41
all	all	16	42
all	all	17	7
all	all	18	9
all	all	19	2
all	all	20	5
all	all	21	1
all	all	22	1
all	all	23	1
morphosyntactic	class	1	608
morphosyntactic	class	2	2873
morphosyntactic	class	3	1307
morphosyntactic	class	4	212
phonological	class	1	5000
indeterminate	class	1	64
indeterminate	class	2	855
indeterminate	class	3	1813
indeterminate	class	4	1436
indeterminate	class	5	553
indeterminate	class	6	240
indeterminate	class	7	22
indeterminate	class	8	15
indeterminate	class	9	2
morsyn_indet	bundle	2	6
morsyn_indet	bundle	3	58
morsyn_indet	bundle	4	239
morsyn_indet	bundle	5	492
morsyn_indet	bundle	6	761
morsyn_indet	bundle	7	798
morsyn_indet	bundle	8	809
morsyn_indet	bundle	9	567
morsyn_indet	bundle	10	469
morsyn_indet	bundle	11	263
morsyn_indet	bundle	12	243
morsyn_indet	bundle	13	101
morsyn_indet	bundle	14	97
morsyn_indet	bundle	15	30
morsyn_indet	bundle	16	37
morsyn_indet	bundle	17	12
morsyn_indet	bundle	18	9
morsyn_indet	bundle	19	3
morsyn_indet	bundle	20	5
morsyn_indet	bundle	22	1
