family_id	span_id
family_001	1-32
family_001	3-21
family_001	4-15
family_001	5-15
family_001	10-15
family_001	12-15
family_001	13-15
family_002	1-32
family_002	4-15
family_002	4-22
family_002	5-15
family_002	10-15
family_002	12-15
family_002	13-15
family_003	1-32
family_003	3-21
family_003	9-21
family_003	10-15
family_003	12-15
family_003	13-15
family_004	1-32
family_004	3-21
family_004	9-21
family_004	11-16
family_004	12-15
family_004	13-15
family_005	1-32
family_005	4-22
family_005	9-21
family_005	10-15
family_005	12-15
family_005	13-15
family_006	1-32
family_006	4-22
family_006	9-21
family_006	11-16
family_006	12-15
family_006	13-15
family_007	1-32
family_007	4-22
family_007	12-15
family_007	12-22
family_007	13-15
