group	kind	family_count	n
morphosyntactic	class	1	2452
morphosyntactic	class	2	2280
morphosyntactic	class	3	248
morphosyntactic	class	4	20
phonological	class	1	4327
phonological	class	2	673
indeterminate	class	1	113
indeterminate	class	2	1185
indeterminate	class	3	1993
indeterminate	class	4	945
indeterminate	class	5	523
indeterminate	class	6	156
indeterminate	class	7	85
morsyn_indet	bundle	3	362
morsyn_indet	bundle	4	1081
morsyn_indet	bundle	5	1037
morsyn_indet	bundle	6	450
morsyn_indet	bundle	7	2070
